x_mselgY6_,x_mselgY4_,x_mse_expY3_,gblinear4_,xMSE45_4_,lasso_0.01_,xMSE45_2_,x_mse_expY5_,xMSE210_,xMSE420_7_,keras_MSE3_lg_relu,xMSE45_7_,x_mse_sqrY3_,gblinear6_,x_mse_sqrY5_,lasso_0.05_,x_mse_expY4_,x_mselgY5_,lasso_0.3_,I,xMSE45_10_,gblinear5_,gblinear3_,keras_MSE3_None_relu,lasso_0.5_,x_mse_expY6_,lasso_0.1_,xMSE25_,keras_MSE3_sqr_relu,keras_MAE3_None_relu,xMSE22_,keras_MAE3_lg_relu,xMSE420_10_,x_mselgY3_,xMSE420_2_,xMSE420_4_,x_mse_sqrY4_,x_mse_sqrY6_,ridge_20.0_,ridge_30.0_,ridge_40.0_,ID
78.2310548782,78.7228060722,87.6337524414,101.926628208,78.5802635193,79.8778764374,79.5646539052,85.5779909134,79.0008132934,77.3811319987,77.7468789753,77.859923172,79.058339119,101.597749901,78.5088766098,78.9939337034,85.7994691849,78.4611075401,80.7287471587,1.0,77.5471745809,101.714600277,101.881771851,78.4083607322,82.381543521,85.1611051559,79.0768522628,79.0909085274,78.0718763251,77.4906768799,79.901476574,77.6049025686,77.3293913523,78.8672062874,78.5848255157,77.7379483541,78.7113555908,78.181003952,81.7399564577,81.3776005215,81.1728470525,1
92.7747795105,93.734731102,94.3158735275,116.944972038,92.74040006,95.4684118885,93.6266892751,96.751398468,92.6371114731,92.3587655385,94.983125787,92.0249272664,94.3654371262,116.515400696,93.6904829025,96.0576376021,95.2112501144,93.2206251144,98.4862653362,2.0,91.6926460266,116.684249306,116.847315216,93.8243564806,99.2750207522,97.7782686233,97.0197091378,93.1625003815,95.0450784784,91.5029341045,94.5209608078,92.9373805397,92.0166830699,93.9701673508,93.6896607717,92.9957800547,93.9342033386,93.0924800873,96.6966072652,96.3942418853,96.2803807897,2
78.4332828522,78.8082634926,87.5402061462,106.091509914,78.3082513173,81.8465720044,78.9613348643,85.7914524078,78.0711068153,77.8483328501,77.8220246967,77.8181827545,79.2581947327,105.96069622,78.9299611092,82.4305145128,85.8045455933,78.5670808792,90.0793229573,3.0,77.396680069,106.049272919,106.171621036,78.9231659739,91.091065784,85.5360403061,85.6457874713,78.652516079,78.3229797765,77.5490652385,79.6211208344,77.5512612995,77.7023077647,78.8846835136,78.7255008698,78.2388902028,79.038038826,78.5383722305,83.2852331379,82.8169660972,82.60154208,3
77.9204872131,78.3944617272,87.6492668152,75.7936862945,78.5368236542,78.9396136573,79.4302008311,84.3933429718,78.6283812523,77.3230375926,77.5629316631,77.8831026713,78.8319124222,76.2001001358,78.2029993057,78.5596273067,85.5915481567,78.1612374306,80.4671670252,4.0,77.6188884735,76.0299954414,76.0085659981,78.0832356905,82.2085725178,82.8677570343,78.8059198099,78.8105012894,77.4115078575,77.055602425,79.6429502487,77.323839288,77.2414660136,78.5829426765,78.4035392761,77.6252469381,78.4653305054,77.9374936104,79.7079806673,79.7139160687,79.7162020112,4
112.746135139,112.952157593,110.626113701,107.074087906,112.154873021,113.7834681,112.116956711,111.187569427,113.21687851,112.316398239,110.839935704,112.530480957,113.104837799,107.129083824,113.305695343,112.525830645,110.923629379,112.848109818,111.644504566,5.0,112.946740468,106.891463852,107.128319168,111.950866498,110.958638932,111.66438446,112.040042252,112.459750366,111.079413565,110.974866164,112.57495594,111.483673096,112.216139984,112.7715271,112.337743759,112.193526967,112.99890213,112.900725937,112.661779614,112.717971417,112.726529129,5
91.4902328491,92.4647117615,93.4693534851,91.5942493439,91.3668678284,92.9139597331,92.4689739227,95.5724460602,91.456609726,90.6031387329,92.4110902485,90.6739594778,93.1732782364,92.2302469254,92.2893651962,92.8171315334,94.6347345352,91.8536218643,91.7688772816,8.0,90.4070222219,91.9110603332,91.9074436188,90.9260462711,92.433202222,95.7045759201,92.448938438,92.0156599045,90.9500531648,90.6163625215,93.0079467773,91.1532960189,90.5152852376,92.7684715271,92.2756746928,91.2220104218,92.6428533554,91.6856233597,91.9947864062,91.9697740924,91.9643167827,8
112.861689186,113.08263092,110.911518669,112.146417808,111.681415558,113.079870757,111.882131449,111.419730759,112.652596092,111.381822968,110.84601854,111.390336609,113.107308006,112.970066261,113.374412346,112.668201429,111.179709053,112.996729469,110.410819613,10.0,111.413493474,112.590163422,112.486725807,111.168907366,109.867801035,111.832299805,112.17491603,112.619791031,112.219869513,109.787204542,112.738519097,110.870331413,111.242154566,112.811209869,112.082107417,111.661594009,113.113575554,113.104827309,112.214070441,112.016544227,111.893186297,10
95.2009731293,95.2081794739,94.160694313,88.2974882126,93.9680988312,95.1659951483,93.9661118825,95.7017652512,96.0907865524,94.5485443115,94.1347618103,94.5476243337,95.2982658386,88.3466808319,95.5650947571,95.4189639078,94.8393228531,95.1865047455,96.4088846041,11.0,94.9096722921,88.4865627289,88.300214386,94.1868964747,96.5070908729,95.9284048081,95.9523110208,94.7965082168,93.7357782063,92.3315865366,95.0510511398,93.181158367,94.8046611786,94.9746246338,94.1037886302,94.2918432872,95.268157959,95.2735948562,94.1972223546,94.3709690056,94.4950141136,11
116.272123718,116.694924736,112.44799118,113.661193657,115.53403511,118.501970557,115.190973282,113.550345612,115.983852959,116.232859675,117.894498926,115.945516841,116.547631645,113.614281463,116.777907753,116.705921259,113.143518448,116.491561699,116.614326402,12.0,116.376579285,113.801072693,113.651431847,117.456995713,115.974457958,113.914724541,116.558576925,116.065741539,116.082017999,115.981104198,116.383940697,116.922903964,116.411910884,116.268014145,115.671437581,115.864884949,116.537007713,116.332046127,118.194812607,118.170926535,118.139289645,12
93.4135709763,94.5867183685,94.1950109482,92.1029382706,93.9056844076,96.5349059517,94.1893164317,95.871342659,93.7368400574,93.5573630015,92.0664138794,93.2910413106,95.1553676605,92.184668541,94.4309387207,97.0197883922,94.9512088776,93.9073188782,100.664261688,14.0,93.0206873576,92.1870132446,92.0429925919,93.329248328,101.791211045,96.3232164383,98.3890187282,94.5451402664,92.8577641939,92.4398289731,95.0818058014,92.3730480796,93.2886655172,94.8401861191,94.2285388946,93.9293467204,94.6863746643,93.6642662049,95.577842689,95.7033949892,95.7838761734,14
115.419965553,116.096896362,112.434057808,115.103645515,114.835817083,117.786304262,114.900306829,113.317205048,114.35785141,115.337158712,117.424876564,114.525506337,116.337253952,115.027271461,115.961483955,116.694403022,113.075121498,115.809581184,116.864546579,15.0,114.281333542,115.145163155,115.052574158,116.90002602,116.205322081,113.473596763,116.738501791,115.3490242,115.557532461,115.785275509,116.074624252,116.652290545,115.297181956,115.943728829,115.366479111,115.390144221,116.067990875,115.477888298,117.374315624,117.40342557,117.413782142,15
105.41433506,105.448039246,104.162693596,103.906790733,103.730067698,104.487260996,103.5741539,104.102701378,106.479049301,104.250907389,106.928427847,104.437699,105.506015587,103.766927338,105.828803062,103.253600258,103.835323906,105.481892777,103.967851677,16.0,104.904958725,103.894870758,103.807686806,107.3070753,104.136807463,104.89452076,103.386702312,105.169163895,108.295353739,105.731112229,104.782184792,107.255216297,104.520875804,105.239237023,103.666808319,103.745324326,105.676280594,105.576894379,104.636109988,104.501925155,104.39502125,16
97.2801851273,97.1733598709,93.4980596543,99.5038412094,94.7959714254,97.8190379507,94.039544042,96.5667512894,97.7151863098,95.6541253408,98.3858718872,95.7906318665,97.225730133,99.6865240097,97.9199022293,93.5776168287,94.8452827454,97.3336900711,93.6420525004,17.0,96.6228181203,99.7849760056,99.5652658463,98.6256232011,94.2447953279,97.9850934982,93.2383196328,95.3906333923,98.3581199645,95.5385764273,94.3885177612,96.0840379815,96.2482365926,96.4566953659,93.6038972219,94.3138207754,97.3410209656,97.7976486206,98.3060089241,97.8387172284,97.4962054907,17
95.7138458252,96.2674247742,94.14550457,93.6752944946,93.787898763,96.0185328142,93.9913356781,96.9343122482,95.2139770508,93.9413514455,94.752833517,93.6977048238,96.6402349472,93.7189062119,96.7399971008,97.0112595304,95.1163326263,96.2488033295,98.6643835636,19.0,93.7375801086,93.8158514023,93.6928491592,94.6365930658,98.4789646194,98.4028411865,98.1000953538,94.8646350861,94.7770564431,92.1554601569,95.1947868347,93.1251782869,93.9375452677,96.0674692154,94.0472971598,93.8698117574,96.4783626556,96.2883045197,95.4499345273,95.4850749975,95.5549099102,19
106.027663422,106.707551575,104.44989872,106.086200142,103.759550476,107.472891063,104.274984614,103.880932808,103.847746849,103.747985713,105.180628124,102.853168615,107.16914711,106.058087349,107.052203179,106.656346683,104.084416008,106.53194828,104.839636451,20.0,102.286016973,106.065294266,106.056842613,106.128367976,104.230273072,103.833255005,106.06256823,104.893770981,105.66137354,104.256767675,105.384996605,105.258273476,103.338980484,106.559288597,104.578976695,104.135678482,107.032335472,106.447907638,107.417724194,107.40979881,107.384149888,20
101.670939064,100.531837082,93.5186649322,97.9671564102,95.0677411397,97.3203734148,94.0170262655,97.8083042145,99.1724187851,95.974919637,99.238519769,96.8137683868,99.4629215241,98.0904289246,102.313931274,93.4857093838,95.1042104721,101.136700058,93.468105356,21.0,98.7781478882,98.2010761261,98.00025177,99.7248093454,94.0931681736,100.836010361,93.1002607248,95.6413295746,101.01190567,95.166158375,94.3739395142,95.9578710857,96.8765677134,98.7519548416,93.5711041768,94.409112676,100.649936485,101.993533706,97.0559383518,96.7296408982,96.4916270239,21
