ID,y,xMSE22_0,xMSE22_1,xMSE22_2,xMSE22_3,xMSE22_4,xMSE22_5,xMSE22_6,xMSE22_7,xMSE22_8,xMSE22_9,xMSE25_0,xMSE25_1,xMSE25_2,xMSE25_3,xMSE25_4,xMSE25_5,xMSE25_6,xMSE25_7,xMSE25_8,xMSE25_9,xMSE210_0,xMSE210_1,xMSE210_2,xMSE210_3,xMSE210_4,xMSE210_5,xMSE210_6,xMSE210_7,xMSE210_8,xMSE210_9
1207.0,93.9,94.4148101807,93.6906051636,94.3683013916,93.9200286865,94.1419525146,94.1032180786,93.9778823853,94.3219070435,93.6867675781,93.9468154907,93.7735824585,94.2104187012,93.3777542114,93.712272644,93.7385787964,93.5063323975,93.0165100098,92.8115158081,93.7966003418,93.1903839111,93.1209945679,92.9032897949,93.2005996704,92.3913345337,94.1211624146,95.4215011597,94.1414337158,94.2234191895,93.2464981079,92.6873168945
7958.0,99.74,103.790802002,103.014122009,104.063110352,104.738479614,103.27960968,103.541702271,103.107696533,103.48626709,104.076080322,104.435073853,105.195175171,105.435768127,104.712638855,105.039085388,104.848869324,104.943534851,104.550933838,102.267211914,103.546722412,104.640937805,106.296958923,105.974716187,107.125640869,105.176078796,104.732872009,107.321868896,105.51726532,106.132583618,107.503547668,106.294075012
1715.0,98.93,103.415420532,103.197731018,104.358818054,103.925056458,103.404067993,103.916481018,104.275604248,104.146789551,104.029914856,103.98613739,103.334907532,102.421554565,103.608833313,103.261581421,102.357162476,101.877731323,103.724777222,103.790466309,103.491798401,102.57938385,102.975578308,102.172714233,102.014228821,102.803451538,102.742156982,102.530029297,102.519042969,102.04624939,102.728630066,102.891227722
7804.0,94.41,91.66456604,91.5067443848,91.7716522217,91.3698043823,91.2507858276,91.9365692139,91.4929580688,91.3315734863,91.4778289795,91.741859436,91.4213104248,91.5754013062,91.0836639404,90.7671737671,91.8163146973,91.3086776733,91.658996582,90.6836395264,90.6645050049,90.6910400391,90.6811523438,90.3357086182,89.3129653931,89.9744110107,90.3479537964,89.4272384644,90.1422271729,90.5399627686,90.3462600708,90.7504882812
3860.0,90.8,94.5854187012,95.1089172363,94.9595489502,95.6552276611,94.8911743164,94.4894866943,94.9612503052,95.6614303589,95.7856140137,95.0438079834,94.8382949829,97.3058242798,95.2468338013,94.8730163574,94.5512924194,94.9337615967,95.5188369751,95.942489624,95.9994049072,95.9073181152,97.228225708,99.4333877563,97.115486145,98.4199523926,95.6621551514,96.2749328613,94.9105834961,97.9853363037,96.3229827881,96.9066390991
5012.0,113.5,94.8404998779,94.5871276855,94.2817459106,94.3933334351,95.6929397583,94.8601226807,94.6563644409,95.1726303101,95.5158538818,95.4873275757,95.7868499756,95.0008087158,96.1636047363,96.5323181152,94.889213562,95.498085022,94.1814727783,96.0646286011,94.6988449097,94.2246932983,95.9388961792,97.9746322632,96.9900741577,95.4941482544,94.9053115845,97.5653152466,95.0744400024,96.8681182861,97.4433517456,98.2109527588
6066.0,108.02,112.082000732,112.063949585,112.665596008,112.194328308,111.634208679,111.757019043,112.598579407,112.374969482,112.598861694,111.714584351,113.173316956,112.48008728,112.755432129,112.361297607,112.330200195,113.120521545,111.564689636,111.823127747,111.516876221,112.581314087,113.646270752,112.240127563,113.498184204,112.779006958,112.951805115,111.582221985,112.135131836,112.892478943,112.232757568,112.899963379
997.0,112.94,114.273948669,113.011489868,113.595840454,114.269805908,114.210861206,113.942245483,113.905151367,114.034683228,113.122947693,114.16242981,112.744911194,112.215232849,113.176696777,112.328605652,113.14666748,114.15599823,113.826423645,112.292648315,113.705535889,113.661132812,113.44669342,114.199897766,113.187408447,113.598854065,113.779441833,114.2371521,113.80443573,113.316139221,111.895683289,113.577308655
5835.0,121.91,105.439254761,104.795684814,105.020965576,105.142349243,104.616363525,104.30431366,104.397125244,104.311416626,105.341415405,104.363586426,104.249656677,104.562690735,104.976356506,105.733276367,105.141273499,105.570983887,103.992088318,103.078369141,104.997528076,104.983718872,105.64855957,104.998268127,104.480308533,105.152244568,105.82408905,105.138328552,105.870979309,104.007095337,106.116035461,104.870063782
8298.0,89.04,91.9851989746,91.897605896,91.8836517334,91.5358200073,91.8008422852,91.4371261597,92.0231018066,90.9705047607,91.2813186646,92.0591125488,91.7610855103,91.7748718262,91.482170105,91.3532791138,91.6529388428,91.3033981323,92.2498626709,91.991607666,92.016494751,92.0515975952,91.8737258911,92.2308883667,91.9645309448,92.0701522827,90.6194000244,91.7048110962,90.9159164429,92.5146255493,91.8672103882,93.5653381348
