ID,y,x_mselgY3_0,x_mselgY3_1,x_mselgY3_2,x_mselgY3_3,x_mselgY3_4,x_mselgY4_0,x_mselgY4_1,x_mselgY4_2,x_mselgY4_3,x_mselgY4_4,x_mselgY5_0,x_mselgY5_1,x_mselgY5_2,x_mselgY5_3,x_mselgY5_4,x_mselgY6_0,x_mselgY6_1,x_mselgY6_2,x_mselgY6_3,x_mselgY6_4
5740,95.47,95.0255584717,94.5456390381,94.8258666992,94.6527709961,95.0487976074,94.9297180176,94.6297073364,94.5534744263,94.7137451172,94.1703414917,94.9397277832,94.3715591431,94.9265136719,94.6634216309,94.8186798096,94.2612915039,93.7466583252,95.0962677002,94.7415924072,94.643447876
4138,111.08,111.650360107,111.504211426,111.488174438,111.27734375,111.299034119,111.322555542,111.434326172,111.374641418,111.453781128,111.286750793,111.555030823,111.410232544,110.732971191,111.181594849,111.43812561,110.91519165,111.569122314,110.953979492,110.97706604,111.284797668
6321,112.9,111.493377686,111.172683716,111.456474304,110.914276123,111.336677551,110.823402405,111.567214966,111.50629425,111.099899292,110.845794678,110.903373718,110.848655701,110.579826355,111.33013916,111.44228363,110.800895691,110.922615051,109.907371521,110.556640625,110.603988647
164,100.98,104.691871643,105.052444458,104.763565063,105.113250732,104.653945923,104.726821899,104.607475281,104.492454529,105.298065186,104.46824646,104.618675232,104.845489502,105.372024536,105.187423706,104.684799194,105.286277771,104.891555786,104.60874176,105.244094849,104.903877258
5328,90.38,93.8468093872,94.1996307373,93.956451416,93.8715667725,93.5048217773,94.5593719482,94.3782196045,94.4432373047,94.2566146851,94.2592773438,94.6898803711,94.1399688721,94.5723419189,93.8287811279,93.5273361206,94.1191482544,93.8160247803,94.1656112671,93.8086700439,94.3737564087
8342,104.29,110.319946289,110.11264801,109.722412109,109.834152222,110.147537231,109.62223053,109.938453674,109.805389404,110.744338989,109.57951355,109.179656982,110.104553223,110.494750977,109.260124207,108.950996399,110.324485779,109.552139282,109.663581848,109.834449768,110.152793884
6229,88.46,94.5136184692,94.3656234741,94.6021270752,94.7041778564,94.3868408203,94.3743743896,94.1578826904,93.9980392456,94.3502655029,94.4361877441,94.5601730347,94.467376709,94.2228088379,94.170135498,93.8710479736,94.2667541504,94.12550354,93.9867858887,93.7682189941,94.1188964844
8088,108.57,108.982460022,109.011001587,108.575965881,108.860061646,108.935028076,108.78036499,109.064758301,108.486709595,108.935089111,108.660522461,108.301170349,108.544204712,108.563446045,108.010055542,108.485458374,108.617340088,108.287620544,108.091262817,108.127166748,108.596237183
7004,96.65,95.5288619995,94.0521850586,94.7093048096,94.0365371704,94.5718994141,95.5064239502,95.7167205811,95.0022735596,93.2963638306,94.7380065918,96.0369949341,96.8130264282,97.1437683105,93.9295349121,95.7803192139,96.3440628052,95.3706665039,95.3308868408,97.1446533203,97.5361099243
6079,102.93,103.771018982,103.599517822,103.592178345,103.186355591,103.480773926,103.641555786,102.711669922,104.005996704,103.479644775,103.440223694,103.772781372,103.357513428,103.105384827,103.028320312,102.643295288,103.658737183,103.032279968,102.939445496,103.340385437,102.732086182
