ID,X0y,X1y,X2y,X3y,X5y,X6y,X8y
0,,104.26,,102.635,,99.46,93.77
7,76.835,,77.135,100.175,,99.51,94.09
13,76.805,104.45,77.085,93.6,,101.33,102.0
24,,95.98,,93.59,,100.0,97.03
27,111.42,101.91,104.97,98.11,,99.955,106.77
31,,95.98,108.83,93.59,,100.0,95.75
34,91.37,94.285,91.095,100.175,,98.31,98.13
37,92.34,102.11,105.03,98.11,98.08,98.28,97.85
39,,95.98,,93.59,98.08,100.0,93.77
44,91.85,97.87,93.115,100.175,98.16,101.33,104.87
48,91.85,102.11,93.115,100.175,98.16,99.51,106.005
50,110.1,95.98,,,98.08,99.46,93.77
54,91.48,96.52,96.455,106.625,98.16,101.33,98.16
61,101.44,98.16,105.03,93.59,98.08,98.28,98.67
66,91.85,102.11,105.03,100.175,98.16,,99.54
68,76.835,104.45,105.03,93.6,98.16,98.31,102.0
74,110.1,94.225,93.03,100.105,98.08,99.46,101.47
79,110.255,101.91,104.97,100.105,98.08,99.46,98.04
81,101.64,98.35,105.03,93.59,98.08,98.31,98.84
90,76.805,104.45,105.03,93.6,98.16,98.31,102.0
100,101.64,98.16,105.03,93.59,98.08,99.955,102.0
106,92.53,98.75,91.03,100.175,98.16,98.31,98.84
108,91.37,,91.095,100.175,98.16,99.51,98.215
112,,96.52,91.03,93.6,98.16,99.51,99.66
118,,,,93.6,98.16,100.045,103.54
124,111.4,,104.97,93.59,98.08,95.65,104.73
127,114.63,98.16,114.73,100.105,98.08,101.25,106.77
129,101.26,94.225,105.03,100.175,98.16,99.51,98.215
131,101.26,,105.03,100.175,98.16,95.89,95.22
134,91.46,104.45,91.03,100.175,98.16,98.31,94.85
139,101.25,94.225,95.81,100.105,98.08,,98.495
143,91.46,96.52,96.455,93.6,98.16,98.31,98.215
146,110.1,94.225,104.97,100.105,98.08,99.46,98.67
150,91.325,98.75,91.03,100.175,98.16,98.31,94.375
152,92.58,98.75,105.03,100.175,98.16,99.51,105.72
154,91.97,96.52,,93.6,98.16,101.33,96.52
159,91.46,104.26,91.03,100.105,98.08,98.28,94.85
161,91.88,94.285,93.115,100.175,98.16,98.31,98.215
165,92.34,98.16,93.25,93.59,98.08,98.28,98.04
168,111.42,,104.97,100.105,98.08,99.955,94.85
170,91.325,94.285,93.03,100.175,98.16,99.51,98.215
173,92.34,98.35,105.03,93.59,98.16,98.31,98.33
175,91.84,96.62,93.03,100.105,98.08,98.28,104.87
177,101.64,102.11,105.03,100.175,98.08,93.62,93.9
184,92.34,102.11,105.03,100.175,98.16,99.51,98.13
190,110.03,94.225,93.03,100.105,98.08,99.46,101.47
200,,104.26,,100.105,98.08,99.46,97.72
203,110.1,98.67,104.97,100.105,98.08,101.25,97.03
208,91.415,98.35,105.03,93.6,98.16,101.33,102.0
212,110.03,94.225,93.03,100.105,98.08,99.46,101.47
214,110.1,98.67,104.97,100.105,98.08,95.65,101.47
217,91.46,98.75,93.4,100.175,98.16,94.83,98.47
222,91.84,101.91,93.03,100.105,98.08,98.28,97.72
224,110.1,94.225,93.03,100.105,98.08,99.46,101.47
229,,94.225,91.03,100.105,98.08,99.46,101.47
233,91.48,104.45,91.095,100.175,98.16,98.31,95.22
237,101.64,98.16,105.03,93.59,98.08,101.33,98.67
240,111.4,101.91,104.97,100.105,98.08,98.28,97.85
246,92.58,104.45,93.4,100.175,98.16,101.33,105.72
255,110.255,,104.97,106.555,98.08,99.955,97.72
261,,96.52,,93.6,98.16,95.89,99.54
264,91.84,102.11,93.03,100.105,98.08,99.46,98.04
268,91.48,,91.095,100.175,98.16,98.31,102.0
270,91.97,,93.115,100.175,98.16,98.31,98.47
274,91.88,,105.03,100.175,98.08,93.62,97.03
278,,95.98,,93.59,98.16,101.47,93.77
282,110.03,,,,98.08,99.46,97.555
