ID,gblinear3_0,gblinear3_1,gblinear3_2,gblinear3_3,gblinear3_4,gblinear3_5,gblinear3_6,gblinear3_7,gblinear3_8,gblinear3_9,gblinear4_0,gblinear4_1,gblinear4_2,gblinear4_3,gblinear4_4,gblinear4_5,gblinear4_6,gblinear4_7,gblinear4_8,gblinear4_9,gblinear5_0,gblinear5_1,gblinear5_2,gblinear5_3,gblinear5_4,gblinear5_5,gblinear5_6,gblinear5_7,gblinear5_8,gblinear5_9,gblinear6_0,gblinear6_1,gblinear6_2,gblinear6_3,gblinear6_4,gblinear6_5,gblinear6_6,gblinear6_7,gblinear6_8,gblinear6_9
5732,114.498825073,115.805915833,115.477134705,113.856132507,114.94846344,114.92489624,114.232215881,113.983055115,114.792106628,114.140411377,114.432563782,114.631126404,114.046478271,114.562347412,115.134552002,114.586540222,114.334060669,114.036872864,114.755767822,114.879638672,113.652076721,113.694274902,113.244812012,113.415565491,114.562942505,113.236091614,113.782142639,113.348892212,114.918113708,114.547065735,113.769691467,114.214942932,113.335136414,113.791648865,113.87702179,113.543235779,115.668273926,114.273880005,114.476409912,115.079971313
6881,103.640129089,102.965675354,102.482429504,103.200386047,103.292518616,101.8956604,103.8620224,102.481590271,103.305580139,103.371833801,103.256484985,103.249534607,103.886993408,102.844009399,102.833885193,102.206184387,104.494934082,103.272705078,102.949119568,103.166931152,102.213905334,102.0362854,103.362541199,102.697143555,103.135986328,103.003692627,103.372436523,101.576057434,102.669761658,103.410972595,101.837051392,102.592300415,102.349685669,103.35925293,103.023078918,103.7032547,102.554267883,103.273750305,103.224456787,103.16456604
6476,112.566444397,108.987625122,108.305465698,108.240982056,111.106536865,114.235916138,112.525672913,111.792411804,110.205657959,109.872642517,107.990203857,114.170585632,114.386375427,113.689079285,110.915885925,116.839920044,114.274009705,111.205039978,114.212692261,106.656990051,107.608161926,117.883621216,110.476409912,110.00693512,109.250099182,114.879264832,113.510246277,112.590133667,103.963943481,107.036216736,109.740196228,112.621047974,111.70136261,111.115463257,115.800537109,112.623901367,108.451309204,114.468223572,114.514816284,113.946983337
6841,91.0896072388,87.7343597412,88.9209213257,86.0166549683,90.7186737061,92.2604064941,91.4954986572,90.0093994141,90.9920120239,88.9314422607,89.4508361816,88.5377349854,93.2208023071,92.0920791626,91.5313873291,90.114654541,90.3758010864,90.8217391968,88.9811477661,89.8577957153,89.0642242432,89.7657623291,90.2964324951,92.7710876465,91.2377090454,90.303024292,93.2688369751,90.7518005371,89.1702804565,92.304473877,92.7161407471,89.9526672363,90.8572235107,90.7831954956,90.0105209351,90.5418548584,88.9026794434,92.2008132935,92.0795440674,89.2369232178
3940,92.4179153442,92.5841674805,93.2756118774,93.2194213867,91.7101669312,92.4756011963,92.1613006592,92.0133514404,92.4583816528,92.1421966553,92.3629837036,93.3708572388,92.2420425415,93.7797470093,92.2883529663,92.4506835938,91.7345352173,92.8261795044,93.2000427246,92.882194519,92.1181182861,92.0224914551,91.7601699829,92.2857666016,92.7743225098,92.8785858154,92.6474456787,93.3514251709,93.1397399902,91.9413375854,93.8157806396,92.1802444458,92.2558364868,92.0025863647,92.2728042603,94.0165710449,91.3994827271,92.8750991821,92.7954559326,92.5170898438
426,93.6207199097,91.7055053711,94.4840927124,94.5023956299,93.5132446289,93.5517807007,94.1929779053,93.2760314941,93.6222763062,93.3954544067,92.2125091553,93.5283355713,95.4068832397,93.7869796753,93.5253143311,94.5469894409,93.8257369995,94.4422149658,94.1381912231,95.2087936401,94.3751525879,93.34400177,93.2912139893,94.0357437134,92.5814437866,93.3351516724,92.8155212402,92.0336456299,93.5453948975,94.198425293,92.7801361084,94.0006637573,93.0044937134,93.301612854,93.057258606,94.939125061,93.2498855591,93.6575393677,92.4999389648,92.2377700806
4471,114.663192749,114.263473511,112.59022522,114.085823059,114.12461853,113.187240601,113.616821289,114.039489746,113.575325012,114.118850708,113.842094421,114.723716736,113.620521545,114.312217712,113.800170898,113.72706604,113.450233459,114.281494141,113.30292511,114.414451599,114.523658752,114.409080505,112.842506409,114.487167358,113.312599182,113.735969543,113.615760803,114.33731842,114.511207581,114.147705078,113.167633057,113.271156311,114.253929138,112.796203613,112.856964111,113.575111389,114.274154663,114.090827942,113.299987793,113.831367493
1346,99.4348526001,99.8824615479,99.2603683472,98.1685256958,99.9760971069,98.7552261353,98.0354232788,98.8991699219,97.5027770996,98.4131164551,100.082145691,102.461257935,98.8288879395,96.6072692871,98.821434021,100.786598206,97.9756088257,99.2296524048,99.6449737549,99.2871246338,100.9008255,99.8246917725,99.5825500488,99.4692459106,101.079933167,98.7914047241,98.630897522,97.9491882324,100.307113647,98.8215408325,98.7473907471,99.0844955444,97.5908279419,98.6665420532,96.4933929443,98.1415710449,100.410858154,98.4983139038,99.6822280884,99.0474624634
2148,94.3267440796,95.649559021,94.3969192505,93.8255691528,94.8246841431,95.5455474854,92.7161331177,95.9379348755,95.3417816162,95.3843460083,93.6019973755,96.634513855,94.1455764771,95.6179351807,96.2161636353,94.582244873,94.4963989258,95.2881088257,95.9324645996,95.7861862183,93.6417770386,95.6617584229,96.1084518433,94.1883621216,94.576789856,96.2070846558,93.41065979,96.0723724365,95.2227935791,96.1158599854,96.2260894775,95.9382858276,95.6219940186,94.0284042358,93.8358001709,94.7445831299,95.0311584473,95.8876113892,95.3357849121,95.8312225342
7171,102.072769165,101.602043152,102.699119568,102.401535034,102.544776917,103.256271362,102.468711853,102.798797607,101.220466614,103.000068665,103.613006592,100.555023193,102.428970337,103.188560486,101.835845947,101.444725037,103.265968323,102.580474854,102.124710083,101.539451599,102.379333496,103.084472656,103.534629822,102.809173584,102.471511841,102.426193237,101.997497559,102.907783508,101.950447083,102.8801651,101.646690369,102.449958801,102.46824646,102.673965454,101.458602905,102.425262451,103.432441711,101.212081909,103.48425293,102.798873901
3076,95.362953186,93.2701873779,95.9977264404,95.6994400024,94.5570983887,96.811416626,95.410697937,92.1119613647,96.3427124023,94.5609970093,94.879196167,95.124130249,94.1912536621,95.692565918,95.9607543945,93.4547195435,96.0662307739,95.8609161377,92.6893157959,96.193107605,95.9424972534,93.8379898071,95.6587142944,96.767578125,96.0016174316,95.4059448242,96.0108642578,95.7044525146,97.1082305908,94.605682373,97.6825714111,94.5219268799,95.810256958,95.0064697266,98.2224502563,93.9473648071,93.447769165,95.0708312988,96.2223358154,95.321762085
7548,92.5968780518,93.5581893921,91.8338546753,93.06980896,94.2249526978,91.4794387817,87.7203826904,89.5952224731,93.5816802979,91.0169754028,91.6965789795,92.9234771729,90.2755737305,91.4339599609,91.6814041138,91.1022415161,90.9133758545,90.3997650146,89.4815673828,92.1461791992,92.7526702881,92.6788864136,90.4700698853,90.3821334839,90.6270828247,92.9682769775,92.4317092896,91.6289978027,92.025428772,92.0526199341,89.2088928223,92.5659408569,89.5321273804,91.5951080322,93.6021881104,92.0923233032,93.3946228027,91.9925308228,90.9651184082,90.6625289917
