keras_MSE2_tanh0,keras_MSE2_tanh1,keras_MSE2_tanh2,keras_MSE2_tanh3,keras_MSE2_tanh4,keras_MSE2_tanh5,keras_MSE2_tanh6,keras_MSE2_tanh7,keras_MSE2_tanh8,keras_MSE2_tanh9,ID,y
113.697975159,114.448348999,113.653266907,114.156646729,113.486793518,115.046791077,113.308517456,114.187011719,114.022079468,114.282745361,3661,115.1
102.363067627,105.582496643,103.744895935,103.128616333,102.112663269,108.586410522,103.44442749,103.006622314,102.814933777,103.11567688,4099,106.4
91.8846282959,92.7005767822,91.8258361816,92.262260437,92.0853881836,92.0451660156,92.4800338745,90.1308746338,91.6569366455,92.0409622192,1673,89.41
102.284629822,102.360389709,103.554367065,102.619628906,102.54850769,100.973587036,102.930831909,103.199142456,102.916389465,98.2940063477,3584,99.64
102.98841095,101.005950928,104.595451355,104.59487915,102.808044434,101.71182251,103.500831604,103.141204834,107.242202759,102.485015869,4260,103.1
92.7636108398,92.4759521484,92.9865188599,92.2704467773,92.3575820923,92.8815536499,96.5872802734,92.802192688,93.3500976562,93.9600601196,2008,95.04
94.1711502075,91.6233520508,92.3983001709,92.3659133911,92.0537643433,92.1029891968,91.438117981,92.4306564331,92.1188430786,91.0643081665,6497,86.03
113.816497803,113.785079956,115.908058167,113.565002441,113.464950562,113.119926453,115.546653748,115.640625,115.138938904,113.804611206,5941,110.54
92.2385253906,91.7804489136,91.7065429688,91.9148712158,92.2783126831,92.2864532471,91.0811767578,92.0210723877,92.1150283813,92.2811965942,4295,91.41
113.573516846,113.713630676,113.269317627,113.593833923,113.700263977,113.10433197,113.317024231,115.588020325,113.39516449,113.580970764,2791,114.83
104.785476685,112.607040405,103.8331604,105.75214386,107.319129944,109.30405426,103.068840027,103.062217712,105.031387329,103.274749756,5351,104.28
113.996040344,111.250305176,112.77507782,111.525375366,108.020492554,113.123908997,115.172966003,113.81022644,113.800186157,112.766181946,7062,109.81
102.475364685,102.332489014,101.679679871,102.313903809,102.714782715,102.397636414,102.890441895,104.867248535,102.126800537,102.210044861,544,99.56
113.567390442,113.477760315,114.577728271,113.645805359,109.415214539,114.622146606,107.377288818,108.512794495,113.3932724,113.897834778,317,105.74
102.885475159,112.719215393,102.584762573,108.980056763,114.298271179,113.383384705,113.823677063,107.995635986,113.39415741,112.067024231,6557,105.08
92.833480835,91.4448776245,92.2870483398,92.1834335327,92.2921600342,91.0825119019,91.3692016602,92.0415420532,92.1282119751,91.9415817261,7254,91.82
102.125946045,102.600715637,103.763534546,102.74622345,103.541999817,102.785385132,102.233139038,102.880409241,99.3879928589,102.462593079,369,100.85
113.739067078,114.449325562,113.249649048,113.368080139,113.677963257,114.639678955,113.46181488,111.955299377,113.404373169,113.827423096,5097,115.75
113.894302368,113.354560852,114.218048096,113.302261353,114.296409607,114.581207275,113.310302734,111.154647827,112.889228821,113.248825073,2785,108.33
