predM0,predM1,predM2,predM3,predM4,predM5,predM6,predM7,predM8,predM9,ID,y
110.327758789,110.242050171,110.319450378,110.204711914,109.833755493,110.319122314,110.451171875,110.473518372,109.775947571,110.476867676,6152,111.91
91.3622589111,91.692779541,90.9788284302,91.0308837891,91.6848678589,91.3398742676,92.0134277344,91.2859191895,91.9174499512,91.3710632324,1835,92.32
110.774291992,110.904472351,110.319816589,110.697036743,109.718490601,110.706848145,110.072029114,110.473228455,109.782623291,110.862464905,534,111.31
92.0281448364,91.3747406006,91.8847808838,91.0315170288,91.9987640381,92.0609512329,90.6433639526,91.5885238647,91.5411911011,91.2139968872,7139,93.25
92.3575210571,91.7085800171,91.8831863403,92.3689651489,91.9992828369,91.3725662231,90.8004302979,91.5974884033,91.8332290649,91.1931381226,7558,91.92
92.2526931763,91.8322753906,91.825843811,91.6731872559,91.1623153687,91.8748016357,92.0199890137,91.1952514648,89.8879241943,90.4262924194,1506,90.9
101.090278625,100.89868927,101.01184082,101.109138489,103.000679016,103.770645142,107.352355957,100.106498718,103.377655029,101.041702271,469,100.29
110.77368927,109.946128845,110.125427246,110.205093384,109.718513489,110.896064758,110.451271057,110.090049744,109.961624146,110.862129211,658,110.49
109.774406433,110.749290466,110.126098633,110.303108215,110.256912231,110.711830139,110.07334137,110.533729553,109.963417053,110.651367188,2815,115.39
110.327308655,109.946037292,110.12613678,110.204864502,110.25692749,110.711456299,110.152549744,110.653114319,109.782577515,110.474563599,612,111.08
109.774734497,110.903945923,110.123176575,110.734367371,109.718788147,110.13419342,110.071525574,110.078979492,109.960174561,110.476318359,2343,122.65
109.853126526,110.904197693,110.319717407,109.930633545,110.256652832,110.318916321,110.688278198,111.010574341,110.298217773,110.88368988,3218,111.64
109.774597168,109.946128845,110.123985291,110.204811096,110.967041016,110.134239197,110.615898132,110.440437317,109.961479187,110.863746643,2327,108.88
92.1270370483,91.833442688,91.6039581299,91.0310897827,90.3750228882,92.450843811,91.8057479858,91.9113311768,91.8328781128,91.2116470337,6876,92.44
91.2572631836,91.8368530273,90.9847717285,91.2631454468,91.6718215942,92.4510192871,90.6604003906,91.2962341309,91.3206863403,91.1706619263,1284,88.78
91.5704574585,92.1869354248,92.4172821045,91.8757553101,91.6714706421,95.0289077759,92.0232009888,91.6054992676,91.8363494873,93.0411834717,4926,88.66
91.3796844482,91.3671340942,91.8863677979,91.246887207,91.9119873047,91.1379165649,92.0224609375,91.8996124268,90.1946716309,91.3941726685,6544,86.61
101.138954163,101.030723572,102.118919373,101.595466614,101.748443604,109.886573792,100.60446167,101.188743591,103.085014343,106.344894409,1791,129.32
91.2222595215,90.7005310059,91.8276824951,91.7084884644,89.3129119873,92.191696167,90.6217498779,91.1909255981,90.1336975098,91.6022033691,2626,94.83
77.0868453979,77.7102508545,77.4411621094,77.684211731,77.5891036987,78.0560760498,77.2894515991,77.315246582,75.3394699097,76.6828536987,4940,77.06
91.5051803589,91.5040893555,91.2300720215,91.9055938721,91.6932754517,91.1473770142,91.80834198,91.6120376587,91.9285964966,92.9011077881,902,89.1
110.775382996,110.226799011,110.653007507,109.931114197,109.718803406,110.317886353,110.686828613,110.546211243,109.780555725,110.883674622,1767,114.32
101.084709167,100.84287262,100.980918884,101.583381653,101.410339355,101.135864258,101.673652649,100.926208496,103.47454071,100.888366699,6175,97.96
110.328140259,110.750724792,110.66204071,110.204841614,110.256439209,110.296546936,110.451339722,110.087463379,111.094291687,110.655441284,3642,108.99
91.0038070679,91.3827285767,91.5825424194,93.2047042847,91.6179046631,92.4227294922,92.017326355,91.2987823486,91.5409545898,91.2136077881,3003,92.21
110.328018188,109.945266724,110.035942078,110.686378479,110.992828369,110.319633484,110.685951233,110.073745728,110.297790527,110.475761414,3327,104.45
91.2444610596,91.2637557983,91.2204360962,92.0851745605,91.8522567749,91.8737411499,90.6512451172,91.5892791748,91.9277954102,91.3767852783,6307,83.25
101.079925537,101.449958801,100.630210876,101.580444336,101.421409607,100.687667847,100.587852478,100.421760559,100.359153748,100.893692017,895,100.95
77.3511962891,75.3367843628,77.2286529541,77.6834640503,77.1954421997,77.4423446655,77.5854034424,77.1594467163,75.3409042358,77.4418487549,1579,76.27
95.2881317139,92.1875152588,91.8293609619,91.0514907837,91.9199752808,102.108154297,92.1501541138,91.2007217407,91.8398132324,95.2017364502,5130,90.53
101.158851624,103.013816833,101.436279297,101.972129822,103.003158569,104.740142822,110.147331238,100.815361023,103.489471436,101.541053772,1547,107.71
91.876991272,92.1927337646,91.6043777466,92.0863647461,91.9170227051,92.0657272339,91.0812225342,91.1799850464,91.5391769409,91.3782653809,6297,90.48
110.32723999,110.906387329,110.31942749,110.739250183,110.178871155,110.711975098,110.616424561,108.470535278,110.298835754,110.864135742,7849,109.62
101.071250916,100.772697449,100.981086731,100.369789124,100.891792297,101.745574951,98.1065292358,99.8423233032,103.406150818,101.177513123,7780,100.49
91.5622024536,91.3667984009,91.8849105835,92.0846328735,91.6717910767,91.87449646,91.8086395264,91.9089508057,91.5863189697,91.1737365723,2724,94.8
91.3767929077,91.7113800049,90.9743728638,91.2674102783,91.9184875488,91.1432266235,90.7475280762,91.2990112305,91.9274597168,91.1076583862,2320,92.04
91.3778076172,91.3665390015,97.8916931152,92.2412338257,91.8717498779,91.1569824219,91.0827178955,91.289680481,91.5126495361,91.3952560425,1778,90.22
109.774810791,109.836769104,110.661857605,110.204574585,109.718734741,110.711883545,110.681930542,111.012908936,109.961296082,110.864532471,5416,109.31
103.583343506,100.721008301,101.432479858,101.514823914,100.904022217,101.030693054,101.542350769,100.926994324,101.144004822,101.673408508,3622,102.48
77.0866470337,75.33984375,77.4903335571,76.3298568726,77.2737426758,77.4427719116,77.9871444702,77.3128433228,77.7175979614,76.6913375854,6266,73.53
90.9566421509,91.379196167,91.8789138794,91.0303039551,91.8603439331,91.3389511108,92.0175857544,91.2955780029,91.8334655762,90.8512573242,1535,100.25
90.9714813232,91.3471374512,91.8856430054,91.9387969971,91.8625640869,91.1359176636,91.8018951416,91.2935943604,89.9728393555,91.3775253296,3656,88.31
101.940704346,102.241455078,101.114532471,101.254676819,102.997955322,102.798492432,100.536720276,101.532966614,103.410263062,101.095726013,1164,108.92
100.71181488,103.585235596,101.116638184,99.9935684204,101.43712616,100.697395325,102.205703735,102.307350159,100.992034912,101.246292114,301,101.66
91.5413894653,91.8341217041,91.881652832,91.7894973755,91.9989242554,92.422088623,91.9342498779,91.2868041992,91.9334869385,91.1713943481,1391,97.99
110.775924683,109.945732117,110.533737183,110.739776611,109.833824158,110.895736694,110.071853638,110.652442932,111.088348389,110.476264954,6727,109.93
92.8595352173,92.1925735474,91.3593673706,91.9107284546,91.6717376709,92.0430374146,91.090675354,91.2983551025,91.9287414551,91.4139556885,184,96.96
91.2578887939,91.3500442505,91.8290100098,91.9027709961,91.2574920654,91.1407394409,92.0224761963,91.1804656982,91.9349060059,91.5360107422,948,101.02
110.327026367,109.945861816,110.661773682,110.204475403,110.173484802,110.295829773,110.655517578,111.011947632,110.111724854,110.643875122,2287,109.68
109.774703979,109.944854736,110.125282288,110.738601685,110.178703308,110.318878174,110.450561523,110.515113831,110.298027039,110.474250793,5035,111.64
109.774436951,110.242004395,110.036170959,110.204338074,110.992210388,110.134086609,110.450881958,111.015632629,110.110206604,110.470169067,1245,107.51
77.2666931152,77.3969116211,77.4420471191,75.6087875366,75.8411560059,77.4444732666,77.2870635986,77.1609268188,77.690826416,77.2528839111,1655,82.24
103.554946899,103.497932434,101.076400757,103.526298523,103.786979675,103.473823547,101.893043518,101.176185608,100.995819092,103.046684265,1500,101.06
91.3776321411,91.7122268677,91.886756897,92.750617981,92.9939804077,92.0485305786,92.0230941772,91.2970428467,91.5392532349,91.6030426025,5175,99.49
101.097373962,103.086647034,100.984565735,101.445327759,102.724182129,100.935295105,103.210510254,100.753234863,102.668952942,100.661231995,7097,98.75
91.2417678833,92.1955108643,90.98072052,92.0871276855,91.8986358643,91.8760910034,92.0233612061,91.9135665894,91.4854049683,92.4061965942,4597,91.99
91.3759536743,91.4352035522,91.2380142212,91.7942886353,92.0001525879,91.0817337036,91.9363861084,91.5942687988,91.9334640503,91.4104537964,4775,97.69
104.598197937,100.857452393,109.430725098,107.06451416,101.730499268,103.06073761,104.962120056,101.791732788,103.408958435,101.396453857,2014,104.37
101.796287537,100.84954071,101.422340393,101.540122986,103.000671387,102.490623474,98.083694458,100.913703918,103.41242218,101.633102417,2425,100.5
110.327545166,110.749427795,110.036567688,110.740127563,110.178962708,110.134307861,110.07233429,110.087615967,109.962654114,110.474601746,1936,114.35
90.9710769653,92.1959228516,90.9810180664,91.9404754639,91.6716842651,91.1334533691,90.6402893066,91.293182373,91.8282165527,91.7792510986,3178,93.62
110.774932861,109.945953369,110.036628723,109.931129456,109.718559265,110.895759583,110.451179504,110.074295044,110.298927307,110.883560181,7088,113.83
110.679893494,109.945289612,110.032218933,110.204826355,110.991767883,110.319328308,110.152557373,110.473442078,109.961975098,110.863693237,4977,107.29
109.774383545,110.241905212,110.036407471,110.303276062,110.178405762,110.896064758,110.070030212,110.653007507,109.78276825,110.623954773,920,111.47
103.588218689,100.849990845,101.07094574,102.874427795,103.000411987,102.06817627,103.781341553,101.458763123,101.069869995,100.660774231,3033,95.74
91.2361602783,91.8363265991,90.9952545166,91.9330749512,91.668762207,92.0539550781,92.0193634033,91.2942199707,91.9284133911,90.9457855225,5625,88.22
110.775550842,110.241958618,110.12752533,110.739685059,110.894683838,110.89641571,110.687492371,110.083450317,109.782218933,110.884063721,3105,106.54
109.853378296,110.751243591,110.659317017,110.203834534,109.8332901,110.134178162,110.450309753,110.088470459,110.107002258,110.859802246,7302,131.67
