keras_MAE2_lgY_relu0,keras_MAE2_lgY_relu1,keras_MAE2_lgY_relu2,keras_MAE2_lgY_relu3,keras_MAE2_lgY_relu4,keras_MAE2_lgY_relu5,keras_MAE2_lgY_relu6,keras_MAE2_lgY_relu7,keras_MAE2_lgY_relu8,keras_MAE2_lgY_relu9,keras_MAE2_lgY_relu10,keras_MAE2_lgY_relu11,keras_MAE2_lgY_relu12,keras_MAE2_lgY_relu13,keras_MAE2_lgY_relu14,keras_MAE2_lgY_relu15,keras_MAE2_lgY_relu16,keras_MAE2_lgY_relu17,keras_MAE2_lgY_relu18,keras_MAE2_lgY_relu19,keras_MAE2_lgY_relu20,keras_MAE2_lgY_relu21,keras_MAE2_lgY_relu22,keras_MAE2_lgY_relu23,keras_MAE2_lgY_relu24,keras_MAE2_lgY_relu25,keras_MAE2_lgY_relu26,keras_MAE2_lgY_relu27,keras_MAE2_lgY_relu28,keras_MAE2_lgY_relu29,ID,y
102.728904724,100.357582092,106.16721344,106.361190796,108.675987244,99.9016418457,106.698059082,102.066932678,107.592086792,110.572982788,104.223693848,105.750434875,104.214538574,99.5904769897,103.106651306,102.537246704,97.3553009033,106.357521057,107.683036804,102.921974182,97.8671951294,102.007102966,105.550704956,105.116752625,106.950187683,106.918190002,107.598464966,108.204391479,104.568527222,103.149459839,877,111.74
105.459381104,106.266769409,95.8247528076,101.897071838,104.69278717,105.469551086,102.889289856,103.925872803,103.54724884,101.118209839,99.2049713135,102.673561096,104.939727783,102.368919373,106.168365479,104.896621704,99.5863723755,104.840896606,101.01650238,97.5057601929,97.0557479858,98.9318237305,102.119552612,105.627479553,103.034240723,102.310997009,107.574485779,99.9699935913,105.19934082,103.16986084,6918,98.03
112.064933777,105.865158081,110.334663391,114.741767883,104.558158875,103.210906982,110.324981689,111.558357239,104.951263428,110.144866943,111.079879761,109.958183289,111.290298462,106.092216492,110.052536011,103.261741638,108.830001831,111.79775238,113.857162476,100.409049988,106.327842712,105.107337952,107.849571228,108.672096252,111.762023926,103.280441284,108.609214783,111.549842834,109.556137085,109.206130981,8123,106.0
92.1772918701,89.7813339233,90.4401168823,92.9784240723,90.8550720215,90.7797088623,92.7387084961,98.0189743042,86.7368164062,89.8565673828,88.8344802856,95.9928817749,93.6199493408,90.3809356689,85.4731445312,102.178855896,87.8488540649,93.4976196289,88.9886016846,95.8671264648,89.4312591553,90.0354766846,89.2003631592,92.5597229004,89.6503601074,90.2838058472,91.8098449707,92.7535018921,100.411087036,91.7222976685,6214,92.18
96.0518569946,91.543838501,97.0690307617,90.4414749146,93.0453033447,96.5673446655,93.0279083252,93.3894042969,95.4565811157,93.0615386963,91.0046920776,93.4234237671,95.0511398315,90.6607818604,91.1722640991,92.6563415527,92.8416213989,91.5481872559,91.878288269,89.6440124512,92.7009735107,93.5469360352,90.2099380493,97.3503112793,91.6904678345,92.4595947266,95.1974105835,93.5339508057,92.8434295654,93.3386688232,3480,88.27
96.925163269,93.2269287109,91.843421936,91.261390686,88.6565170288,90.8834533691,93.5018844604,89.3675918579,91.1565551758,91.2514724731,91.5364379883,95.9383163452,85.9227142334,91.1885528564,91.7451934814,92.6296691895,90.2237014771,93.1790618896,95.1776275635,92.496673584,91.7586288452,92.0743637085,93.4458618164,92.5702209473,91.9599990845,90.4125366211,95.310546875,89.5926208496,91.6470947266,92.7806396484,3047,91.07
93.9818344116,90.013130188,93.0858459473,93.0762023926,97.8541717529,93.2455215454,92.6327819824,90.9959106445,86.7907180786,96.1675643921,92.0551528931,93.6361465454,93.0332641602,93.2648849487,91.5742721558,93.1502761841,87.6160049438,99.3581848145,95.8518676758,91.2507476807,92.7471923828,93.6445922852,91.7128677368,90.8262176514,94.9610671997,92.8145675659,94.9105529785,89.3696746826,92.5216751099,91.1723403931,6808,94.1
91.973526001,95.1577148438,96.1046218872,91.627571106,92.3204574585,91.5017776489,91.753326416,93.5602111816,93.1192626953,88.7389144897,94.9532623291,91.7672424316,92.3817520142,95.3084106445,91.8364486694,92.8829650879,86.9646606445,91.8633499146,97.1611099243,91.6285400391,91.5965042114,92.6169204712,90.8209152222,93.1722564697,94.0016479492,91.0411682129,93.4986038208,90.7350692749,95.7421112061,93.1293563843,442,90.54
97.398727417,100.26171875,101.548782349,99.393951416,98.421005249,96.6381530762,96.1491394043,100.588562012,98.8258056641,104.481277466,99.8638687134,106.805908203,95.0260772705,101.618461609,99.9168930054,103.432449341,100.066162109,99.7944488525,99.8871154785,100.73273468,101.068840027,105.869529724,103.175392151,101.121665955,97.2272720337,99.2111434937,102.896606445,101.815628052,100.782463074,98.7904205322,7478,97.87
87.8929214478,88.7786560059,92.9268417358,91.6825714111,86.1432952881,90.3091430664,91.100730896,93.0793609619,92.9122314453,91.4155807495,94.0851974487,94.980506897,91.7947616577,92.4600906372,90.4783248901,90.3075561523,88.1666717529,93.2620697021,99.0642776489,88.0603637695,92.2074356079,93.8678359985,91.4593505859,91.8478240967,93.0757064819,92.3986740112,93.1581497192,89.8526763916,90.986114502,91.4714431763,4768,90.58
93.1508407593,89.780960083,95.1719055176,92.856803894,91.0679855347,92.6694564819,90.5346984863,90.2228546143,82.9665603638,92.6373519897,91.265296936,90.8891677856,91.2291946411,92.4878845215,88.7527236938,92.6917572021,89.7627029419,91.8535690308,90.0245285034,86.7733383179,88.744392395,90.9398651123,91.8538665771,91.846496582,92.7851409912,93.0299987793,92.4490432739,90.1949310303,88.5819702148,92.2590560913,6801,89.06
111.287841797,105.567314148,108.492004395,109.33807373,112.756011963,108.712539673,116.436706543,107.517662048,111.274765015,109.421409607,111.592689514,109.241928101,108.633346558,109.894515991,107.978660583,106.579620361,110.620178223,107.280632019,106.717773438,102.734588623,113.715736389,113.217643738,108.898880005,109.072540283,112.746200562,114.368972778,113.636528015,112.303405762,111.031204224,109.969863892,3697,109.44
94.5685958862,87.1765136719,94.2399749756,89.3511199951,90.8061294556,95.2949447632,93.4995346069,92.772102356,91.1611175537,94.7608413696,94.5390548706,95.3382949829,88.8253479004,92.7839660645,91.0735626221,90.8894042969,86.2344970703,92.6144790649,91.5716781616,89.2321014404,90.4692153931,92.7555541992,95.3254547119,93.0927429199,91.3301849365,93.9923477173,92.7697982788,96.7381362915,92.2905578613,92.5174942017,4427,97.68
85.7406463623,93.382522583,89.7449188232,92.9286956787,88.2809753418,90.8947677612,91.4371185303,89.7363739014,90.9839935303,91.0842971802,94.9860534668,94.766708374,86.3203887939,91.9054946899,95.2072525024,93.8820037842,90.0607376099,92.8243484497,96.136428833,92.1476745605,92.2486190796,92.2012786865,89.741355896,91.605255127,92.1181945801,89.3232345581,94.1727752686,88.4626617432,92.6049499512,95.6809005737,1688,91.21
96.986579895,92.2362518311,93.7314987183,92.2973251343,91.248336792,94.4407501221,94.8878860474,95.4172286987,98.5246429443,91.2850189209,86.6353683472,95.5307846069,90.6945419312,93.3752288818,90.3441314697,95.2694244385,98.9225234985,92.2183151245,93.4691619873,86.7777938843,95.2006378174,91.1070175171,94.6437835693,91.8832397461,96.2764053345,96.316368103,97.6594848633,92.3243865967,100.524909973,94.8884735107,466,91.16
103.992279053,102.306365967,92.4640808105,107.994628906,101.281562805,104.094184875,104.593070984,100.91683197,99.2713851929,102.638916016,105.927940369,104.088317871,102.796676636,104.796012878,98.8749771118,101.220039368,103.027984619,102.189559937,101.391029358,98.3703918457,98.2820587158,101.512260437,102.222740173,100.161148071,101.295455933,108.167633057,101.703605652,100.565254211,100.735717773,98.6287002563,1617,123.68
87.4291992188,90.2139129639,90.9431381226,88.9030532837,91.1761474609,93.6508789062,91.8126983643,89.5520248413,90.1736907959,91.256690979,91.9165878296,90.6589660645,92.5853271484,88.0205535889,88.8167572021,89.0454177856,93.1671447754,92.5662460327,94.5483551025,95.3697509766,96.1358108521,92.7667007446,88.559135437,92.3120880127,89.5736312866,92.0314025879,93.0452270508,89.2592468262,91.5027389526,91.7110748291,268,87.09
93.7045593262,92.9115905762,95.3478927612,92.4437332153,92.5068130493,95.9158248901,92.4132843018,95.2192001343,97.7130813599,94.2256469727,90.8528747559,93.8391036987,94.4765396118,91.8782958984,93.2582626343,97.0841293335,93.4000396729,95.4790649414,97.0696258545,95.8949890137,90.7066345215,91.8225402832,92.4089736938,93.7243347168,94.0205078125,85.8198394775,93.3267211914,91.3587036133,92.5546569824,95.7033309937,3771,92.97
