keras_MAE2_relu0,keras_MAE2_relu1,keras_MAE2_relu2,keras_MAE2_relu3,keras_MAE2_relu4,keras_MAE2_relu5,keras_MAE2_relu6,keras_MAE2_relu7,keras_MAE2_relu8,keras_MAE2_relu9,keras_MAE2_relu10,keras_MAE2_relu11,keras_MAE2_relu12,keras_MAE2_relu13,keras_MAE2_relu14,keras_MAE2_relu15,keras_MAE2_relu16,keras_MAE2_relu17,keras_MAE2_relu18,keras_MAE2_relu19,keras_MAE2_relu20,keras_MAE2_relu21,keras_MAE2_relu22,keras_MAE2_relu23,keras_MAE2_relu24,keras_MAE2_relu25,keras_MAE2_relu26,keras_MAE2_relu27,keras_MAE2_relu28,keras_MAE2_relu29,ID,y
89.2238769531,99.7766876221,103.467132568,94.5919876099,94.6081695557,98.6100769043,97.329284668,93.1406021118,98.9785766602,93.7094650269,95.0925598145,90.5274429321,96.2517547607,93.6919555664,93.2615203857,93.7431640625,93.1373062134,101.898658752,94.3185501099,97.8260803223,89.0706100464,91.2944717407,94.2772293091,95.0219421387,97.0800704956,91.5263442993,97.4029159546,96.284866333,95.9679031372,95.747833252,4714,88.18
105.659584045,115.224128723,110.333938599,110.61680603,112.001441956,112.288986206,113.14540863,113.54876709,107.191207886,109.938209534,109.576011658,110.88621521,108.625587463,110.37071991,106.988456726,117.678321838,108.691505432,107.386764526,110.032447815,106.466712952,108.905754089,110.143157959,110.831436157,114.606269836,111.722801208,110.626976013,114.32244873,113.519294739,111.545425415,107.132331848,4256,119.88
99.3880844116,94.7702636719,93.6695861816,95.4911193848,94.8791046143,92.4594497681,91.5406570435,94.1315689087,94.2747497559,95.7468109131,96.8397903442,91.931602478,102.635597229,100.557823181,90.4043121338,94.6765136719,94.102645874,92.3082733154,93.8978424072,92.9798812866,93.2678451538,93.3484573364,90.739692688,90.395690918,93.9682846069,91.1461181641,90.4133377075,94.1646194458,94.5615921021,93.4321670532,6133,89.51
102.882110596,112.850761414,105.265029907,106.936660767,119.747177124,106.662857056,105.597930908,110.634643555,108.007087708,108.566505432,111.959320068,108.465713501,105.342376709,110.030815125,106.311843872,113.502342224,106.298927307,106.298339844,107.529273987,112.875617981,106.796638489,108.947174072,110.981117249,109.98500824,107.365280151,113.367919922,110.28289032,110.911018372,110.013870239,109.310592651,4819,119.7
91.5634994507,93.8544769287,94.1942062378,90.671661377,94.6832351685,90.4552841187,90.0541687012,93.6733169556,92.8225326538,88.9852752686,93.1036682129,88.8407669067,96.218536377,90.8698196411,90.0142974854,94.8788146973,89.3366317749,94.3435821533,92.8904342651,91.931312561,89.8588256836,92.2098388672,90.0980529785,87.513420105,90.5973434448,91.4047164917,94.9035339355,88.587852478,91.4160995483,91.9262771606,5332,91.48
98.154548645,103.779663086,102.878898621,103.524894714,104.82194519,103.029602051,101.082992554,106.236061096,97.1894226074,100.774215698,104.853271484,100.677909851,100.830528259,102.674049377,101.643745422,100.068855286,99.3091201782,104.555610657,101.834327698,100.074104309,101.375267029,102.259147644,101.35572052,103.038673401,106.127784729,100.631973267,98.1636657715,102.578720093,103.669464111,101.607269287,3809,102.31
97.0627212524,92.5787811279,99.9092025757,94.8871612549,95.1757736206,99.2180328369,94.5112304688,91.463218689,95.2761154175,91.0410308838,95.2725524902,93.923034668,88.9680099487,98.9991226196,94.5808792114,92.2479019165,94.9136810303,98.8375930786,95.1975784302,90.987159729,93.0979766846,97.2042999268,96.7153930664,99.972076416,93.4192123413,91.5521392822,95.2370300293,101.369972229,94.5384140015,94.266960144,667,88.69
94.3225097656,90.8642959595,99.2479782104,91.166847229,89.8050613403,89.6296081543,88.4625244141,92.3082199097,90.4048690796,94.78175354,95.8144073486,89.7904586792,91.0398483276,91.5398406982,90.261390686,88.3250656128,90.6308517456,94.8135757446,90.1730957031,91.561958313,92.2693252563,91.0418243408,93.2761001587,95.4526901245,88.5008392334,89.2157440186,93.5495681763,91.1719589233,93.4198913574,92.0729675293,5872,100.57
92.8720932007,93.5905609131,94.695892334,89.9764251709,95.5476608276,94.8533096313,95.6075897217,92.2642288208,92.2102203369,92.6724243164,91.4623336792,91.6640472412,94.1450195312,88.3425674438,89.1170425415,91.3646011353,95.5359954834,93.9946899414,86.9064712524,91.0708007812,91.025062561,89.962387085,92.4905929565,90.0313644409,93.4641342163,93.1522598267,90.3990631104,94.7409896851,92.794342041,91.7846908569,7449,109.17
93.5667572021,97.0903396606,96.7115707397,94.3338699341,95.0729522705,92.7422714233,97.0010910034,92.6615447998,93.9841766357,93.2357788086,92.2062072754,91.7106628418,91.0933380127,89.2623214722,92.779045105,97.3190078735,89.3097610474,91.4312744141,88.1847839355,91.0662307739,91.395904541,90.0398406982,91.2575073242,93.2509231567,93.7106323242,98.7807922363,94.8256759644,95.3489685059,93.5927581787,93.5572738647,5432,99.02
