keras_MAE3_None_relu1,keras_MAE3_None_relu2,keras_MAE3_None_relu3,keras_MAE3_None_relu4,keras_MAE3_None_relu5,keras_MAE3_None_relu6,keras_MAE3_None_relu7,keras_MAE3_None_relu8,keras_MAE3_None_relu9,keras_MAE3_None_relu10,keras_MAE3_None_relu11,keras_MAE3_None_relu12,keras_MAE3_None_relu13,keras_MAE3_None_relu14,keras_MAE3_None_relu15,keras_MAE3_None_relu16,keras_MAE3_None_relu17,keras_MAE3_None_relu18,keras_MAE3_None_relu19,keras_MAE3_None_relu21,keras_MAE3_None_relu22,keras_MAE3_None_relu23,keras_MAE3_None_relu24,keras_MAE3_None_relu25,keras_MAE3_None_relu26,keras_MAE3_None_relu27,keras_MAE3_None_relu28,keras_MAE3_None_relu29,keras_MAE3_None_relu30,keras_MAE3_None_relu31,keras_MAE3_None_relu32,keras_MAE3_None_relu33,keras_MAE3_None_relu34,keras_MAE3_None_relu35,keras_MAE3_None_relu36,keras_MAE3_None_relu37,keras_MAE3_None_relu38,keras_MAE3_None_relu39,ID,y
101.117958069,94.0130691528,96.3214950562,97.0992050171,96.6424789429,106.638572693,101.665122986,91.2771224976,102.816871643,96.6997070312,102.077888489,104.711662292,106.466384888,94.1310806274,97.795501709,103.240631104,101.157608032,95.8011550903,101.362785339,98.201965332,92.8816223145,93.2692108154,104.660850525,91.0455245972,104.199058533,95.4362030029,93.2747192383,96.3110275269,109.78704071,93.4953765869,90.0078811646,108.519348145,97.8171081543,100.660812378,96.2036209106,110.564361572,100.772880554,95.8375778198,0,130.81
89.3003540039,88.6962966919,93.5888748169,90.7254257202,93.5319366455,89.2739028931,91.6336212158,92.0084457397,91.5575485229,95.6705627441,89.4721069336,88.5989990234,88.9546737671,89.7544555664,89.7401504517,90.1746520996,89.1106872559,93.6449508667,91.8136444092,89.550567627,91.435546875,92.6550827026,89.0476760864,86.318649292,88.7959594727,92.0063095093,90.7722244263,91.2315444946,91.1670532227,89.5620117188,90.3985977173,92.0628128052,91.2458877563,92.0651168823,90.3673477173,90.1083068848,92.5537185669,91.2661590576,6,88.53
73.9732284546,77.7497406006,76.1536865234,77.1672973633,77.8262023926,80.1071090698,74.7585983276,78.154838562,76.4132232666,72.409324646,78.3366165161,78.8247070312,80.0389022827,76.751335144,78.0999603271,77.3433609009,76.3889083862,78.1592483521,75.0252609253,77.2175292969,77.3659973145,77.6778945923,77.0469741821,76.0735473633,73.46144104,76.3692703247,72.8490524292,75.8916625977,76.6199417114,75.7040100098,78.4289016724,76.8893585205,75.4899597168,77.0819473267,77.730255127,75.0149154663,79.0936508179,77.9036560059,7,76.26
74.4962310791,83.0159988403,77.7379455566,74.0749359131,78.4896240234,77.1957473755,77.4417648315,76.5817489624,74.0527038574,76.9947509766,75.0079421997,80.8544769287,80.7578277588,77.3752746582,76.7371673584,82.5791931152,79.4759368896,75.7686767578,76.9814453125,76.6804885864,80.5598526001,74.0405502319,81.7074127197,74.35962677,75.9563217163,76.7846069336,77.8230209351,74.9736709595,76.811668396,73.9627838135,74.6392974854,73.4933776855,77.2153320312,77.1002655029,76.4438018799,75.7611312866,80.7588806152,82.2707061768,9,80.62
76.3221588135,74.1952972412,80.029045105,78.8402709961,78.6565628052,76.4774093628,79.0971603394,77.4746780396,77.2282485962,76.568572998,74.6288757324,79.6781005859,79.0278930664,80.3076400757,75.2325592041,78.5908355713,78.5099945068,75.5636901855,79.1536026001,75.8124008179,77.4820632935,75.4244842529,73.7593841553,73.194694519,76.7421035767,78.1835708618,78.4759521484,75.7495040894,76.8866271973,75.2015838623,78.4928665161,79.0451126099,74.9205322266,78.1092529297,79.7408218384,75.7581100464,76.2694549561,83.7790603638,13,78.02
86.6058502197,91.9804916382,89.7774200439,88.668586731,89.6069412231,90.5124969482,90.069732666,90.5423965454,89.9292678833,89.5176849365,91.9724197388,88.0467681885,90.5419464111,88.3888473511,87.9375534058,89.595085144,89.4510192871,89.2191009521,91.5500564575,89.158454895,90.9164810181,88.5137557983,92.274307251,86.636756897,84.0794143677,90.304649353,85.8398132324,87.8087463379,93.2755203247,90.4272842407,93.3506774902,89.9056472778,88.4074554443,90.8392944336,89.222114563,88.8601303101,88.8681259155,91.3474273682,18,92.93
97.0776519775,96.5262832642,95.6599731445,99.5798416138,97.9032897949,95.1700286865,97.1965560913,95.0935058594,92.2462997437,96.5764389038,101.278236389,101.303161621,99.504119873,96.0751724243,94.8362731934,95.5171813965,99.5809936523,94.4351043701,99.9648590088,97.5850906372,96.4034423828,97.0982513428,96.0291595459,89.5687026978,92.8349456787,93.6184768677,97.4107666016,97.4189453125,94.9331207275,92.9418182373,95.2841949463,96.3513336182,93.3054046631,94.5560913086,96.3022384644,96.5134506226,96.5900268555,98.6703872681,24,128.76
92.2655715942,90.1988372803,95.2032623291,96.4412765503,92.1731719971,91.5984649658,92.0072860718,94.144859314,90.4308929443,90.5193405151,91.5721893311,92.178314209,90.9515838623,92.7793579102,90.04271698,91.9249801636,92.9431686401,92.3323059082,89.6322937012,90.9141311646,92.217956543,92.302406311,89.895942688,94.7828140259,91.2193832397,94.2205123901,92.1765518188,94.1195220947,92.5992660522,91.1830215454,92.6716690063,92.4957199097,92.5150604248,92.6393280029,90.2246856689,88.8600463867,91.0808486938,96.0460891724,25,91.91
108.656471252,108.587654114,112.120933533,110.387489319,107.445175171,106.714675903,111.839294434,109.713562012,112.837776184,105.97870636,111.712539673,109.74180603,113.571517944,113.417640686,105.086265564,109.741744995,112.101135254,106.73677063,111.449897766,110.525657654,111.803840637,104.757751465,116.472206116,112.774497986,108.168907166,110.708618164,105.228187561,107.844543457,106.874725342,115.635475159,111.477676392,107.826141357,107.454582214,109.802818298,107.283096313,112.180580139,105.578887939,109.468521118,27,108.67
111.296340942,113.34085083,112.753364563,112.614326477,110.604614258,108.813278198,109.844032288,105.26852417,109.446243286,111.069213867,112.734970093,106.191802979,111.425720215,108.575370789,112.04549408,111.505599976,108.849182129,109.765197754,109.007736206,111.55947876,108.718536377,111.118240356,112.537536621,106.757972717,112.205787659,109.581100464,104.915100098,112.606025696,110.089302063,109.420639038,113.741287231,113.147277832,111.116210938,110.702209473,106.008049011,109.835540771,110.510116577,116.274871826,30,126.99
107.954719543,101.585884094,103.970298767,107.150192261,100.513038635,104.45892334,104.071052551,107.070709229,107.865974426,105.680625916,107.660758972,98.3267364502,104.496925354,107.227081299,97.2896575928,102.049346924,99.0604705811,110.114440918,97.8958587646,104.453651428,104.361602783,100.781684875,102.93661499,108.667182922,105.633155823,106.984054565,104.093521118,106.325737,103.058486938,106.72844696,103.864463806,101.872138977,104.516708374,104.104866028,101.706535339,101.697052002,101.707077026,108.397850037,31,102.09
89.7819519043,92.6129684448,96.0635147095,92.537940979,96.9978027344,96.3870391846,95.0866088867,97.116569519,102.677337646,94.6321487427,96.9495849609,96.9036483765,93.6312484741,92.2705612183,92.1087112427,92.7260131836,92.6751098633,93.7992858887,101.976028442,95.5099487305,94.6616592407,92.3380432129,93.5954742432,93.6568450928,95.8521194458,93.6779403687,93.0357208252,99.8197937012,98.0488357544,94.131652832,97.7445907593,98.6555938721,92.0717163086,93.5234527588,92.0837478638,95.3628082275,93.4198760986,95.4664382935,32,98.12
90.5281982422,90.1678314209,93.2746505737,91.0068817139,89.2368927002,89.7510757446,90.4695739746,91.3981552124,89.3483581543,91.1292572021,88.6539459229,94.9526519775,92.0472564697,92.4298019409,90.4711074829,91.2606506348,91.3712768555,89.5773468018,91.4562759399,88.1291427612,95.2897109985,90.6274719238,92.5880126953,89.5015029907,91.1478881836,92.6126480103,91.7107696533,90.5151062012,91.7288742065,89.7035446167,91.7307739258,92.4158401489,89.7326812744,93.0846557617,91.3239517212,91.5060806274,91.8878250122,91.981590271,34,82.62
94.5938491821,90.141166687,96.5660324097,98.0601806641,94.1256637573,98.1138381958,96.7532424927,93.0612640381,93.6323165894,98.3435287476,92.2943649292,96.2743225098,91.8233642578,95.2672119141,93.144241333,94.7869033813,93.9532928467,95.02368927,94.1576766968,92.4120025635,92.4361877441,94.2089920044,90.0205459595,95.0952682495,92.2224884033,97.1901168823,95.9552307129,100.213729858,95.6949234009,101.139701843,95.1629562378,94.9826889038,94.117980957,94.5330505371,93.0420532227,94.7885665894,92.651802063,97.4569473267,36,94.12
90.2723388672,90.2258911133,91.8311767578,91.1096115112,89.6799468994,90.4189224243,95.8653717041,92.8321609497,99.3840713501,88.9664993286,95.6421127319,95.3432998657,92.7724456787,95.3235473633,92.7294845581,92.0453643799,98.3780670166,93.0517425537,96.958114624,89.2482681274,93.3453598022,93.9932403564,93.6999588013,91.7502212524,95.2188796997,91.192199707,92.4112701416,92.5541229248,92.7054824829,93.3490982056,97.0047302246,93.4092636108,95.6989517212,90.660484314,93.0358047485,90.3826751709,93.2819366455,92.6939239502,37,99.15
89.2806549072,94.8114547729,90.9831390381,95.105506897,92.223236084,94.2828216553,94.4186630249,91.7170181274,90.0102996826,93.7888870239,93.0798416138,97.4491424561,96.4226074219,95.4502563477,93.8836975098,94.0305938721,92.9433059692,90.7102355957,97.3936538696,93.3603744507,94.5518951416,94.0231933594,93.5757980347,90.2806930542,90.6484909058,91.9900894165,92.8166122437,91.7728805542,90.3320541382,90.9595489502,93.7243881226,90.1683044434,90.7018432617,93.0251464844,88.605682373,91.652633667,97.182762146,93.4305343628,38,93.64
94.5938491821,90.141166687,96.5660400391,98.0601806641,94.1256561279,98.1138381958,96.7532424927,93.0612640381,93.6323165894,98.3435211182,92.2943649292,96.2743225098,91.8233642578,95.2672195435,93.144241333,94.7868881226,93.9532928467,95.0236968994,94.1576919556,92.4120025635,92.4361877441,94.2089920044,90.0205459595,95.0952682495,92.2224884033,97.1901168823,95.9552383423,100.213729858,95.6949234009,101.139701843,95.1629714966,94.9826965332,94.1179885864,94.5330505371,93.0420532227,94.7885742188,92.6518096924,97.4569396973,39,106.1
99.4779281616,100.386528015,103.673217773,100.859947205,104.791519165,93.9145889282,100.410514832,105.670463562,100.264778137,98.6082687378,102.730567932,102.760971069,100.45098114,101.517601013,101.005760193,98.2842330933,104.816452026,105.004432678,102.576271057,103.097007751,103.175064087,101.922851562,104.226509094,106.739112854,101.222389221,103.926460266,101.198623657,100.181663513,104.457496643,103.041809082,106.227996826,98.1525650024,103.114547729,102.531539917,102.190124512,102.425285339,102.338874817,104.51612854,40,114.13
91.654083252,95.3243942261,94.2224273682,94.1551132202,90.5068206787,90.5393218994,92.0615997314,92.2008743286,93.4854431152,89.9096908569,91.5590591431,96.7430343628,94.168838501,96.0330963135,95.3055725098,96.1229782104,93.7722015381,90.9517288208,96.3516464233,88.9634170532,92.982131958,93.3949203491,94.2521057129,93.1378326416,89.850227356,94.1626434326,94.5662231445,90.4966430664,93.4335250854,95.2864379883,91.4219894409,94.8618621826,92.8050079346,91.9644165039,92.9613418579,91.30909729,94.5790786743,91.9577713013,44,89.81
89.6819915771,88.2142028809,92.6700057983,89.1505279541,90.0363616943,90.6017608643,91.2603912354,93.3696670532,89.84740448,92.0902709961,87.124168396,91.7905578613,88.4948196411,90.8350601196,88.7461013794,88.2286224365,91.3728637695,91.7128372192,90.5247802734,89.1485748291,92.0003662109,94.2646713257,91.1599197388,89.9310455322,90.3234100342,91.5462417603,90.9045562744,91.4250488281,90.6833572388,87.5788574219,89.788269043,90.3701553345,89.7196273804,91.5138778687,90.3466033936,87.5822753906,93.8901977539,91.4484634399,47,90.81
87.4172821045,94.4832839966,94.5065841675,90.6528549194,91.604637146,93.6458206177,94.7952651978,94.010925293,90.7338485718,89.9157485962,91.9144821167,91.3054428101,94.1268539429,91.2549362183,91.8371505737,92.1993560791,92.8806762695,94.2244949341,91.8516311646,89.7259597778,94.213973999,92.668762207,94.8266906738,91.9402694702,93.2812957764,90.7793807983,88.9198684692,91.3383483887,92.7962646484,91.4019393921,91.1387329102,88.8782958984,93.9897155762,93.3055496216,89.8571166992,89.8079833984,92.3640518188,93.2407989502,48,90.56
93.1272583008,93.7680282593,94.7394943237,92.888458252,96.2003097534,93.2983093262,92.0989761353,92.7975769043,94.0205383301,94.6645507812,91.9583816528,99.7850036621,98.1205368042,89.1300964355,93.5120315552,96.9600067139,95.9341278076,92.9076309204,97.0844268799,93.6579818726,95.5051269531,95.3192443848,95.9844970703,88.4711837769,90.2631378174,94.4365539551,94.0240020752,90.9639968872,93.2777786255,94.4127655029,97.0219573975,98.7071838379,95.9598007202,91.1973876953,92.0411376953,96.1625518799,93.7886505127,96.8100967407,49,94.57
115.373184204,110.398002625,111.58644104,111.186271667,108.839782715,114.236968994,112.709663391,112.895301819,115.053321838,109.796920776,113.321907043,111.375595093,113.086097717,116.021247864,108.202011108,111.206375122,113.846084595,113.48551178,110.936836243,113.402961731,113.361068726,113.845840454,112.49256897,109.260696411,114.354362488,111.889213562,114.156539917,107.939842224,113.229225159,110.8542099,115.215339661,108.686500549,107.618225098,113.788505554,110.633628845,111.187599182,115.297058105,115.39453125,50,108.14
106.153869629,111.306121826,112.653236389,107.245399475,110.09438324,110.895439148,114.709312439,116.36869812,108.995140076,109.87537384,105.3179245,105.598762512,107.698669434,112.191871643,106.751121521,106.019813538,110.356948853,110.983612061,110.190086365,107.52722168,107.426834106,106.996871948,107.867828369,114.476890564,114.09752655,109.369934082,111.847885132,111.410598755,114.27671051,109.516319275,111.302223206,107.713813782,110.794837952,108.78981781,112.058151245,112.709877014,111.264022827,114.406593323,52,120.77
90.1399230957,91.9184265137,92.7437057495,94.0483627319,93.6746826172,92.8721923828,92.0844802856,91.0131912231,90.6165618896,96.5913162231,94.6740570068,95.1458969116,96.2387695312,96.829246521,92.9134140015,94.1011886597,94.7604293823,91.4973144531,96.497543335,92.7149047852,92.8766403198,92.0429000854,94.0111694336,90.0159988403,91.024559021,92.9605941772,93.2553253174,94.2561569214,92.0998687744,92.424911499,90.4751434326,89.3325424194,90.0693511963,93.6795959473,91.5793991089,92.6257781982,96.1432647705,90.5574874878,54,84.84
93.289604187,89.7250366211,95.3385162354,97.266456604,92.0999755859,93.2457122803,92.8559188843,91.6915130615,92.1379318237,92.842376709,90.5255432129,88.9756774902,93.0531387329,91.4006500244,93.3200836182,91.4068145752,91.4249343872,89.160949707,93.895614624,94.4355545044,93.8535232544,91.9731369019,91.0799407959,92.1611785889,91.5699310303,92.7017974854,92.5529708862,93.9406814575,91.7691040039,91.7465744019,94.2364044189,93.4605712891,91.5062026978,92.9615402222,93.4372329712,91.8433227539,90.7345428467,96.2232971191,60,93.59
98.5883407593,102.315811157,102.433303833,100.3801651,98.9543075562,105.812446594,104.797424316,102.81287384,106.714401245,101.227287292,99.6827926636,96.0185546875,101.344474792,106.125144958,103.090286255,101.264312744,102.812866211,100.917945862,101.258811951,96.7832565308,98.6074752808,99.9411087036,100.225532532,103.402999878,100.719184875,99.3551559448,100.163520813,100.955085754,108.053619385,104.056838989,103.058425903,103.504394531,102.226860046,99.2101745605,98.9188766479,100.412071228,102.168167114,102.377235413,61,104.07
91.2767562866,92.7281723022,94.6195449829,92.1082611084,88.9851989746,92.7693099976,91.4070739746,89.1401748657,93.0948486328,91.6751251221,91.1655197144,97.2021255493,94.1143493652,93.8351211548,90.3249130249,93.4583129883,92.8955230713,89.5886611938,93.7183761597,92.9681777954,91.4157028198,94.435546875,91.8342132568,93.9901885986,89.2854232788,92.8912353516,99.3142166138,92.4011688232,90.5294494629,90.3272628784,94.444152832,92.5334396362,95.3305511475,93.0980529785,90.0297393799,95.9449386597,93.6416320801,96.6433334351,62,89.37
93.4834747314,91.3859710693,95.8874664307,95.46043396,91.7519836426,91.7732849121,95.8747329712,92.0251922607,89.90234375,90.6645965576,90.0975570679,90.7765426636,90.7676849365,92.3372268677,91.2938842773,92.1840896606,90.4132080078,94.7297592163,91.3417282104,93.4038314819,90.2137680054,91.6600799561,89.7545471191,93.4869766235,93.05909729,92.1433944702,92.4718780518,92.8729629517,91.5892333984,90.556930542,92.5278778076,95.8928070068,90.288772583,93.4361419678,90.967086792,90.5429153442,90.3176498413,92.6453552246,66,90.08
106.15385437,111.306121826,112.653259277,107.245399475,110.094390869,110.895439148,114.70929718,116.36870575,108.995132446,109.875358582,105.31791687,105.5987854,107.698654175,112.191879272,106.751121521,106.019813538,110.356964111,110.983604431,110.190086365,107.52721405,107.426818848,106.996871948,107.86782074,114.476928711,114.09752655,109.36995697,111.847900391,111.410598755,114.276725769,109.516319275,111.302223206,107.713912964,110.794837952,108.78981781,112.058174133,112.709861755,111.264030457,114.406608582,67,128.19
75.8709411621,80.6942520142,79.6215057373,75.5387496948,78.870803833,77.6713409424,78.2780075073,77.2138748169,74.7948455811,77.0649337769,75.667640686,80.6103591919,79.1077346802,78.0458984375,77.2444534302,82.2904968262,79.4706420898,76.3885803223,78.485458374,76.3349533081,80.6480712891,75.5597915649,81.7664413452,76.5251998901,75.9843826294,77.1262588501,78.4800567627,75.141494751,76.0863189697,74.5091934204,75.9897003174,75.2567138672,79.208404541,77.9938964844,76.5838775635,77.1888504028,81.0645828247,81.2952957153,68,76.01
110.197280884,109.534431458,112.966499329,116.042457581,109.447990417,113.178993225,106.795295715,110.719444275,109.810684204,109.051101685,116.216682434,109.150588989,116.875198364,111.498016357,109.198654175,107.764823914,115.121452332,114.628059387,109.083816528,108.294303894,107.142044067,111.906097412,111.459709167,109.094322205,110.850196838,113.880393982,111.833938599,109.059921265,111.384490967,109.622970581,112.83821106,108.997535706,110.327392578,110.63230896,110.695861816,104.403068542,113.39616394,117.705123901,70,107.86
106.153884888,111.306144714,112.65322876,107.245429993,110.094398499,110.89540863,114.709320068,116.368713379,108.995140076,109.87537384,105.317939758,105.598831177,107.698669434,112.191848755,106.751106262,106.019821167,110.356864929,110.983612061,110.190101624,107.52722168,107.426879883,106.996871948,107.867843628,114.476837158,114.09753418,109.369934082,111.847900391,111.410621643,114.276672363,109.516319275,111.302223206,107.713859558,110.794792175,108.789916992,112.05821228,112.709915161,111.26411438,114.406608582,74,106.87
