keras_MAE3_lg_relu1,keras_MAE3_lg_relu2,keras_MAE3_lg_relu3,keras_MAE3_lg_relu4,keras_MAE3_lg_relu5,keras_MAE3_lg_relu6,keras_MAE3_lg_relu7,keras_MAE3_lg_relu8,keras_MAE3_lg_relu9,keras_MAE3_lg_relu10,keras_MAE3_lg_relu11,keras_MAE3_lg_relu12,keras_MAE3_lg_relu13,keras_MAE3_lg_relu14,keras_MAE3_lg_relu15,keras_MAE3_lg_relu16,keras_MAE3_lg_relu17,keras_MAE3_lg_relu18,keras_MAE3_lg_relu19,keras_MAE3_lg_relu21,keras_MAE3_lg_relu22,keras_MAE3_lg_relu23,keras_MAE3_lg_relu24,keras_MAE3_lg_relu25,keras_MAE3_lg_relu26,keras_MAE3_lg_relu27,keras_MAE3_lg_relu28,keras_MAE3_lg_relu29,keras_MAE3_lg_relu30,keras_MAE3_lg_relu31,keras_MAE3_lg_relu32,keras_MAE3_lg_relu33,keras_MAE3_lg_relu34,keras_MAE3_lg_relu35,keras_MAE3_lg_relu36,keras_MAE3_lg_relu37,keras_MAE3_lg_relu38,keras_MAE3_lg_relu39,ID,y
98.368522644,99.8381500244,104.336425781,106.257606506,93.248336792,95.9432983398,96.7053527832,109.92300415,114.917121887,90.1520004272,101.878356934,95.2278671265,101.212738037,101.609016418,101.384971619,90.9470825195,102.361663818,88.9889907837,94.1661529541,99.1996765137,92.9185791016,98.4187850952,94.5120620728,95.6658172607,102.983589172,107.74331665,95.3511123657,107.977745056,113.901771545,101.808746338,94.3760681152,93.3787384033,107.059669495,94.7582702637,98.4183502197,108.067649841,113.536682129,117.340774536,0,130.81
89.4786987305,91.6559906006,90.5120773315,91.3870315552,91.983001709,89.2134094238,97.4347229004,88.9312667847,89.0306243896,85.9019012451,90.7621078491,90.4728012085,90.2798538208,89.2596130371,97.4579315186,99.6299591064,91.9191131592,95.8350982666,93.80909729,101.900665283,85.4144134521,85.3399429321,84.2718963623,92.6014862061,94.9638366699,87.3712615967,89.8835601807,91.8421707153,91.3607940674,89.7919769287,91.4216537476,87.7188796997,89.8210678101,95.348449707,96.7921142578,95.9555969238,95.5689849854,93.0978775024,6,88.53
75.9060821533,76.902305603,74.5568466187,77.4300994873,76.1365966797,77.9566345215,76.712600708,78.395652771,78.2167129517,79.14012146,78.3822937012,78.1137924194,80.6600799561,78.8169555664,79.5948944092,73.8088378906,74.8547210693,77.566368103,75.9309005737,79.2263031006,74.7067642212,78.5157623291,77.3301467896,72.9962081909,80.377532959,77.4069366455,76.3598480225,75.7318267822,76.5503845215,74.8899841309,74.2525787354,71.5961074829,74.159866333,73.1208648682,76.2506027222,83.0731887817,75.7068405151,77.4777679443,7,76.26
71.198600769,74.0176086426,80.8093338013,79.665145874,82.5653610229,79.5273895264,82.1100921631,83.9498748779,79.576133728,80.8591003418,79.2922897339,75.438583374,81.4513397217,79.6075286865,75.3877868652,75.9340057373,73.3376083374,82.2121124268,76.7203063965,71.7325439453,75.4247894287,72.0879516602,76.4965667725,72.5386886597,82.1705627441,75.8604431152,75.1892242432,81.8655319214,82.8008499146,81.8317871094,74.6824874878,75.4347076416,75.6009750366,80.9928283691,81.1741256714,80.7898178101,78.7468109131,83.73777771,9,80.62
73.9504089355,74.4851913452,76.0013580322,78.5678253174,72.5902404785,72.465057373,82.2887420654,75.7032928467,75.3073730469,74.4136047363,81.5401916504,74.9135437012,81.4930877686,77.4817657471,79.148727417,80.4832000732,80.6452026367,78.9775009155,81.5296020508,79.7123718262,76.6720123291,72.8580703735,70.446685791,80.7285232544,75.714302063,72.0904312134,71.5032501221,76.6986618042,80.1502990723,74.6838378906,76.19871521,70.1206512451,77.0668182373,79.6120071411,86.3575134277,80.5719604492,75.5751266479,76.2750320435,13,78.02
89.0032806396,91.6132736206,90.6762008667,91.6488876343,87.6345977783,93.4570922852,88.082824707,94.0206451416,91.6991653442,91.8122558594,89.8331451416,97.6093063354,94.0745697021,91.4205245972,96.6653289795,93.7500305176,90.9774169922,90.7380981445,88.6231765747,93.0843353271,90.3775177002,84.5555267334,89.2315139771,86.8981704712,93.8866424561,87.1164550781,87.6376495361,93.6079864502,91.616569519,87.0923538208,88.541847229,89.6568145752,86.916633606,89.3390808105,85.8495178223,97.225189209,91.7919616699,93.1109161377,18,92.93
84.1778259277,105.432670593,98.1664886475,94.9926147461,99.4675445557,92.6538848877,95.0417327881,95.9951477051,99.8255462646,93.1975402832,100.500709534,96.068687439,100.857872009,88.7887496948,91.0214233398,101.843902588,90.6407394409,89.1652069092,89.9264068604,92.9870910645,95.6941986084,94.3383026123,97.4086761475,92.391998291,98.661567688,97.8559265137,96.895652771,98.813583374,102.829872131,99.2462005615,92.8830108643,95.3997344971,98.2550964355,91.9906463623,99.2406387329,97.541519165,104.79410553,100.974876404,24,128.76
91.1817932129,85.5834655762,90.8956451416,87.6413574219,88.2639770508,88.5127792358,100.9972229,92.5046386719,90.830696106,89.4457168579,100.521621704,88.0274963379,95.5519943237,94.4466094971,94.0217285156,98.9938201904,95.5746536255,96.3362121582,95.824180603,111.866203308,97.0381011963,89.7633895874,83.0071105957,97.3781433105,95.1580505371,87.0855865479,88.2373046875,93.2311401367,94.9351425171,93.051071167,93.7285919189,91.5706863403,90.6198883057,92.8885650635,100.52571106,99.7646026611,90.0637969971,95.4692230225,25,91.91
109.706092834,116.025131226,111.087272644,110.840927124,117.267745972,116.965110779,111.749458313,118.523605347,113.799705505,112.232208252,114.830978394,117.960105896,116.592514038,110.603988647,116.422317505,106.819320679,112.730834961,111.849868774,110.859603882,115.194282532,110.143119812,116.21937561,108.304679871,106.374336243,105.409172058,105.528274536,109.97744751,102.679367065,107.417312622,113.320602417,106.495582581,109.068649292,111.174331665,113.544540405,114.232528687,117.972015381,105.642173767,105.306564331,27,108.67
104.51763916,111.403320312,108.531745911,108.899330139,102.901367188,110.228408813,110.681495667,114.581993103,112.103996277,107.214294434,111.38760376,109.657318115,118.821922302,105.408416748,103.083595276,105.314254761,103.649520874,107.485801697,109.886856079,108.419677734,108.842010498,105.771469116,109.320899963,109.508430481,118.358253479,112.965072632,108.023757935,112.099693298,111.907974243,108.535079956,107.023468018,110.010177612,107.147514343,109.49899292,113.911277771,121.536849976,116.233665466,120.084999084,30,126.99
104.090873718,102.405784607,106.989456177,108.440093994,105.953659058,99.0485610962,115.33052063,109.946716309,107.015480042,109.912017822,107.59703064,111.415367126,104.938087463,102.407073975,105.437240601,111.30330658,109.517501831,108.110488892,104.06716156,110.176864624,108.103187561,99.7474822998,102.52835083,109.659973145,105.204345703,102.885887146,100.333839417,103.845046997,107.321296692,109.112609863,105.540847778,98.3488388062,103.367843628,108.213989258,107.725753784,116.231689453,103.33164978,111.107765198,31,102.09
91.0953826904,96.0417938232,96.4785003662,98.2092132568,103.100006104,108.960624695,101.500976562,99.8775405884,103.23072052,98.6713180542,99.3679351807,103.276123047,97.8571853638,97.3761444092,102.704574585,93.2320556641,94.7462005615,98.8305969238,98.1493301392,98.1585388184,95.9069671631,90.3455963135,95.3321990967,92.6497421265,97.0577087402,91.1387023926,91.8422241211,98.3552093506,94.4560165405,96.4462738037,93.831451416,93.8636550903,90.468460083,94.9773101807,87.6316833496,111.399101257,94.2457427979,105.138244629,32,98.12
85.126663208,92.9471282959,90.1649627686,97.4276046753,89.0323867798,94.54662323,91.5306854248,97.1493225098,93.3833770752,91.6018066406,90.0687179565,89.0414276123,98.94190979,93.5162506104,86.0670166016,86.385307312,86.3551940918,85.4828186035,89.9075469971,86.7098388672,87.0295028687,85.3834762573,93.3903198242,85.9649963379,94.7895355225,91.2893829346,90.5455780029,93.0424957275,92.7428131104,98.1505966187,87.8435440063,90.3023300171,94.0564422607,91.6332397461,85.3465957642,98.4265899658,98.5764312744,101.24887085,34,82.62
90.5366744995,86.7972335815,94.3005828857,92.9188613892,97.9267730713,92.7184066772,99.6385498047,91.5691070557,95.6538391113,89.2594909668,100.425094604,92.2522125244,97.839805603,100.535415649,96.9858551025,101.867782593,96.2960281372,94.8753585815,96.2311096191,112.371780396,104.429550171,92.2105941772,90.1187973022,104.649810791,95.4049911499,86.7201690674,88.3555297852,99.5297241211,92.9304962158,94.6649856567,95.7013244629,89.2181625366,93.0065383911,97.3405151367,105.814041138,98.0555419922,94.6616821289,96.3253479004,36,94.12
92.7958068848,93.0483703613,91.4198989868,94.7802429199,92.6705474854,89.7909698486,91.9969100952,97.7255249023,92.791015625,94.7812042236,94.0295715332,99.272026062,94.8635864258,92.4726257324,95.6862640381,92.6204452515,98.0957336426,91.2087554932,93.9929504395,94.0230865479,94.6122741699,86.2278823853,99.999206543,88.707901001,88.5021362305,89.0649414062,90.7007675171,91.4247665405,91.8750762939,92.2943878174,85.1164321899,92.7130584717,95.169593811,94.6025848389,87.715965271,96.3702545166,90.837852478,89.9334411621,37,99.15
87.9111557007,96.7106323242,94.045135498,95.0427474976,96.8343658447,90.9644775391,90.6608123779,93.5623626709,98.3477859497,90.9754180908,91.9932250977,92.5373764038,97.6233978271,86.350692749,89.7800750732,89.1532669067,88.4221343994,90.3700027466,92.632774353,87.6700134277,95.8692169189,91.0272674561,93.8870544434,90.3050079346,95.0442352295,92.1147384644,92.6137619019,97.8437805176,93.9953536987,95.0728607178,86.9891433716,92.9626159668,93.505027771,99.9583969116,91.6660003662,96.3329849243,99.4005889893,99.5044326782,38,93.64
90.5366516113,86.7972335815,94.3006057739,92.9188842773,97.9268341064,92.7184066772,99.6385498047,91.5691223145,95.6538925171,89.2594909668,100.425041199,92.2522354126,97.839805603,100.535476685,96.9858016968,101.867729187,96.2960281372,94.8753585815,96.2311096191,112.371902466,104.429550171,92.2106170654,90.1187973022,104.649864197,95.4049911499,86.720199585,88.3555297852,99.5297241211,92.9304962158,94.6650390625,95.7013702393,89.2181625366,93.0065383911,97.3405151367,105.814041138,98.0555648804,94.6616821289,96.3253707886,39,106.1
104.15827179,106.517860413,107.215881348,105.695075989,102.225028992,111.344924927,105.205154419,102.099395752,104.261642456,103.911087036,103.625854492,107.570449829,107.930862427,103.50668335,107.699562073,99.4482650757,99.4798812866,101.040084839,101.321487427,103.150787354,109.52141571,104.136657715,104.143577576,98.512840271,101.388702393,92.0981750488,101.302352905,102.064712524,106.02016449,102.861434937,104.34828186,106.116241455,100.830795288,102.893508911,97.42137146,110.24105835,98.1588134766,104.865646362,40,114.13
88.0124435425,97.2555847168,89.8623657227,94.0809936523,89.9885787964,92.2345428467,90.360748291,95.1054077148,98.37840271,92.8116455078,92.6089782715,93.9145278931,95.8604278564,94.9407501221,86.3505020142,88.997177124,90.4527435303,86.9912185669,94.1882781982,88.8155822754,90.1950454712,87.8149490356,93.369354248,87.7509536743,97.0280914307,95.2138595581,93.4568939209,90.4468078613,95.145980835,92.9936981201,92.672454834,90.6153869629,99.1433563232,99.6617965698,93.9932403564,101.192573547,98.1582183838,102.341491699,44,89.81
92.4865112305,90.0503234863,89.6832275391,89.8412094116,94.507598877,88.7975006104,95.2546920776,92.3181991577,88.367805481,86.0098648071,92.332824707,94.1040649414,89.6790924072,88.8481140137,89.2007293701,99.8191375732,95.0054016113,93.3246917725,93.0675201416,100.841812134,93.2871704102,88.4876861572,81.906463623,93.9254074097,97.5036392212,85.9430541992,87.8653945923,91.6071166992,92.112739563,91.7352676392,92.0768737793,90.0099716187,88.3789138794,95.9056472778,96.2401657104,95.0514831543,92.6307678223,92.6359558105,47,90.81
92.0617370605,86.5989990234,95.1297454834,95.3821105957,88.0505523682,87.3425521851,88.2898788452,95.329284668,92.9624099731,96.4866027832,93.8968505859,98.2331237793,94.6672973633,90.5605621338,93.1618881226,90.6009368896,91.3754425049,90.2951965332,89.2835998535,97.4290771484,91.9724960327,85.6546020508,92.4358825684,84.6542053223,95.7009735107,91.0496139526,92.2201080322,88.7701797485,91.4029388428,94.307800293,89.7208251953,93.501739502,90.1130065918,90.7867507935,82.476524353,100.808769226,93.2351531982,93.6659164429,48,90.56
