keras_MSE2_None_relu0,keras_MSE2_None_relu1,keras_MSE2_None_relu2,keras_MSE2_None_relu3,keras_MSE2_None_relu4,keras_MSE2_None_relu5,keras_MSE2_None_relu6,keras_MSE2_None_relu7,keras_MSE2_None_relu8,keras_MSE2_None_relu9,keras_MSE2_None_relu10,keras_MSE2_None_relu11,keras_MSE2_None_relu12,keras_MSE2_None_relu13,keras_MSE2_None_relu14,keras_MSE2_None_relu15,keras_MSE2_None_relu16,keras_MSE2_None_relu17,keras_MSE2_None_relu18,keras_MSE2_None_relu19,keras_MSE2_None_relu20,keras_MSE2_None_relu21,keras_MSE2_None_relu22,keras_MSE2_None_relu23,keras_MSE2_None_relu24,keras_MSE2_None_relu25,keras_MSE2_None_relu26,keras_MSE2_None_relu27,keras_MSE2_None_relu28,keras_MSE2_None_relu29,keras_MSE2_None_relu30,keras_MSE2_None_relu31,keras_MSE2_None_relu32,keras_MSE2_None_relu33,keras_MSE2_None_relu34,keras_MSE2_None_relu35,keras_MSE2_None_relu36,keras_MSE2_None_relu37,keras_MSE2_None_relu38,keras_MSE2_None_relu39,ID,y
101.409591675,102.038154602,98.064414978,98.8289794922,92.2738647461,103.318374634,94.1549758911,100.179710388,99.224937439,92.3599700928,101.417808533,104.400306702,102.990188599,96.4983062744,99.9328842163,97.6511535645,99.384513855,98.5764923096,93.8691177368,98.2659454346,95.9910812378,97.1601791382,101.709541321,96.6746292114,97.7497711182,105.28150177,98.7151489258,96.4449768066,95.1700286865,99.3331069946,97.3180923462,93.5648956299,100.002052307,95.8044433594,93.4055938721,102.143035889,96.4984359741,99.5160140991,107.929145813,97.6397476196,0,130.75
90.8641891479,88.2170028687,97.5759353638,86.926574707,95.6799316406,92.9498291016,93.7371368408,87.0204772949,91.8305053711,88.2925415039,89.1575775146,91.6636505127,94.2116317749,92.7329940796,90.4759140015,91.7656326294,97.6794509888,92.7251968384,89.6069488525,98.3370132446,91.9175338745,91.9293670654,89.2897720337,92.013130188,96.7551879883,89.1753082275,95.6828842163,94.6675186157,92.6971511841,88.9134063721,94.0164031982,95.5484161377,90.084487915,88.493019104,91.4995498657,90.2869720459,94.2724151611,91.7277908325,92.6059112549,90.6104888916,6,88.5
78.5689926147,74.9635848999,76.9512329102,78.3676528931,79.4822387695,76.3966598511,77.2938079834,79.4994812012,76.5458450317,76.80418396,81.2820281982,76.5187988281,82.8759918213,80.0167922974,78.5446243286,78.4128646851,75.1329193115,75.0371856689,77.9291915894,77.7510375977,76.3288955688,78.9004974365,80.2637176514,76.592628479,81.3821182251,79.3458328247,77.9331130981,81.3315658569,79.4950942993,71.6228027344,78.7965316772,77.3204345703,75.8831176758,81.5925445557,80.6857833862,74.4100799561,78.8207244873,77.6267318726,77.9464797974,76.5885009766,7,76.25
75.5928192139,78.6042480469,76.5770950317,78.6045303345,76.2627334595,72.5216674805,80.2388839722,73.6963272095,78.3907623291,75.3757629395,75.4548416138,76.7630691528,77.1694717407,79.1725311279,79.4652481079,79.0011138916,77.1412353516,80.8406448364,77.5343322754,74.1904754639,81.6427154541,70.391494751,82.5954971313,79.2261657715,78.0875167847,71.4731216431,74.4864501953,76.9807510376,77.799987793,77.5425720215,76.0858917236,76.0304718018,77.9434127808,73.0751876831,78.2090148926,75.8411102295,76.3619995117,72.1275863647,79.1505203247,72.0243148804,9,80.625
77.5074539185,79.8276748657,78.1847763062,76.0936508179,77.7950592041,83.9428482056,81.3391189575,75.244758606,77.1351699829,76.1603469849,76.0598907471,80.3849716187,79.85962677,75.7704162598,80.2864227295,80.9869613647,77.6226272583,77.7471084595,78.6208343506,78.2790222168,74.5226135254,82.5263900757,79.5235519409,78.6259384155,78.5627288818,78.3649673462,79.2252044678,82.2061233521,75.4828948975,76.8350067139,78.7758255005,75.2259063721,76.4946517944,76.9331665039,76.3526992798,79.2737731934,75.8581695557,75.7152786255,81.412437439,80.044883728,13,78.0
92.0867080688,90.3634109497,89.2372512817,92.2805023193,91.2647094727,93.1005249023,89.7315750122,96.3484344482,87.2223892212,95.1311950684,94.5681228638,84.7275390625,91.0501327515,95.3491821289,91.3439254761,91.2021484375,89.3702697754,93.9428405762,88.9316253662,88.9829559326,88.2702026367,86.6883773804,92.1842651367,84.8601455688,91.5174789429,94.7316131592,91.7369689941,87.4697189331,88.684135437,92.7626876831,89.2396850586,90.3362426758,92.4962387085,89.8599472046,88.0477142334,90.369354248,91.9532775879,90.6295471191,90.6812286377,85.9688949585,18,92.9375
98.6689300537,98.1760101318,99.6759109497,99.7164230347,98.283782959,101.020767212,95.4313430786,102.272705078,96.0774688721,102.556770325,96.1256713867,96.9709014893,96.1774902344,96.4390640259,101.04359436,96.2203598022,95.8379669189,96.7233581543,95.9828338623,92.9389572144,90.8575820923,94.1281280518,96.5113372803,92.0375289917,95.0329055786,91.994682312,98.7168502808,100.227737427,94.9598770142,94.9386291504,100.460639954,96.5455093384,94.3518218994,95.4414596558,96.580619812,98.2567672729,95.3250961304,94.2753601074,97.2785720825,96.005241394,24,128.75
95.8494186401,93.1608123779,91.5820236206,93.7568511963,95.1596832275,92.0715942383,87.9067153931,89.1256790161,94.38697052,89.1565093994,92.5861129761,92.5587997437,106.575462341,95.8485641479,95.7791671753,91.7021331787,92.9306564331,95.8909072876,95.8370742798,93.4738998413,91.3112487793,93.8031921387,88.7221679688,91.3455734253,94.2996749878,93.2201690674,97.8983306885,92.5186843872,93.8682022095,94.904876709,97.2399673462,93.8252716064,92.843536377,98.2930526733,91.487663269,92.3105316162,96.1152114868,92.162322998,93.5920028687,91.8138122559,25,91.9375
114.539718628,110.315925598,113.774154663,110.146354675,107.864761353,115.068710327,107.949584961,117.497528076,116.310241699,113.552398682,113.816322327,110.497299194,116.266304016,111.280136108,115.482551575,108.591041565,115.235671997,115.630592346,107.922523499,114.828231812,111.639625549,109.688697815,118.77205658,104.129043579,114.976791382,109.516929626,110.197044373,114.792778015,113.802864075,107.720748901,106.683158875,108.164657593,107.338638306,108.149589539,108.261062622,114.63999939,114.726280212,115.318405151,114.020484924,104.344810486,27,108.6875
112.086753845,111.860336304,112.671409607,109.336235046,107.99520874,113.713058472,108.702957153,111.121543884,109.506034851,112.956413269,107.983734131,111.624786377,116.397125244,105.182197571,114.41469574,108.671127319,113.146575928,109.0729599,108.583274841,106.082115173,110.726661682,114.824485779,105.652503967,108.313972473,110.5102005,109.784858704,114.466049194,112.182411194,114.421035767,107.879333496,114.127052307,113.369979858,115.66053772,108.973548889,118.905731201,111.676132202,118.445381165,105.827301025,113.651863098,107.76877594,30,127.0
