keras_MSE2_relu1,keras_MSE2_relu2,keras_MSE2_relu3,keras_MSE2_relu4,keras_MSE2_relu5,keras_MSE2_relu6,keras_MSE2_relu7,keras_MSE2_relu8,keras_MSE2_relu9,keras_MSE2_relu10,keras_MSE2_relu11,keras_MSE2_relu12,keras_MSE2_relu13,keras_MSE2_relu14,keras_MSE2_relu15,keras_MSE2_relu16,keras_MSE2_relu17,keras_MSE2_relu18,keras_MSE2_relu19,keras_MSE2_relu20,keras_MSE2_relu21,keras_MSE2_relu22,keras_MSE2_relu23,keras_MSE2_relu24,keras_MSE2_relu25,keras_MSE2_relu26,keras_MSE2_relu27,keras_MSE2_relu28,keras_MSE2_relu29,ID,y
78.2532653809,76.3986282349,82.0436172485,78.6799468994,77.9736785889,79.6578979492,79.1207275391,78.5937652588,75.1998672485,78.4449234009,77.3262405396,75.3448028564,76.462272644,80.8007278442,78.5974655151,78.0500564575,77.1431045532,78.5201263428,74.5570755005,75.0807647705,73.8209152222,78.1848907471,80.3379440308,80.6862335205,80.771232605,77.6159515381,78.8292617798,82.3248214722,79.8499069214,3972,77.64
88.0754623413,95.5728302002,91.1978225708,92.3464431763,88.5312423706,92.9974365234,88.6650772095,96.3960723877,93.8298187256,92.1712341309,94.3536911011,89.5241241455,93.0146255493,90.3593902588,96.1404037476,91.7559967041,91.9840545654,94.9986419678,92.0325469971,87.9099273682,93.2322006226,92.160194397,89.2149276733,97.5515670776,94.0059356689,97.7072067261,94.9548492432,94.5512542725,94.1648712158,7065,97.74
115.025421143,112.621025085,110.979515076,107.136756897,113.906791687,113.728164673,110.418777466,110.826919556,114.789871216,110.772186279,106.910362244,106.296653748,109.10723877,110.878082275,110.814498901,110.50302887,110.477355957,116.685852051,108.691314697,114.633232117,109.148262024,112.972946167,114.686798096,106.574523926,108.778709412,114.003746033,112.382270813,116.323486328,111.78237915,1322,147.72
114.634536743,114.759025574,110.412353516,114.967071533,117.969413757,116.975837708,114.189041138,117.531333923,120.834091187,115.291755676,116.023674011,119.740890503,114.994514465,119.325912476,123.89919281,122.487312317,116.151596069,120.023971558,115.859992981,113.143737793,114.262611389,117.836471558,123.018951416,120.467781067,114.074684143,118.23866272,118.104476929,116.760803223,118.855369568,4132,111.32
116.807678223,111.261688232,112.715316772,109.969085693,111.749015808,107.723464966,106.758499146,112.021141052,119.384384155,112.072441101,106.698684692,109.320709229,110.292945862,118.490722656,115.961349487,116.82522583,106.775466919,112.510490417,107.003105164,116.479316711,110.180099487,111.402114868,107.028297424,107.29032135,112.41733551,116.168693542,113.536613464,113.057403564,113.59727478,2872,110.29
92.8451080322,91.2202911377,93.6719360352,94.6168212891,91.2023086548,90.490447998,90.1876525879,92.0268783569,93.8865356445,95.1436843872,93.0574035645,92.55052948,96.8551483154,95.1295547485,87.4085540771,89.8764648438,93.8664169312,92.5656814575,92.9465560913,90.344833374,93.4106292725,93.2661514282,90.2871704102,91.7256851196,86.4106826782,96.436378479,94.6725692749,88.211730957,92.9337692261,3376,94.03
91.4840698242,94.5148773193,92.2505569458,90.15990448,99.8790588379,89.2805023193,95.4612121582,92.5766448975,90.9281616211,86.1184997559,90.6980514526,89.4104156494,89.6669998169,88.6832885742,89.6532592773,90.6516876221,95.1953735352,91.4169464111,90.5108184814,93.4792480469,92.5726470947,86.9481964111,89.8818511963,93.0654067993,95.3290557861,91.1080474854,95.1153717041,90.8486557007,90.3012161255,673,92.03
108.769439697,114.190635681,105.982765198,117.989181519,115.177139282,114.114685059,114.207000732,105.316123962,112.505195618,110.543495178,112.204719543,116.934623718,110.714851379,117.590766907,113.440200806,114.133209229,111.537940979,109.606613159,115.606109619,111.634376526,109.685874939,114.384300232,108.300071716,115.018058777,110.880737305,109.898139954,111.401618958,108.833435059,115.73903656,1928,110.12
108.027252197,111.262939453,113.343742371,105.698104858,111.007850647,105.198654175,112.254432678,115.80280304,107.23348999,102.467895508,109.804695129,113.264930725,110.730995178,108.275032043,106.957931519,105.968093872,106.861167908,115.975624084,110.62865448,113.055099487,109.605934143,123.210494995,109.627502441,110.483062744,105.233078003,104.492111206,118.032150269,110.550819397,107.206665039,5787,104.61
112.139450073,114.74030304,113.518821716,113.003974915,116.27256012,113.684906006,108.579177856,111.59236908,112.757698059,111.291061401,109.507377625,115.277519226,115.506721497,117.509391785,111.152397156,116.421844482,107.719543457,112.546737671,112.243690491,115.235168457,110.862953186,110.638977051,113.258514404,113.203010559,110.819503784,113.675422668,116.656105042,107.283538818,113.690185547,3689,122.31
