ID,y
507,90.82
319,108.97
1778,90.22
1467,90.46
4430,86.95
7815,104.42
4014,91.23
5192,88.51
2247,88.8
70,107.86
2908,96.61
7729,99.12
1721,104.2
6225,99.87
7215,100.52
3405,89.39
6498,113.24
891,108.24
2701,103.32
4645,95.1
407,94.61
4793,106.0
3713,109.96
4261,96.93
1765,107.24
4057,92.91
3250,89.62
2014,104.37
7862,91.32
7610,105.18
1957,125.03
1676,112.54
5922,92.75
6346,88.78
744,99.48
6400,97.84
5187,91.99
2745,104.34
3184,106.83
1855,107.48
3035,105.53
5828,88.69
5347,123.69
5230,87.98
7851,77.11
6662,113.03
6115,85.99
3185,72.11
3755,87.33
3362,98.07
1344,103.9
6645,108.86
583,119.51
5050,76.38
6789,95.5
102,91.98
2932,108.06
6476,107.46
6814,89.34
8340,101.86
4538,99.53
5812,119.71
5742,100.74
6224,111.49
4235,109.65
1633,89.65
6647,110.84
5016,120.94
1802,106.79
7980,142.46
2099,100.55
6748,74.99
6799,89.94
4411,88.25
2227,121.03
2601,94.39
3375,107.69
3907,101.6
1732,91.58
2791,114.83
5824,91.62
6436,103.63
2089,76.22
1060,97.17
7596,109.18
7827,113.65
7821,113.91
7077,98.25
4463,119.22
7458,94.53
6518,100.22
7694,78.1
2284,88.41
968,88.57
152,90.87
1067,106.5
2493,105.97
3107,125.91
494,122.69
7952,115.15
2396,160.87
4801,74.87
4424,106.05
2268,99.68
5138,98.33
7122,100.29
1913,93.42
3541,97.32
7599,90.78
4866,126.95
487,90.38
4604,97.21
4553,112.41
802,88.58
3524,117.28
7470,87.49
7977,94.88
5012,113.5
5223,107.66
3730,100.71
3764,107.85
924,107.86
1095,89.02
4307,89.19
2648,108.03
398,98.96
1435,89.74
1673,89.41
1390,110.49
5340,112.12
6667,110.14
6567,100.46
8096,86.4
4946,98.16
6243,89.39
3454,114.52
3243,121.5
6524,93.28
3523,120.17
5635,93.77
1402,111.44
1681,76.99
261,90.99
5267,109.49
4402,114.55
8088,108.57
1320,114.28
7331,103.32
8037,93.59
790,91.21
3852,90.83
3757,95.31
5198,98.14
8187,101.34
1252,112.61
4060,106.13
5648,109.21
6760,88.59
483,114.46
1553,95.71
5247,91.91
5236,116.02
3188,87.3
2344,99.98
5449,106.44
4106,92.18
6482,112.08
3756,115.72
2626,94.83
5546,125.25
7536,75.38
3246,103.7
7489,88.15
632,107.45
7663,111.22
4997,115.25
5578,95.81
4164,110.39
5252,117.26
1143,93.81
7899,84.9
7580,108.58
2702,113.86
1098,107.61
2501,86.6
1212,96.6
2917,111.09
3978,110.94
1811,98.95
6644,89.35
7115,90.76
619,99.82
3548,109.25
625,89.41
535,92.23
7443,91.88
8018,87.68
3052,81.08
8175,88.51
4367,97.16
4246,116.67
2347,88.98
1792,83.42
4349,89.17
2555,113.34
7937,103.32
5900,87.86
4909,135.53
5313,89.86
2965,88.93
5350,88.64
360,98.16
3361,89.57
4504,93.0
7372,108.58
5078,102.39
4020,95.35
7332,115.0
5889,98.94
166,111.15
1409,99.22
3629,91.89
176,110.37
5734,112.62
5030,113.67
6891,96.41
3402,91.62
4256,119.88
7614,94.4
2238,108.39
6466,108.73
7731,92.81
7140,94.47
563,89.94
3363,117.29
3801,92.19
3911,100.1
2666,111.49
5759,97.84
8225,112.32
1600,109.19
5013,111.17
7230,98.12
7926,113.67
5644,99.4
6854,89.2
6111,107.96
4892,117.46
3651,99.99
2260,94.81
4409,99.03
112,91.44
7558,91.92
2541,109.26
5590,90.83
7912,103.86
665,94.12
1269,113.64
7138,109.33
4128,126.97
5787,104.61
6794,91.99
7053,88.46
5510,114.91
2522,92.8
7513,87.52
3859,104.87
2049,90.1
1743,104.42
8028,115.41
4036,123.47
900,87.28
3805,107.12
7691,110.74
5883,77.38
7254,91.82
8065,92.48
1382,124.17
6265,85.55
5795,109.38
8270,107.29
451,132.1
5443,108.09
4206,100.68
1500,101.06
5261,94.05
4063,91.06
5028,106.41
6234,108.86
4497,89.96
6517,90.69
4050,80.2
2111,154.43
6259,94.82
7195,106.88
649,100.56
1824,78.5
6321,112.9
3740,90.52
3703,105.29
7333,107.63
5920,88.52
4277,95.89
4264,83.49
5861,89.37
732,73.34
7643,99.35
2012,101.66
284,88.92
8356,90.45
2416,104.18
7389,91.13
4568,110.63
387,121.15
2795,109.12
4879,90.16
6826,109.64
5966,101.34
3482,105.79
8078,86.18
369,100.85
6435,110.32
5017,88.0
927,129.0
6980,74.87
7525,89.05
4847,136.56
2027,89.29
1795,91.37
5984,92.9
3174,92.66
938,118.18
1552,87.87
7745,88.7
3616,72.94
2944,90.69
2461,87.82
694,105.35
1564,98.28
5427,113.95
2656,88.6
1210,90.23
8149,87.13
6291,111.38
4822,92.98
3684,98.81
1558,111.02
7476,92.98
441,115.67
3493,86.96
3870,105.36
3976,94.35
1480,97.29
2068,93.78
4719,99.28
762,95.1
3989,89.65
6339,92.1
7506,99.8
2506,112.57
2605,99.26
1501,98.97
4394,80.44
3423,105.17
3767,87.4
1805,92.4
6410,92.36
5124,109.02
4131,105.94
584,105.23
3408,88.83
5438,89.72
3001,93.32
7875,90.49
8114,93.5
3306,98.02
6477,87.51
8230,105.29
2320,92.04
3169,108.02
344,105.87
1184,110.44
1374,110.24
7176,116.79
6031,106.41
6155,106.96
5400,93.22
2451,102.91
815,98.01
1433,92.65
5972,88.36
2958,91.53
8283,88.63
508,100.98
5173,88.79
7265,96.19
4427,97.68
7335,128.8
7040,106.93
4659,115.72
5461,128.58
7300,87.24
6327,109.33
5175,99.49
736,108.43
7864,122.28
426,88.39
4443,102.91
5026,109.97
4900,91.74
8228,85.91
7973,110.44
5541,103.68
6463,88.89
3387,99.94
2633,101.74
3281,109.71
2740,89.11
2947,91.0
2775,110.24
4130,100.09
6842,112.83
3873,89.9
6746,107.53
590,90.52
4308,84.2
379,94.8
6705,107.86
3164,103.47
588,87.25
6623,107.05
5952,114.21
2915,74.1
375,94.02
8005,103.08
5027,94.29
7979,87.84
2467,88.16
4834,103.77
4132,111.32
5705,99.66
1204,98.78
2319,89.19
5575,112.69
4611,121.79
8262,93.5
6008,106.61
5282,103.2
7431,100.33
5862,108.34
4996,110.38
6940,92.07
7990,86.41
7641,103.91
4548,108.37
1149,73.4
2096,94.11
833,90.16
1428,109.93
763,105.21
4689,114.27
8259,105.04
1345,109.53
7022,100.59
2979,104.51
1321,93.38
2700,103.82
7598,97.97
2276,104.92
3649,107.97
5380,100.71
2681,102.04
7826,83.96
1834,112.09
2581,112.8
5977,93.74
1142,111.41
7550,90.2
2327,108.88
1535,100.25
2682,89.38
2169,89.0
3308,109.74
2421,108.48
2485,106.35
4923,92.17
4572,104.65
3606,94.21
424,77.36
524,106.4
5544,110.84
6391,96.45
417,91.02
6326,135.13
7482,98.64
3896,92.13
2797,100.75
6708,96.1
5072,106.06
1011,91.02
4656,87.49
6560,88.05
5274,94.52
240,112.39
5136,86.33
3954,90.39
3047,91.07
4938,93.33
6841,89.28
128,91.57
6414,105.04
8104,125.1
8204,103.89
7738,87.99
3480,88.27
6486,111.24
2281,107.28
5519,108.01
1411,87.07
6478,98.45
621,91.65
