ID,y
2017,125.06
309,101.07
7090,98.04
5549,94.74
4101,112.07
5048,93.4
2391,121.28
3605,109.9
3523,120.17
2427,108.76
5145,108.59
4636,101.87
1626,100.83
158,113.4
7140,94.47
3568,95.71
4180,88.99
2917,111.09
4291,88.83
3772,74.86
3203,102.14
7963,87.2
6882,98.81
2633,101.74
1393,87.61
3195,88.38
3894,94.56
4908,89.79
7870,92.02
2939,89.67
7705,97.32
5085,112.55
732,73.34
6524,93.28
2367,114.12
695,97.75
6244,111.91
5432,99.02
2618,95.33
2244,118.42
8113,100.87
7413,91.16
1495,97.99
441,115.67
1217,123.89
4822,92.98
2095,102.76
1840,104.19
2278,122.72
6134,102.14
422,110.53
6841,89.28
1823,108.36
3915,110.02
2695,91.24
3598,90.76
4400,108.94
1572,102.13
8180,99.68
6046,100.05
7158,94.59
1927,88.24
6732,110.43
7086,107.68
4405,98.36
7582,105.41
5802,103.58
7103,87.4
6148,90.8
2347,88.98
4946,98.16
5117,99.74
895,100.95
7738,87.99
5258,103.96
1671,140.49
6924,89.15
7972,88.85
514,90.92
7657,101.12
6550,106.64
7073,92.19
3509,115.05
2938,114.92
3405,89.39
4021,95.21
2912,87.99
4999,85.72
1039,90.34
6925,97.93
1601,95.0
5852,109.11
7559,136.75
8228,85.91
6501,89.35
2276,104.92
891,108.24
4734,74.43
6543,97.96
5575,112.69
5985,108.19
8393,97.09
1891,90.71
4262,97.58
3752,107.4
6958,84.76
1884,94.29
3685,94.5
1223,116.87
5187,91.99
2251,103.03
2393,90.37
2862,97.27
4560,96.51
4722,142.71
1248,97.03
2109,122.09
689,96.03
5713,120.8
286,92.36
6940,92.07
4881,100.86
1992,137.44
5994,105.29
442,90.54
1462,113.15
1231,111.54
2318,106.31
4853,111.57
2487,92.13
673,92.03
5799,111.5
3805,107.12
5835,121.91
1824,78.5
2628,88.36
2874,106.65
4305,87.53
5387,112.8
991,93.4
3990,114.65
7095,100.78
878,91.45
389,99.08
7952,115.15
3432,107.71
2394,98.58
3012,96.98
7512,114.08
5267,109.49
4538,99.53
686,109.48
6239,109.18
4218,114.87
8344,149.52
5068,94.79
4548,108.37
6799,89.94
6245,93.83
4782,108.58
4819,119.7
1838,99.78
5131,99.13
639,74.0
1709,101.76
6060,108.01
583,119.51
1464,111.5
7922,105.72
169,93.03
1795,91.37
1053,101.66
6856,88.08
4599,90.71
3873,89.9
7122,100.29
8223,118.41
240,112.39
1205,114.85
3907,101.6
2503,105.03
7257,87.06
7139,93.25
8221,114.58
1320,114.28
6296,101.37
208,91.94
184,96.96
790,91.21
5651,95.71
1883,99.91
4526,121.28
5194,94.7
2828,107.15
145,111.74
7447,91.65
3402,91.62
6901,107.48
2609,111.47
3222,102.5
355,90.17
1245,107.51
1675,114.91
6494,75.71
5217,116.61
4261,96.93
165,114.76
917,96.48
4230,88.06
2336,93.65
5915,91.68
5347,123.69
2221,106.82
4745,89.81
18,92.93
730,112.67
4701,87.33
588,87.25
1451,88.55
6056,104.66
1855,107.48
3552,108.26
4266,93.33
141,87.75
2772,87.24
3584,99.64
7887,112.36
6367,89.03
1486,99.52
7525,89.05
6988,89.98
3292,117.71
4684,93.11
4331,88.39
1383,100.77
3519,89.95
4741,110.83
2491,96.05
6400,97.84
6687,101.76
7826,83.96
1202,109.36
4949,94.32
13,78.02
4812,108.76
6421,90.08
3858,98.59
3225,87.41
7686,89.46
5003,103.9
5737,97.26
7506,99.8
131,94.83
4980,87.47
1893,91.21
4593,119.2
5291,90.98
6161,87.38
3259,104.73
6129,89.6
8343,87.23
6772,113.8
4166,94.38
4123,90.57
4471,108.96
8144,91.94
7463,105.65
6352,89.62
5775,108.75
5419,88.83
6224,111.49
1991,114.53
8362,90.38
1635,78.4
8037,93.59
6801,89.06
9,80.62
5301,121.84
1355,77.42
6256,114.63
5238,94.62
7780,100.49
6652,89.19
3354,111.44
6562,90.51
5987,99.63
5209,91.68
4345,103.39
2323,114.88
5955,110.81
7231,101.65
450,89.86
8215,92.72
7535,88.19
4872,107.5
5627,89.47
3730,100.71
5263,128.37
5138,98.33
6584,109.09
7058,112.26
5174,97.55
6163,89.16
24,128.76
4257,93.91
1345,109.53
322,108.84
449,128.78
6891,96.41
3169,108.02
1023,106.59
445,115.25
3880,89.26
8012,107.13
2745,104.34
379,94.8
7507,87.8
4814,118.38
3362,98.07
3635,88.22
825,103.46
2177,128.36
2163,106.08
1229,112.71
7280,87.22
1805,92.4
3580,122.01
7326,101.52
7429,104.57
4845,108.28
1633,89.65
380,105.47
4781,110.07
3248,114.6
7956,87.22
8322,105.1
1133,92.29
3045,87.85
998,92.4
6013,99.64
5332,91.48
3857,97.64
2272,116.3
6961,104.55
4935,108.98
3802,74.77
8200,89.06
5543,89.06
2133,108.74
964,92.88
2634,92.64
5759,97.84
7259,90.27
3315,87.86
4006,114.29
6591,101.82
8132,97.99
7654,105.4
5307,99.85
8357,90.06
4337,102.3
1035,116.03
3678,111.92
4474,109.07
4584,92.56
461,97.42
3423,105.17
7,76.26
8269,102.86
1121,75.86
5473,153.51
2111,154.43
2130,99.03
6984,88.7
7474,91.4
2084,93.92
4882,122.36
6726,108.84
7072,101.9
3237,100.56
6542,91.85
7714,100.68
6744,109.6
4319,92.4
1005,107.12
7237,93.2
456,104.16
2176,106.81
7235,91.01
5450,107.68
4438,88.07
3588,74.35
8073,82.44
6746,107.53
3960,100.4
6273,165.52
1748,100.42
3652,92.82
6086,106.04
2719,90.96
4435,78.91
7929,92.97
1819,110.87
4292,113.7
585,104.32
2086,91.07
2723,91.62
674,106.97
2506,112.57
2863,80.53
6008,106.61
2852,110.32
4543,91.83
7845,100.68
4923,92.17
418,102.89
6686,90.6
4275,111.21
1548,85.98
5471,158.23
8336,118.81
2452,98.33
3295,89.3
2952,91.07
260,116.61
6684,92.16
7716,88.83
813,108.08
4358,102.65
1557,91.68
386,89.67
7196,74.17
3756,115.72
1899,91.27
130,90.11
234,126.17
2462,114.56
3862,89.64
4793,106.0
4027,92.6
2363,116.0
6032,112.72
7585,109.11
310,96.41
3814,132.61
1065,109.16
202,98.91
2641,91.67
2725,75.26
6957,107.94
7543,107.34
1183,93.65
7478,97.87
2674,92.09
5000,137.09
4657,109.72
742,87.9
4611,121.79
1845,91.78
6758,91.16
3244,88.77
2485,106.35
74,106.87
6760,88.59
6299,114.8
424,77.36
8324,99.52
3328,125.72
6804,118.31
544,99.56
2097,99.2
8187,101.34
7759,105.28
4870,89.2
8167,86.96
4110,77.16
4933,110.86
3803,104.55
1309,118.17
3679,89.07
5045,88.8
2417,97.7
7880,85.82
6902,88.05
3808,102.91
8244,117.85
255,118.74
4464,89.44
2819,106.32
1130,101.0
7580,108.58
4378,89.13
6497,86.03
4652,107.4
7458,94.53
4645,95.1
3128,90.35
665,94.12
3048,109.61
3034,96.28
2187,94.81
3755,87.33
5681,96.91
7233,90.65
6083,89.87
3184,106.83
6259,94.82
1457,88.9
1163,97.9
5100,93.2
3451,108.03
924,107.86
4003,111.07
3556,105.56
870,106.16
7646,120.9
8014,108.82
3080,89.97
5701,100.11
8216,113.1
5641,88.23
348,98.25
5601,90.46
7048,92.04
1776,93.02
7532,111.91
463,99.05
4632,110.6
6236,108.93
877,111.74
4929,112.28
5070,132.65
979,88.06
7488,100.21
7709,115.18
34,82.62
6372,110.74
2270,118.23
2344,99.98
2410,92.7
5545,88.69
4930,100.68
5151,87.78
3920,99.58
7331,103.32
61,104.07
1085,97.3
264,101.43
2094,97.0
3706,89.14
1473,110.53
6252,92.13
4189,88.44
6101,120.78
706,99.05
2555,113.34
515,109.1
752,98.24
8003,109.32
8232,106.38
7873,87.91
6102,99.69
6580,89.89
958,110.2
1535,100.25
4740,100.58
5514,77.47
1990,94.64
4132,111.32
5986,95.86
1712,87.71
8095,94.99
5761,115.07
6183,84.39
7351,75.86
8164,105.68
2541,109.26
6628,90.75
1617,123.68
3495,101.07
7496,101.56
2698,91.55
5448,86.16
4260,103.1
7558,91.92
3694,88.23
5958,96.83
8312,99.74
2380,90.89
5304,118.62
1436,117.08
6158,89.22
2827,88.69
691,94.09
2797,100.75
919,94.88
5644,99.4
3447,95.64
6645,108.86
6918,98.03
6635,98.67
1573,111.25
4996,110.38
1216,110.11
670,104.38
3764,107.85
3081,110.47
6973,85.89
116,91.52
2551,76.64
6849,96.49
3297,104.92
5600,111.48
3490,122.12
3422,133.55
3613,114.66
2381,108.52
5330,92.08
6705,107.86
7882,106.16
6258,117.48
3433,91.14
5526,108.13
3882,92.43
7577,86.94
7985,106.36
1746,119.02
6489,86.86
1018,134.26
6039,112.75
47,90.81
8108,89.68
7736,90.42
7483,94.1
3062,93.58
7737,115.88
7647,89.34
7453,94.41
6205,107.3
7294,88.93
7241,98.16
190,110.98
535,92.23
7980,142.46
2286,88.95
3817,89.89
565,108.31
6767,85.55
6456,74.22
2857,87.25
218,92.35
212,127.66
3958,98.97
4139,87.06
2445,105.65
7990,86.41
4576,101.57
2532,93.93
2886,100.63
1439,89.56
5756,109.42
753,109.99
3717,107.01
503,91.01
6153,78.63
8177,89.6
8183,95.1
2418,101.18
3701,102.3
3296,114.5
1371,110.54
6282,94.87
52,120.77
3771,92.97
4205,89.61
2449,114.8
744,99.48
5386,93.83
6612,94.12
4198,109.39
5313,89.86
2512,106.09
152,90.87
2243,91.38
2916,92.91
1877,117.3
5817,92.66
2596,91.1
2112,88.26
4715,112.56
5900,87.86
5922,92.75
1970,113.74
2134,93.41
4790,92.02
4748,88.14
8060,74.75
5044,99.56
3323,105.89
1369,105.31
263,113.28
2419,90.49
2946,91.35
485,97.91
2302,73.59
7827,113.65
4158,95.96
469,100.29
6583,86.07
4024,112.53
435,102.58
7660,91.88
597,108.43
7651,99.06
7402,96.53
4253,89.37
6844,107.38
4501,98.51
4307,89.19
2195,90.64
5461,128.58
1593,90.39
2207,115.82
926,87.28
8051,90.18
5405,108.36
7884,102.56
2894,111.1
765,99.7
4898,112.88
4370,92.54
5058,110.06
6317,99.68
5795,109.38
4909,135.53
631,88.59
3918,97.96
213,93.62
6653,111.21
5121,133.09
6622,93.22
6813,89.08
1594,105.66
8293,106.53
2915,74.1
3931,100.85
4264,83.49
1297,97.33
1108,115.92
4343,92.83
1318,111.66
3083,75.89
5353,115.66
6228,101.14
5907,93.97
7443,91.88
5487,88.82
4924,92.6
6020,99.68
5742,100.74
8157,91.38
360,98.16
7348,103.7
1243,101.47
1179,105.43
5385,94.85
5502,113.31
1602,100.59
7456,97.34
7343,92.59
6488,114.92
835,92.2
1194,88.3
8397,108.59
4357,113.43
224,106.31
2669,142.71
7749,87.75
586,91.26
6451,95.28
799,114.61
2504,98.95
6318,75.59
1716,92.12
8385,91.13
584,105.23
2687,90.67
703,92.48
3742,93.64
7043,110.59
819,90.84
2498,90.13
2343,122.65
6914,93.81
7332,115.0
6166,115.39
757,109.73
1312,89.83
5519,108.01
2034,108.88
5340,112.12
1295,89.89
5017,88.0
7230,98.12
1515,88.49
4847,136.56
8227,88.25
2096,94.11
1294,112.5
252,105.15
7272,106.77
2451,102.91
3548,109.25
4229,107.11
8169,92.26
222,102.97
1561,114.26
7610,105.18
2047,105.53
7381,90.58
4773,92.38
4001,116.23
7988,90.44
1549,111.02
7096,94.84
174,102.31
4897,113.67
5388,116.07
1922,110.7
4797,89.72
5481,85.69
3379,88.62
6376,109.22
7552,97.16
6776,106.5
5537,114.11
5821,74.5
2547,91.35
6386,99.84
4810,109.62
2261,101.23
1946,94.39
3651,99.99
7643,99.35
4754,96.85
6503,100.11
4093,108.49
2145,128.78
2638,101.96
1947,96.83
7782,110.1
1967,102.39
6250,108.33
3926,92.38
6919,76.56
1869,106.19
1937,92.55
6268,94.62
6428,106.23
351,106.14
2158,93.11
6027,104.33
7066,100.1
7573,90.18
2586,105.51
7755,92.41
3877,115.19
4200,104.65
6971,89.22
7138,109.33
7365,111.16
4664,101.29
4300,109.1
1115,109.91
7388,104.87
4081,96.41
7533,85.86
6697,90.85
4590,105.24
6518,100.22
1073,89.6
3941,89.69
7322,116.28
468,103.98
7549,110.88
6959,75.19
5885,104.67
3738,105.64
7077,98.25
6783,92.73
2622,85.23
3657,112.54
1579,76.27
3027,116.57
661,93.08
5622,101.03
4624,107.36
6812,75.85
287,102.46
4470,91.88
5894,87.17
7743,88.32
118,91.59
2238,108.39
6932,97.63
6691,98.33
1615,121.79
7300,87.24
