keras_MSE3_None_relu1,keras_MSE3_None_relu2,keras_MSE3_None_relu3,keras_MSE3_None_relu4,keras_MSE3_None_relu5,keras_MSE3_None_relu6,keras_MSE3_None_relu7,keras_MSE3_None_relu8,keras_MSE3_None_relu9,keras_MSE3_None_relu10,keras_MSE3_None_relu11,keras_MSE3_None_relu12,keras_MSE3_None_relu13,keras_MSE3_None_relu14,keras_MSE3_None_relu15,keras_MSE3_None_relu16,keras_MSE3_None_relu17,keras_MSE3_None_relu18,keras_MSE3_None_relu19,keras_MSE3_None_relu21,keras_MSE3_None_relu22,keras_MSE3_None_relu23,keras_MSE3_None_relu24,keras_MSE3_None_relu25,keras_MSE3_None_relu26,keras_MSE3_None_relu27,keras_MSE3_None_relu28,keras_MSE3_None_relu29,keras_MSE3_None_relu30,keras_MSE3_None_relu31,keras_MSE3_None_relu32,keras_MSE3_None_relu33,keras_MSE3_None_relu34,keras_MSE3_None_relu35,keras_MSE3_None_relu36,keras_MSE3_None_relu37,keras_MSE3_None_relu38,keras_MSE3_None_relu39,ID,y
102.484924316,96.3129577637,103.324172974,96.8958435059,96.4554824829,104.040283203,98.5635757446,97.0229568481,99.2732925415,97.1320571899,101.407424927,97.6518783569,94.9723052979,102.296989441,95.8086395264,94.2426605225,98.2743759155,100.077049255,101.308006287,108.299621582,96.9279937744,94.5037460327,95.5968704224,99.0587692261,104.12449646,97.2809753418,96.7399215698,101.65914917,105.827835083,98.8320846558,99.9918518066,99.77368927,99.9615097046,97.0898895264,100.902549744,96.9126052856,98.884262085,94.9075241089,0,130.81
91.6573410034,91.7680130005,93.073600769,91.5875549316,92.5622177124,93.1724624634,92.6028900146,95.8117141724,90.2543792725,91.6969833374,93.8308868408,91.0841293335,94.2080001831,94.4851837158,86.3659744263,92.3845825195,90.5810775757,92.3532562256,95.370513916,93.7750549316,94.6530685425,95.3379669189,91.7501754761,90.8983535767,88.4384994507,88.2322692871,92.7476425171,86.4978179932,93.1742248535,95.4139251709,93.5836181641,89.8682403564,92.3715744019,96.0941085815,96.359916687,94.4061355591,92.3868713379,93.123550415,6,88.53
75.8687973022,78.2069854736,77.6985244751,78.5280914307,81.2548980713,81.4421463013,76.5569381714,78.6381225586,81.0561828613,77.0144729614,78.8234634399,74.4777526855,75.0508880615,76.2729797363,78.5388259888,78.0720214844,82.9587097168,72.3722915649,81.0458908081,78.8673400879,79.9116821289,76.5749893188,77.5917892456,80.5656661987,77.4110412598,75.5723800659,79.9108581543,76.892036438,79.2171936035,76.3473739624,83.8945541382,75.6563949585,80.1038665771,74.3656463623,77.3265457153,78.8439331055,73.0397872925,78.9282150269,7,76.26
76.0799179077,77.2155838013,77.6636505127,81.7208404541,81.2939453125,79.7858276367,78.9132080078,73.8227767944,77.6750793457,75.1102676392,84.1173782349,75.6109466553,75.1208724976,75.1485137939,79.8308944702,80.5711135864,78.9905700684,78.3503952026,76.8722000122,77.5467681885,80.6467056274,75.6006393433,77.8937988281,82.5236968994,82.780670166,78.5293960571,80.1003570557,78.3941040039,77.4699249268,73.8897323608,77.8960037231,78.7576370239,77.2623519897,76.1053543091,79.0390930176,78.5232772827,82.5881958008,73.6445846558,9,80.62
78.4169845581,77.9418106079,84.5078201294,81.2067184448,77.7128372192,76.1906814575,78.9027175903,81.5861053467,77.5160827637,78.4670562744,80.4516448975,79.3471374512,74.3024139404,81.6182556152,75.8301925659,77.4448852539,79.510635376,75.9904098511,77.5430297852,81.8601150513,77.3339080811,77.7738113403,83.1335525513,79.2178573608,76.4693450928,83.0828399658,76.427986145,75.4093093872,77.2197265625,76.6858139038,78.0040359497,79.7942352295,83.1627655029,78.0200500488,78.6253128052,74.1906661987,80.3663101196,81.0383453369,13,78.02
89.5723953247,93.1651000977,91.5987854004,90.9907684326,91.8612213135,88.9182357788,91.9443588257,89.9780502319,94.0086593628,89.5718383789,88.1578140259,92.1777496338,92.2735366821,88.3950119019,92.2121276855,91.3125839233,92.4644317627,85.9069290161,90.253944397,92.0229721069,89.289855957,89.9916229248,91.5915374756,89.8697967529,90.8022766113,88.7499389648,94.1849212646,89.0893173218,94.3647155762,86.9835281372,92.5788116455,88.1895065308,92.5996170044,100.423744202,85.7077026367,91.6262969971,87.0476837158,91.0004119873,18,92.93
99.4608001709,96.2740097046,101.50302124,94.930519104,98.2094650269,95.089630127,96.0840606689,96.1163787842,98.2500686646,95.6398162842,91.0394515991,97.3968200684,98.4749679565,96.1608047485,97.4664535522,94.0281295776,98.7745819092,96.5794754028,100.40398407,96.7137680054,94.0408859253,96.1076507568,98.6717529297,96.325553894,97.0188140869,92.5809783936,98.5489654541,98.2113037109,94.2039718628,96.0669708252,93.1662521362,94.5040817261,101.108917236,96.2645263672,100.226547241,94.5058059692,94.3356018066,96.8232498169,24,128.76
97.3949813843,95.3339157104,94.6123580933,95.6165618896,94.3613739014,88.5889587402,95.8345413208,94.029335022,91.1015930176,94.0057220459,100.548728943,97.2830734253,92.6335372925,92.6501846313,94.0610580444,90.994682312,93.5978927612,89.9564437866,98.6371841431,94.2870635986,94.6852035522,91.3830184937,91.5562286377,92.5776596069,93.2520294189,94.4133529663,94.5416870117,99.7698364258,88.6389083862,92.9010009766,92.5315322876,92.5082931519,94.8554840088,90.795211792,94.7061462402,93.4254150391,94.1516647339,96.0868682861,25,91.91
111.677261353,112.85735321,124.215377808,115.349281311,107.571784973,110.3022995,106.439147949,105.713691711,105.788230896,114.6820755,112.693977356,112.382980347,109.943962097,118.583320618,113.794761658,106.535552979,111.877731323,113.757522583,118.014884949,107.150253296,109.567024231,110.365158081,115.508010864,107.471961975,112.677001953,100.484901428,110.085128784,108.83518219,110.185058594,113.712364197,112.164863586,111.722541809,110.443000793,111.177352905,109.282623291,106.38356781,109.265884399,113.251502991,27,108.67
107.929527283,105.944343567,109.284118652,107.130020142,108.707458496,111.592048645,109.681587219,104.608444214,110.71257019,114.4609375,108.470558167,110.957893372,109.594367981,109.857635498,107.073196411,109.819869995,110.715492249,109.795860291,109.983680725,112.673057556,106.588035583,114.218505859,116.537254333,113.585502625,115.440422058,112.658363342,116.015899658,109.379882812,110.35609436,111.801551819,114.152160645,115.614959717,113.050338745,105.429588318,112.098762512,102.834877014,113.789398193,107.936485291,30,126.99
