keras_MSE3_lg_relu1,keras_MSE3_lg_relu2,keras_MSE3_lg_relu3,keras_MSE3_lg_relu4,keras_MSE3_lg_relu5,keras_MSE3_lg_relu6,keras_MSE3_lg_relu7,keras_MSE3_lg_relu8,keras_MSE3_lg_relu9,keras_MSE3_lg_relu10,keras_MSE3_lg_relu11,keras_MSE3_lg_relu12,keras_MSE3_lg_relu13,keras_MSE3_lg_relu14,keras_MSE3_lg_relu15,keras_MSE3_lg_relu16,keras_MSE3_lg_relu17,keras_MSE3_lg_relu18,keras_MSE3_lg_relu19,keras_MSE3_lg_relu21,keras_MSE3_lg_relu22,keras_MSE3_lg_relu23,keras_MSE3_lg_relu24,keras_MSE3_lg_relu25,keras_MSE3_lg_relu26,keras_MSE3_lg_relu27,keras_MSE3_lg_relu28,keras_MSE3_lg_relu29,keras_MSE3_lg_relu30,keras_MSE3_lg_relu31,keras_MSE3_lg_relu32,keras_MSE3_lg_relu33,keras_MSE3_lg_relu34,keras_MSE3_lg_relu35,keras_MSE3_lg_relu36,keras_MSE3_lg_relu37,keras_MSE3_lg_relu38,keras_MSE3_lg_relu39,ID,y
109.022972107,98.6547393799,101.571876526,88.6035461426,88.6746444702,99.1342926025,101.366607666,86.9418792725,100.774688721,102.91091156,91.9334259033,96.0842437744,96.3556518555,96.0683441162,99.7885894775,97.873008728,103.400253296,101.106445312,97.3187179565,100.038711548,111.652816772,101.422767639,103.529922485,99.0517730713,100.908546448,107.580078125,96.5242767334,94.8982772827,98.5575790405,91.2538299561,104.442611694,103.991607666,108.323707581,101.557266235,99.5692977905,104.076248169,96.1419448853,110.591598511,0,130.81
88.7620925903,92.3475799561,93.7017364502,96.4577407837,82.3221588135,92.0712814331,95.1853179932,93.2275085449,97.9345703125,87.217666626,99.6007843018,93.0071792603,95.1932373047,90.7337646484,89.8625946045,94.253616333,98.7719039917,88.1153259277,89.1954193115,94.2976303101,76.4057693481,92.488822937,86.3890228271,94.9164581299,100.237716675,87.220993042,93.98046875,92.6783752441,97.8997192383,97.6358032227,94.2139587402,91.1926574707,81.5171585083,97.0782775879,96.6143493652,104.396697998,99.9486236572,82.3625946045,6,88.53
74.9447021484,77.6884231567,81.0878753662,77.3209991455,75.6783370972,79.4633712769,81.2351760864,72.3919372559,80.1809310913,76.1935882568,69.2210388184,75.5483703613,77.2410888672,72.0809326172,74.7120513916,71.80078125,82.0803909302,74.7137374878,75.9987106323,79.2822570801,78.661277771,82.5160369873,79.2903747559,71.6898498535,77.541015625,82.9274291992,74.1827850342,74.0630340576,79.3599243164,92.7621917725,79.2586517334,70.4909057617,84.0146331787,77.0473556519,69.4057159424,82.6639099121,75.9459075928,79.4479293823,7,76.26
77.1383895874,73.1530303955,85.2239532471,73.2069244385,73.4173736572,76.6959686279,78.3540039062,72.6573410034,80.1020431519,78.894493103,67.7779464722,81.3555679321,79.1995391846,78.8352890015,81.2048797607,80.8295211792,72.9462585449,75.9885253906,75.2593078613,83.1939239502,82.4616012573,75.8797454834,82.0976715088,82.4598846436,72.3617782593,71.2242507935,69.3565673828,80.4768371582,76.4003753662,77.1645431519,67.6824493408,78.6679763794,76.7280426025,75.0376434326,72.2465667725,73.2113647461,74.8191604614,80.8325653076,9,80.62
81.6716079712,70.3900146484,79.7365112305,86.8596343994,76.8644638062,84.1792602539,78.1765975952,80.9236679077,84.7528381348,77.4959945679,76.5308837891,76.7697525024,88.3187713623,77.056022644,70.3818817139,83.9219970703,77.6721954346,79.6939697266,70.4806137085,81.6317138672,71.9261169434,90.8340148926,71.425743103,84.1289291382,74.1502761841,76.0736312866,84.6180343628,81.2165603638,85.1543884277,84.8690185547,82.7886657715,73.1162872314,75.297164917,70.8450088501,83.1786727905,73.5607757568,77.893661499,67.2119293213,13,78.02
93.4072418213,86.5348892212,90.2813415527,96.3876037598,90.4770965576,95.4664459229,87.3365325928,82.6917800903,89.5625152588,89.2857818604,87.8112411499,89.9716339111,89.6106338501,90.2177276611,89.6164398193,93.9523468018,99.369682312,94.0165634155,92.69140625,96.5433502197,97.8876495361,95.3198699951,98.4547424316,84.7686767578,86.4768829346,88.7453308105,89.3299026489,94.5977630615,92.5787658691,107.742141724,96.827003479,83.999710083,99.8272247314,94.6759796143,101.740753174,95.6795730591,86.2836151123,90.0193634033,18,92.93
99.1008834839,95.8234176636,103.187263489,88.3674163818,100.597747803,93.9260025024,106.344444275,96.3666000366,102.997612,97.7423400879,86.9710235596,105.070671082,98.9412536621,98.7984771729,92.4951171875,95.5432281494,94.7080230713,95.4289321899,93.6535949707,105.17489624,99.0889205933,87.9347610474,101.309860229,100.668464661,85.3272018433,82.9944229126,91.9136657715,98.5847396851,94.1600494385,102.34777832,84.7014389038,96.8891906738,98.2188339233,89.3689498901,98.4985351562,89.6826095581,92.7486419678,92.5935058594,24,128.76
100.810592651,96.2769165039,98.603767395,101.872650146,86.5429916382,97.6952972412,88.7734909058,92.3091583252,94.1486816406,94.343711853,101.166633606,109.279983521,92.3853225708,91.8016433716,88.4967498779,94.6771697998,96.117980957,94.0961074829,94.2895050049,96.2505950928,86.6191329956,91.9140472412,87.2194366455,97.2582855225,96.0026016235,84.3070220947,97.3256072998,95.9206085205,99.1749038696,97.6073760986,88.5425491333,95.9796295166,84.7172927856,88.6124038696,105.850463867,93.1522750854,91.5587768555,92.4073410034,25,91.91
123.009628296,96.3585586548,101.216079712,118.35799408,118.576324463,95.5428390503,102.83895874,114.587341309,113.936355591,110.522476196,114.101913452,111.771362305,120.697006226,107.094230652,105.009315491,98.1611785889,108.308189392,120.092910767,114.636604309,101.407684326,122.265281677,108.280784607,118.471435547,97.5737304688,102.013626099,102.227218628,104.971221924,109.894645691,108.29826355,125.852294922,116.5340271,110.990898132,121.291694641,111.643562317,107.105934143,121.994880676,103.901504517,124.211753845,27,108.67
120.722854614,120.653884888,111.018264771,106.049911499,109.195541382,117.144721985,111.370544434,100.985244751,110.459938049,118.391723633,107.087944031,107.299026489,106.527915955,109.606460571,114.715988159,106.051544189,116.056221008,110.390159607,108.907402039,110.894058228,97.6644058228,110.705436707,110.693161011,115.424514771,106.142349243,122.691169739,111.403076172,114.76638031,113.160903931,114.390426636,125.067054749,112.060310364,120.991027832,124.581687927,116.328842163,108.333938599,96.5905914307,120.281944275,30,126.99
