keras_MSE3_sqr_relu1,keras_MSE3_sqr_relu2,keras_MSE3_sqr_relu3,keras_MSE3_sqr_relu4,keras_MSE3_sqr_relu5,keras_MSE3_sqr_relu6,keras_MSE3_sqr_relu7,keras_MSE3_sqr_relu8,keras_MSE3_sqr_relu9,keras_MSE3_sqr_relu10,keras_MSE3_sqr_relu11,keras_MSE3_sqr_relu12,keras_MSE3_sqr_relu13,keras_MSE3_sqr_relu14,keras_MSE3_sqr_relu15,keras_MSE3_sqr_relu16,keras_MSE3_sqr_relu17,keras_MSE3_sqr_relu18,keras_MSE3_sqr_relu19,keras_MSE3_sqr_relu21,keras_MSE3_sqr_relu22,keras_MSE3_sqr_relu23,keras_MSE3_sqr_relu24,keras_MSE3_sqr_relu25,keras_MSE3_sqr_relu26,keras_MSE3_sqr_relu27,keras_MSE3_sqr_relu28,keras_MSE3_sqr_relu29,keras_MSE3_sqr_relu30,keras_MSE3_sqr_relu31,keras_MSE3_sqr_relu32,keras_MSE3_sqr_relu33,keras_MSE3_sqr_relu34,keras_MSE3_sqr_relu35,keras_MSE3_sqr_relu36,keras_MSE3_sqr_relu37,keras_MSE3_sqr_relu38,keras_MSE3_sqr_relu39,ID,y
87.7443084717,99.9748840332,86.5728759766,101.643798828,96.1633377075,110.889694214,100.468307495,102.176765442,93.7335739136,100.547088623,91.8770523071,95.5530776978,105.021896362,98.0563354492,108.123596191,102.175476074,96.2412185669,94.3178100586,97.4576034546,87.8419418335,99.0623397827,92.6195678711,104.809707642,93.9912796021,95.5108718872,99.1551589966,105.695907593,94.0795059204,107.083641052,93.8391189575,97.1747283936,105.595489502,96.5860595703,97.3061599731,95.6810073853,95.9810562134,101.145652771,111.635620117,0,130.81
98.1155166626,89.2269897461,97.0345153809,93.3401260376,96.9339981079,92.6047592163,97.9909591675,92.2905883789,90.1485748291,94.4729156494,94.5125961304,90.6100006104,92.9593582153,87.643661499,98.2554168701,91.1324996948,84.9171218872,97.672492981,96.3023757935,93.0603485107,95.3274841309,89.9269256592,106.802070618,91.1203536987,83.400390625,94.0991897583,89.5649414062,78.9792251587,92.5062713623,85.6958999634,90.5526580811,94.6957550049,93.6085662842,84.203956604,93.3962249756,97.4717788696,93.4218444824,87.5135192871,6,88.53
78.3645095825,73.4881210327,78.6927337646,77.5483169556,76.1176071167,80.7237243652,79.510383606,81.7476882935,71.7052688599,78.3259811401,81.0816268921,74.966003418,83.5659637451,70.9720993042,75.4738464355,82.4123535156,72.0760650635,76.4847793579,74.4033737183,81.2300491333,77.5101089478,80.8042221069,79.5741271973,74.4750595093,82.6602706909,77.5545806885,70.0439529419,76.1648254395,84.3209686279,83.9459762573,80.0925292969,77.1446075439,77.29347229,76.387512207,77.4435958862,74.837890625,79.8433303833,78.6854553223,7,76.26
76.4761734009,82.2229309082,77.4226303101,77.0948104858,77.5835952759,73.0189819336,75.3335647583,85.4706039429,80.4267578125,79.6676101685,77.2578659058,72.3622970581,78.6951522827,69.8932266235,82.6570968628,75.6845703125,69.9962615967,73.2507019043,75.7083969116,72.6703796387,79.6595458984,71.0132675171,79.0846786499,75.218208313,77.3341140747,79.1761169434,80.8513031006,78.4075546265,75.4522628784,88.1251907349,73.3830032349,71.5121841431,75.993019104,74.6562271118,83.8277816772,76.6628341675,76.0925674438,82.6282424927,9,80.62
82.5350799561,78.8905487061,79.0713653564,74.7724609375,76.6516799927,81.4628601074,80.4118804932,79.9876480103,82.2028198242,70.2824478149,74.7572097778,78.9811401367,74.8192596436,74.2569885254,80.3474578857,80.5578536987,76.5967636108,78.5715637207,81.5916976929,77.8750534058,79.2675857544,74.6260452271,74.4133300781,79.041809082,71.5137481689,78.747718811,79.9520339966,76.87059021,77.4658508301,79.7900161743,80.2905197144,76.3310623169,76.6424789429,78.2851257324,79.005859375,77.2090377808,74.3304901123,72.9234085083,13,78.02
95.134262085,88.341796875,91.9803237915,95.318901062,84.7175598145,93.7760696411,94.4675216675,94.9181671143,89.3487854004,94.1577072144,94.1799926758,93.3914871216,97.3753128052,88.5232391357,96.7214660645,94.9406356812,89.8053817749,87.3016204834,85.1912384033,90.8928909302,95.2085189819,86.0623474121,87.376449585,92.4762420654,96.0708465576,94.168548584,83.6522598267,93.9794998169,96.125,99.1520996094,90.9885101318,92.5946426392,98.7671356201,90.7901992798,90.0102920532,88.7521743774,96.2073135376,97.236366272,18,92.93
91.6481704712,99.0003738403,90.0940704346,98.0012283325,96.0036315918,94.047706604,103.658233643,99.9862289429,95.176902771,96.5721740723,93.7565460205,83.9178237915,99.4885864258,96.7678833008,95.8316650391,100.26789093,96.7993087769,94.2419128418,94.9303970337,97.525138855,94.7258834839,90.2155761719,96.572845459,103.650115967,96.1156845093,89.4525375366,99.0479507446,92.6863250732,95.2897720337,101.235229492,90.6722869873,91.2939834595,92.6058425903,93.5212631226,97.1664886475,93.762588501,93.7140197754,101.20539093,24,128.76
91.5215454102,100.174980164,102.873306274,99.6842956543,92.5188369751,95.7989883423,99.6255187988,98.3317184448,96.2953414917,92.5354614258,90.2699508667,90.4567947388,94.5962600708,85.9411849976,92.26927948,98.2657012939,88.2167816162,95.8477020264,94.5799560547,92.6952819824,93.0721969604,87.1252441406,99.5505065918,95.4633636475,86.241859436,92.0319900513,95.5070114136,98.9306564331,91.5993881226,89.1799163818,95.5994186401,93.485534668,97.3926315308,95.2971496582,89.2478942871,95.2085571289,102.346847534,92.4350204468,25,91.91
104.392120361,111.561912537,108.369247437,110.256225586,120.097564697,111.428466797,112.292144775,114.783782959,122.366645813,109.906402588,111.741325378,110.452125549,103.720458984,111.597312927,113.899787903,118.004974365,114.616607666,110.844261169,105.668609619,113.666664124,119.438407898,97.8483886719,109.223007202,109.663406372,108.121986389,105.929832458,113.042404175,108.351516724,111.623062134,110.510368347,106.194290161,110.406204224,102.13053894,117.483604431,114.555908203,114.467834473,120.246894836,112.079032898,27,108.67
112.600730896,109.713722229,104.283401489,113.45388031,105.911697388,109.054130554,114.882217407,119.340690613,117.88948822,101.126296997,106.040008545,104.398117065,112.456794739,101.870063782,112.037117004,116.133872986,107.729873657,109.499862671,106.881782532,116.328933716,116.015441895,104.845352173,104.56161499,113.662536621,112.190238953,113.850730896,111.326049805,104.18901825,114.190330505,109.051864624,107.234367371,111.526802063,106.369842529,103.785346985,103.214241028,105.460159302,105.805648804,118.257865906,30,126.99
