predPer0,predPer1,predPer2,predPer3,predPer4,predPer5,predPer6,predPer7,predPer8,predPer9,ID,y
91.5864181519,91.5553970337,91.4208450317,91.2662277222,93.214553833,91.5159072876,91.3104476929,91.0875396729,90.989654541,90.9286422729,6549,88.84
91.4604644775,92.0645828247,91.3570785522,91.265411377,92.923286438,91.5042572021,91.1455535889,91.087562561,91.2359771729,91.2717437744,4259,91.6
91.5600128174,91.1047973633,90.4962539673,91.1220474243,91.9494552612,91.3772659302,91.1443862915,91.0869674683,91.14868927,91.4172668457,3799,88.87
110.012748718,110.836585999,110.044502258,110.175483704,110.767051697,110.450027466,109.963661194,110.837982178,110.806724548,110.162277222,8293,106.53
91.5614929199,91.4995193481,91.4211578369,91.1220092773,91.5590286255,91.3773956299,91.3987045288,91.1513824463,91.8871765137,91.9326248169,3258,95.8
110.011695862,110.836990356,110.095191956,109.830032349,110.086738586,110.304771423,109.963661194,109.91973114,109.838127136,110.691970825,5473,153.51
91.5613479614,91.556312561,91.0844421387,91.5257415771,91.0523910522,91.479057312,91.3114700317,90.3829116821,92.4761657715,91.2725143433,2993,93.0
91.561378479,88.2793502808,91.0866088867,91.2648468018,91.3238220215,91.478515625,91.3111343384,91.0865936279,91.1482315063,91.4115447998,7880,85.82
96.2340927124,92.0487365723,91.4199523926,91.1061325073,93.515953064,90.8824462891,91.4183502197,92.3356781006,92.4144363403,91.2681121826,2786,100.87
102.376655579,102.617179871,100.188995361,102.981948853,103.211242676,100.543960571,103.43964386,102.427726746,102.092254639,103.406578064,976,101.11
91.4598693848,91.1057510376,91.3260498047,91.0943374634,93.039100647,91.3778457642,91.3115921021,91.1885528564,91.2589874268,90.9402008057,6129,89.6
110.379486084,109.784339905,110.09614563,110.162528992,110.726860046,110.384437561,110.217712402,109.903007507,109.838188171,109.954086304,6099,108.14
91.2090377808,91.4994735718,91.3516998291,91.525428772,91.2601852417,91.4936981201,91.1476135254,90.3580551147,91.2329483032,91.4186859131,6644,89.35
91.2686767578,91.5559463501,91.4215011597,91.1217422485,92.3731918335,91.4788970947,91.1458129883,91.1877593994,91.0230941772,91.2838592529,3606,94.21
91.5614242554,91.4994888306,91.3588027954,91.3429870605,91.276763916,91.52318573,91.4187545776,91.1517028809,91.2327880859,92.0601882935,4362,90.04
110.369415283,110.325241089,110.576881409,110.161849976,110.769371033,110.24206543,110.11895752,109.966651917,110.151832581,110.686576843,449,128.78
