keras_per_relu0,keras_per_relu1,keras_per_relu2,keras_per_relu3,keras_per_relu4,keras_per_relu5,keras_per_relu6,keras_per_relu7,keras_per_relu8,keras_per_relu9,keras_per_relu10,keras_per_relu11,keras_per_relu12,keras_per_relu13,keras_per_relu14,keras_per_relu15,keras_per_relu16,keras_per_relu17,keras_per_relu18,keras_per_relu19,keras_per_relu20,keras_per_relu21,keras_per_relu22,keras_per_relu23,keras_per_relu24,keras_per_relu25,keras_per_relu26,keras_per_relu27,keras_per_relu28,keras_per_relu29,ID,y
90.1684875488,90.9179534912,88.9374542236,85.7756271362,85.3378372192,87.8821182251,91.9942703247,87.1681289673,85.8099136353,90.116317749,93.0565567017,88.5497589111,87.521446228,94.7715988159,92.987121582,89.2214508057,92.0887832642,91.5811309814,83.1311645508,91.4478988647,88.0015106201,89.587928772,90.1414031982,88.5111694336,88.6121139526,92.7241821289,93.1106643677,88.69556427,88.1209182739,93.5364837646,3719,93.91
89.6350631714,89.0501403809,90.8707962036,88.0356063843,87.4216995239,93.4256286621,89.8952713013,97.642791748,87.4934616089,88.1133499146,87.7618713379,93.1759414673,89.556098938,89.4877853394,96.4368286133,92.4771499634,93.5641937256,91.3225326538,89.5151290894,88.6149139404,87.84715271,88.7730560303,92.6653213501,86.944229126,89.9385986328,92.7479934692,92.9026107788,91.8990402222,87.5127944946,96.6216049194,4295,91.41
97.1059646606,90.3512954712,91.3533859253,88.5984191895,86.3544082642,89.0039825439,88.9139251709,90.9445037842,88.1029129028,86.6618499756,91.1940155029,90.3781967163,89.1960296631,86.9748535156,94.7733154297,91.1537704468,88.0050048828,92.8235473633,94.3119125366,87.1123123169,88.6737747192,95.8157424927,88.6777114868,93.32056427,95.2357025146,91.0441970825,95.2717895508,83.3772354126,90.70703125,91.1099014282,6158,89.22
107.935150146,110.010429382,107.642448425,111.214042664,119.607643127,107.980812073,102.977432251,101.888244629,110.105140686,112.02230835,113.331367493,106.700111389,113.595443726,109.007972717,110.138160706,113.562644958,104.179626465,109.571083069,111.102973938,98.1318511963,109.119995117,111.189117432,113.198738098,114.003692627,109.779975891,112.347320557,118.514144897,111.296722412,111.478897095,107.356140137,4530,136.96
103.832633972,99.3804626465,112.249389648,104.840553284,99.5625762939,106.550315857,98.9563980103,98.8451690674,97.3727645874,103.336143494,103.397148132,108.482521057,98.8311843872,97.2694396973,108.52318573,104.626815796,95.0389404297,108.093238831,103.769989014,100.904632568,95.4958114624,107.875778198,97.5941009521,108.720794678,107.336761475,102.986274719,103.16594696,96.8025894165,102.119400024,107.628456116,3998,100.11
90.5437088013,91.7303771973,90.9177856445,86.5688934326,91.1350326538,87.1787109375,88.0074157715,94.5854492188,87.8117370605,84.5044021606,90.3468322754,93.3197021484,94.9226989746,89.7579193115,93.7787322998,88.8302154541,98.3218994141,94.1888809204,92.6979827881,89.5029067993,91.0195999146,93.2439880371,92.1153411865,91.8039627075,93.6102142334,91.1789016724,89.4686050415,89.9142913818,89.4250946045,87.4580001831,5343,93.48
94.0097198486,85.7666702271,92.5281143188,94.12525177,93.4686050415,90.3487625122,89.7086486816,91.3466186523,91.723487854,94.1317443848,89.1400756836,88.2700805664,95.2656173706,89.2436828613,93.5386199951,91.5653686523,88.3300094604,93.6987457275,92.7048950195,88.2504882812,90.2247695923,98.3151168823,94.0676498413,91.5106964111,93.2523345947,88.9033432007,91.2136230469,90.6687698364,92.0832138062,89.1383056641,6950,89.99
94.1419219971,90.7353973389,90.7950134277,86.3119049072,93.3195114136,93.7990722656,87.3746566772,88.7030715942,88.1051940918,85.184967041,96.7715682983,90.1162567139,89.343170166,93.4446105957,90.8035430908,89.0039978027,91.6573410034,94.3706207275,92.4230499268,89.7057723999,93.6052932739,88.155632019,93.8781967163,93.3347702026,93.428062439,88.8357620239,90.3433685303,92.4618377686,93.9027557373,90.5411529541,2628,88.36
94.3112564087,87.6723022461,90.947517395,89.5458297729,86.6197128296,91.1756896973,88.3731994629,91.528678894,84.7146530151,94.2671051025,88.370513916,89.2747802734,88.9051132202,93.5933532715,94.5667419434,94.4918289185,95.2708969116,87.6027526855,92.5809020996,87.719329834,93.6680603027,96.5674667358,89.0872497559,94.2636795044,94.7305297852,92.7078018188,92.4910888672,92.385848999,89.9265670776,91.25390625,1133,92.29
105.105300903,109.99067688,102.923912048,110.741104126,106.593528748,106.068473816,105.040962219,113.760696411,106.172561646,110.585372925,111.286979675,112.175140381,107.071350098,113.764945984,114.86995697,117.028549194,113.000953674,105.433227539,107.527832031,108.355201721,106.106498718,115.301101685,104.599487305,113.562263489,104.962249756,111.940948486,113.828147888,114.277557373,107.255599976,106.148338318,5881,107.99
