keras_r20,keras_r21,keras_r22,keras_r23,keras_r24,keras_r25,keras_r26,keras_r27,keras_r28,keras_r29,ID,y
112.686233521,112.235099792,112.704841614,112.412818909,112.123214722,112.128791809,112.554016113,111.989280701,111.555732727,112.368659973,433,146.83
93.1209106445,96.4319534302,93.8122406006,92.8486862183,95.8968505859,97.078453064,95.3471755981,92.6168670654,93.1049880981,92.7933959961,783,105.85
102.773956299,102.211952209,101.504112244,103.258247375,102.525894165,102.614189148,103.669120789,101.618965149,100.734382629,101.890136719,614,99.48
94.5206298828,92.6832275391,92.9658889771,92.8435592651,92.596206665,96.1278915405,93.1118087769,92.0183258057,93.387046814,92.830078125,1781,105.45
112.341514587,112.42149353,112.129806519,112.472045898,112.409263611,112.301132202,111.594429016,112.062454224,112.4842453,112.111099243,6190,107.9
92.5285110474,92.8023452759,93.0668716431,92.5119552612,97.3491287231,93.7760009766,92.5952758789,93.4680786133,92.099609375,93.5762252808,3906,93.45
78.5124893188,78.470161438,78.5250778198,78.4564819336,78.8122787476,78.5720367432,78.2910766602,78.8332443237,78.7652435303,78.7137985229,3575,77.45
112.33531189,112.360198975,112.095069885,112.42502594,112.487617493,111.516288757,111.974143982,112.24331665,111.292785645,111.996284485,27,108.67
112.61681366,112.542045593,112.129333496,109.991188049,112.120674133,112.338188171,111.713668823,112.24797821,112.608078003,112.388076782,2904,109.7
112.69644928,112.423500061,112.43573761,112.470062256,112.486968994,112.339439392,111.979606628,112.065071106,112.098251343,112.11089325,171,113.31
102.442474365,103.594573975,103.179145813,102.088218689,102.520782471,102.604156494,102.087257385,102.152366638,103.111030579,102.708213806,5096,97.2
102.138946533,102.229919434,101.504547119,102.54473114,101.563934326,102.672744751,100.806793213,101.937057495,101.898200989,102.300140381,6918,98.03
112.695144653,111.678977966,112.09022522,112.006797791,112.414367676,112.33605957,112.409942627,112.338310242,112.600158691,112.005950928,4553,112.41
97.1994857788,96.7448501587,99.6101837158,97.3608779907,96.8135375977,96.7708740234,99.9344787598,96.921661377,95.3485412598,95.7109985352,5066,93.06
92.7929153442,92.2194976807,92.6148834229,92.5494384766,91.9494094849,92.6122055054,91.2773590088,91.9879150391,93.7398529053,92.1277313232,7290,91.4
112.514701843,106.909339905,112.398681641,112.588417053,112.434310913,111.530265808,112.532836914,112.354301453,112.06703949,112.36164093,4544,113.99
112.694793701,112.315727234,112.69493103,112.165306091,112.5989151,112.322257996,112.530693054,112.243927002,111.824638367,112.663375854,7928,107.65
97.0635910034,96.0216903687,99.886428833,93.7291107178,96.2282867432,96.4324417114,97.1929702759,96.7229690552,96.8848190308,97.2892456055,3191,103.2
93.6042480469,93.2165298462,92.684425354,92.5080413818,93.0651931763,93.2922058105,95.1702804565,92.9449691772,94.6060409546,94.2373275757,1480,97.29
93.1500320435,92.4978561401,93.0609054565,92.3328781128,93.0501403809,92.1966629028,94.6641540527,93.232208252,92.5089492798,91.8189315796,8082,91.3
92.3332824707,92.318107605,92.9041442871,91.8307189941,92.4749832153,92.5516738892,90.9150772095,91.9891433716,92.445350647,93.1331634521,4453,93.1
97.3906478882,93.6494903564,93.088394165,96.0385665894,93.1848449707,95.1017913818,92.6065063477,96.5256195068,94.4912033081,92.8241577148,1540,93.47
92.8172225952,93.3775100708,92.5131607056,92.636100769,93.060546875,95.0653076172,92.74974823,94.3915252686,95.0637893677,92.5646743774,531,95.04
112.343025208,112.057952881,112.286560059,112.289489746,112.123069763,111.508743286,112.163169861,111.973701477,112.05834198,112.372512817,8079,110.22
112.69480896,112.494613647,112.131591797,112.289588928,112.342224121,112.133491516,111.52960968,112.24420929,112.193260193,112.1065979,7149,109.54
112.338897705,112.367744446,112.675315857,112.486427307,112.110992432,112.356399536,111.711219788,112.356140137,112.046440125,112.366760254,7816,126.52
93.1130447388,92.6365890503,92.2074356079,91.8076477051,92.4019470215,90.2432632446,92.3461456299,91.9266738892,90.7453079224,92.7851257324,487,90.38
112.270469666,112.399421692,111.88860321,112.453613281,112.482437134,112.140388489,112.123054504,112.198417664,109.064834595,111.990989685,6119,111.05
112.343551636,111.970565796,112.122795105,112.132293701,112.123199463,112.290672302,111.712768555,112.25340271,111.926048279,112.363059998,8055,105.36
112.343414307,112.342903137,112.122589111,112.622329712,112.116493225,111.518226624,112.5522995,112.243492126,112.68497467,112.075370789,1211,105.76
102.648414612,102.740715027,101.503334045,103.122817993,103.033058167,104.483108521,101.105674744,101.551338196,102.871070862,102.901985168,2805,117.35
78.5315628052,78.1587295532,78.832862854,77.9263763428,78.7842712402,79.6031723022,78.6630172729,77.8586425781,80.9942703247,78.7328338623,5182,78.71
92.474357605,92.434928894,92.7211761475,92.8466567993,92.449546814,96.6799087524,93.5820236206,95.8224945068,92.5219268799,93.41746521,2680,100.97
102.985298157,102.009407043,103.127716064,105.467529297,102.011909485,102.867431641,102.433036804,102.821731567,102.944976807,102.477767944,702,102.66
