keras_r2_relu0,keras_r2_relu1,keras_r2_relu2,keras_r2_relu3,keras_r2_relu4,keras_r2_relu5,keras_r2_relu6,keras_r2_relu7,keras_r2_relu8,keras_r2_relu9,keras_r2_relu10,keras_r2_relu11,keras_r2_relu12,keras_r2_relu13,keras_r2_relu14,keras_r2_relu15,keras_r2_relu16,keras_r2_relu17,keras_r2_relu18,keras_r2_relu19,keras_r2_relu20,keras_r2_relu21,keras_r2_relu22,keras_r2_relu23,keras_r2_relu24,keras_r2_relu25,keras_r2_relu26,keras_r2_relu27,keras_r2_relu28,keras_r2_relu29,ID,y
94.8584289551,90.7311248779,89.1979141235,91.7822265625,92.8903274536,92.6378097534,93.0846633911,91.971534729,88.2468948364,91.6119384766,96.7618179321,89.100692749,97.23046875,90.8883743286,88.1531524658,93.9658660889,92.9413528442,88.5695877075,89.5252227783,88.9676818848,93.9833450317,90.8669204712,93.4484558105,89.0926971436,93.9068374634,91.6049804688,94.7454223633,88.8940811157,88.4922485352,92.1656951904,1793,118.44
96.9993515015,91.5986633301,88.7176818848,95.4036483765,92.7761154175,94.3591384888,95.3558273315,92.8363800049,89.7861938477,90.9315338135,92.3029174805,89.3176803589,89.2574691772,93.7507095337,94.392288208,97.2551879883,92.1301574707,95.1458892822,93.9204177856,90.9299850464,94.3791275024,92.0732955933,94.980796814,92.7617034912,91.0907287598,94.1021575928,91.7372741699,89.6844406128,91.922492981,89.7514801025,2768,99.6
96.1144866943,90.3001937866,94.4049530029,89.836265564,94.983757019,89.778175354,89.7985076904,91.3707275391,86.7528610229,82.9155044556,91.7669143677,90.0936431885,90.9049758911,91.612991333,92.1607055664,91.1594924927,93.0129928589,92.6546783447,93.9101333618,94.6853561401,92.1949996948,92.244102478,94.6772155762,87.3054046631,93.002494812,94.9915771484,90.8483200073,92.8001861572,90.6356582642,90.9562149048,2052,88.1
110.05846405,107.644447327,107.66544342,111.4608078,107.723419189,111.822288513,109.888160706,113.748542786,112.589187622,110.526290894,107.772361755,109.932701111,103.09577179,108.403701782,107.544647217,116.964187622,111.048469543,108.542808533,106.935134888,109.94581604,108.55141449,111.75856781,104.770347595,103.52066803,103.789619446,110.667640686,113.22756958,113.640785217,114.179153442,110.848106384,1750,109.39
91.5028381348,92.8997421265,97.8728866577,91.8788986206,98.0085601807,101.970054626,98.453994751,91.4822540283,97.0378341675,95.0897521973,93.1979217529,97.6411590576,93.9229431152,95.3081817627,94.6677017212,99.8964233398,97.5795440674,96.8409576416,93.0002593994,97.1922225952,100.574943542,95.0974121094,101.808158875,100.444900513,91.5596237183,96.719581604,93.7619247437,94.5667877197,97.4594573975,92.3501815796,4822,92.98
95.4990386963,98.7431411743,105.420516968,104.654022217,97.443069458,99.0293579102,104.232978821,99.5036849976,95.0490112305,91.9341888428,101.584983826,105.455482483,101.299331665,99.73097229,98.4206848145,104.718521118,100.69455719,103.156646729,102.693481445,101.235832214,102.631599426,100.670227051,101.039016724,104.754974365,100.744598389,105.128479004,105.689338684,103.211006165,94.4882888794,103.03024292,7230,98.12
100.029548645,100.485275269,102.31653595,95.0553817749,98.2824783325,100.311698914,99.4729690552,97.9387435913,98.4529800415,96.7225112915,98.1764831543,100.024971008,97.1637420654,96.3809051514,101.2315979,100.72101593,100.60433197,100.664741516,99.8982543945,101.070449829,99.9250335693,99.6030883789,95.6114120483,97.1332931519,101.996322632,101.100204468,97.6369400024,102.813591003,99.2267074585,106.145088196,8069,106.4
87.2170410156,93.1238708496,89.2179412842,91.1504669189,94.646522522,90.6446151733,92.1365509033,90.2748718262,96.3105773926,94.447303772,90.5961456299,93.8618927002,90.5503921509,90.0056762695,87.7355422974,93.722366333,94.6511077881,93.1611785889,93.6296234131,93.0472335815,93.097442627,90.0488052368,97.9361495972,98.4918289185,94.6792297363,93.058631897,92.5250320435,90.8550872803,86.3071136475,89.1237869263,7720,92.2
95.9755935669,95.1367492676,92.4187240601,89.6652069092,91.6143569946,90.8960647583,89.3873977661,86.9135437012,91.5510101318,90.5118408203,85.9136886597,93.5353622437,96.7261886597,90.1730194092,94.065322876,93.2383346558,93.8819580078,90.2239151001,89.8375320435,91.9525756836,91.6440353394,94.5249633789,89.7899703979,97.9259796143,91.5562896729,89.9205627441,91.5156097412,93.7569656372,90.872795105,92.4790496826,8215,92.72
93.8757705688,92.3476257324,93.33618927,92.902053833,91.8539505005,93.7919006348,92.4092330933,91.3693008423,85.0713653564,92.5272216797,96.911315918,90.0771636963,91.8968505859,89.3838500977,91.8801803589,91.0504989624,92.4580383301,94.3578491211,90.9537658691,90.4302062988,95.6003799438,94.4555892944,95.1763839722,95.2429122925,93.2325820923,92.4405593872,91.8572540283,93.8481140137,92.4158782959,93.2809753418,5887,96.8
