keras_r2b0,keras_r2b1,keras_r2b2,keras_r2b3,keras_r2b4,keras_r2b5,keras_r2b6,keras_r2b7,keras_r2b8,keras_r2b9,ID,y
89.5544281006,88.3251495361,95.0543289185,94.9013595581,93.8584823608,91.049987793,95.3070068359,89.0179290771,92.0444564819,89.9468154907,8239,91.11
92.1169891357,89.9566268921,91.2881469727,87.7386627197,93.5547332764,93.2461929321,90.2036514282,92.9083175659,101.02936554,91.396812439,6624,88.68
92.8561401367,105.366691589,94.4361877441,99.2082214355,101.484809875,94.1230773926,106.298805237,95.8579788208,101.083930969,97.9355773926,5534,94.6
113.422676086,113.299751282,110.822494507,108.735572815,118.199645996,115.78540802,107.234268188,108.74836731,109.614204407,113.347351074,1147,107.48
94.7317657471,92.5435791016,91.8399200439,97.5125045776,93.7071075439,89.6105880737,110.602096558,91.4020233154,92.8580245972,94.4965362549,2744,92.82
88.2196426392,95.0184631348,90.3598403931,84.510307312,93.9102249146,82.1052627563,83.8054656982,90.4398269653,86.3382034302,89.5926361084,3719,93.91
107.154953003,115.534515381,109.102088928,109.971260071,111.54548645,110.255386353,112.67288208,103.190956116,112.731056213,104.971679688,2381,108.52
96.0681228638,95.0212936401,91.889251709,93.3941268921,94.4919662476,95.7595748901,98.7717666626,98.3476257324,91.569190979,94.4596405029,6532,88.1
112.062797546,114.879562378,109.009773254,106.281799316,116.509124756,105.222625732,109.821762085,112.031013489,113.854499817,111.646789551,7709,115.18
108.671104431,110.188278198,107.920677185,111.733924866,113.315353394,112.375846863,104.430473328,107.322402954,109.344520569,111.780662537,2716,118.06
97.6287612915,95.5418167114,92.5604095459,94.3477096558,101.327285767,96.9512023926,95.0108718872,102.54119873,93.9606781006,95.0523300171,5443,108.09
95.0011138916,90.1564712524,90.4221191406,92.0238494873,93.8625335693,95.9628219604,94.2294006348,93.0993270874,91.3782577515,92.8690185547,5377,103.42
105.537078857,93.2315063477,103.817886353,100.084259033,98.4898605347,92.9380264282,94.8825149536,98.6012496948,91.3400115967,94.7799682617,4850,98.56
91.1826095581,96.7733001709,96.0179214478,92.7217102051,91.7941513062,95.1022720337,88.5024871826,91.4718704224,93.2811508179,88.0230178833,4565,90.36
107.695129395,109.381355286,111.975875854,106.013160706,114.007049561,111.038391113,102.554328918,111.700340271,107.879013062,111.939071655,7980,142.46
98.3713302612,93.2520904541,99.410987854,96.8097763062,96.4242477417,92.8825149536,93.6887817383,96.9733810425,99.0302352905,109.871009827,5068,94.79
111.476356506,110.825737,107.139152527,106.666488647,102.238830566,108.392990112,109.523986816,105.06111145,113.023490906,109.183624268,3965,109.05
106.543449402,114.225898743,101.462287903,107.804130554,108.882797241,108.077278137,102.446723938,108.303153992,109.49874115,107.015007019,6662,113.03
100.889373779,100.532272339,100.185043335,107.257987976,106.070220947,98.832649231,97.9047851562,101.633125305,103.745826721,102.950759888,3336,100.53
90.7950668335,91.1072921753,88.7638473511,91.9193725586,88.0400924683,94.9294204712,94.0342712402,88.8418273926,96.0813980103,90.8939208984,7614,94.4
91.8638076782,93.6335754395,95.6034851074,95.1328353882,87.7485580444,86.4774246216,92.1389083862,92.3826065063,88.2307052612,92.7919311523,2165,89.02
93.1501617432,98.0416641235,96.641708374,91.6789703369,95.0180282593,99.3108062744,87.9162445068,96.312286377,98.4334182739,103.89781189,2498,90.13
93.2891159058,113.227828979,92.3677139282,96.3419036865,92.4965286255,97.4209289551,94.462890625,98.173789978,90.2836914062,92.0865249634,2596,91.1
131.137374878,115.268798828,117.342681885,116.328117371,118.707359314,112.59752655,120.373222351,115.356552124,116.777778625,129.114730835,3661,115.1
85.2533798218,95.3578338623,91.1555099487,92.1162033081,96.5566177368,91.9526443481,90.8841934204,97.8921508789,98.0231323242,101.464248657,2206,97.41
90.8673171997,90.6471939087,88.0023651123,89.0624465942,92.2816619873,93.4624557495,86.647102356,90.7378921509,87.8658828735,95.0347976685,5959,89.4
104.417190552,106.224029541,109.064834595,102.683395386,109.177185059,101.235122681,108.878814697,100.496902466,105.544654846,103.546463013,8001,121.84
91.1956863403,96.3709945679,92.065612793,95.3691635132,93.9220428467,88.588104248,92.3322067261,93.9051895142,94.8295898438,89.5371627808,7091,93.17
107.320266724,110.261558533,110.017272949,110.923728943,109.725349426,109.073226929,110.916732788,105.446266174,112.375778198,111.841491699,4402,114.55
92.5607223511,92.5014038086,98.6477890015,94.0281219482,90.5994949341,93.30443573,90.8432312012,92.5986785889,93.8167877197,93.2143630981,5325,88.06
106.735397339,111.04839325,107.007217407,109.309715271,114.786277771,106.438278198,111.203178406,105.718086243,107.912590027,109.86441803,3230,117.06
92.0403900146,100.796066284,88.8093795776,89.9375686646,94.1414871216,82.0515213013,88.6751708984,90.8020706177,92.6328201294,91.8355102539,3037,86.83
96.6992797852,98.1343765259,91.8257141113,91.3303985596,93.2639541626,91.0148010254,95.1146011353,92.6797714233,88.6124572754,95.4989547729,5900,87.86
107.720787048,116.056541443,108.216011047,110.914413452,116.950958252,114.852233887,114.459068298,104.468719482,112.379104614,107.171112061,2403,150.89
89.2802734375,95.4522628784,99.5880355835,95.1978378296,94.5327072144,94.9808197021,95.7022171021,93.7604598999,90.4214019775,94.7184524536,4291,88.83
99.578994751,106.870346069,94.6501159668,102.8070755,105.031677246,100.700119019,100.197853088,100.511024475,102.174865723,102.02822876,6378,104.36
106.717063904,112.144470215,105.473693848,105.595535278,108.048522949,105.897438049,108.887458801,103.263420105,104.584632874,106.331535339,8348,106.61
102.769798279,104.360046387,104.609008789,102.557746887,96.4523696899,99.6749725342,103.865478516,106.125068665,101.629142761,98.8768997192,2610,103.72
94.1158065796,92.2236175537,93.5939559937,86.8390884399,90.8362884521,97.7101516724,89.2851715088,92.1004486084,94.7554168701,88.8386917114,2086,91.07
93.7734680176,93.4235076904,95.8502655029,96.4537811279,97.6962356567,94.8168945312,97.6522598267,94.585319519,88.690246582,91.8412246704,1874,88.64
110.106712341,112.04019165,106.243682861,111.609169006,113.814308167,111.969474792,104.059005737,105.65271759,108.470535278,110.015113831,5124,109.02
86.4221420288,90.9934310913,85.1682052612,90.5347518921,88.8046722412,90.2167510986,88.3478164673,87.390045166,83.7946243286,89.1988449097,7954,96.87
88.5049667358,85.5709991455,90.7802047729,89.0876693726,93.5834197998,84.345451355,87.4879074097,92.4462661743,87.6655960083,86.8136291504,8262,93.5
88.8311462402,93.5490951538,92.0276565552,88.7353591919,92.7699737549,85.6247634888,84.9286193848,87.3295822144,84.1976928711,88.4323348999,633,85.76
109.06463623,109.281921387,107.793006897,109.659294128,112.965240479,102.121948242,113.075523376,100.933563232,111.505683899,111.007881165,3922,109.49
121.407272339,115.018569946,105.393760681,122.913032532,114.203086853,109.421783447,114.510520935,113.475189209,117.001602173,116.250808716,3590,107.99
85.1874771118,90.4208221436,87.311088562,93.093788147,91.7381210327,97.8007888794,91.5556564331,89.8192443848,94.6410903931,91.8515396118,6777,105.49
94.0387954712,97.0467224121,92.0251235962,101.640586853,101.824615479,95.0350265503,95.2002258301,96.1981430054,101.096496582,99.0401000977,7814,95.74
92.0939559937,87.9912414551,91.2727890015,96.4372711182,89.7501831055,87.1745529175,92.2094421387,90.4837188721,90.3570556641,89.0428543091,6274,96.52
91.8584594727,94.2957382202,100.062637329,98.1390762329,91.5585861206,89.7927932739,93.4830703735,90.302482605,88.8320083618,92.3870010376,7098,90.85
105.933280945,99.8726119995,103.782623291,106.331512451,110.224060059,107.782806396,103.035461426,100.785057068,100.958427429,107.527565002,2836,101.25
102.404258728,95.0244445801,89.6328201294,94.782081604,99.369140625,92.1156845093,96.9337692261,98.7232437134,96.9088668823,92.1480712891,4701,87.33
93.6415100098,93.4126586914,90.9648590088,94.7570800781,96.7190322876,91.3222198486,93.9388656616,95.9072952271,94.4873352051,85.7438583374,6005,88.54
98.5595855713,102.783714294,106.759315491,104.820053101,101.613166809,96.1869735718,98.9297103882,99.9550628662,104.297447205,102.33366394,1623,110.58
97.4735717773,101.73802948,102.912559509,100.08568573,99.6198501587,97.6594696045,99.6895751953,101.527572632,97.6571350098,106.82019043,6230,98.38
79.4710159302,74.4432907104,72.1284332275,78.5112457275,77.2894973755,76.6853485107,76.9256210327,81.5933837891,78.6434936523,75.3918533325,6919,76.56
91.6274185181,88.4327316284,92.8045883179,88.9525222778,94.4912719727,93.7232666016,94.8243484497,91.487739563,89.6313095093,98.567565918,3898,88.18
105.139564514,99.3913650513,99.7532501221,104.902030945,98.7975769043,103.057823181,102.066398621,97.2625045776,105.721183777,99.4800872803,8083,103.85
116.825874329,122.693695068,107.417808533,120.030532837,115.903755188,123.848388672,110.426834106,117.696456909,111.922607422,129.502044678,4030,114.63
107.712104797,110.615737915,107.327194214,114.320259094,117.369392395,112.161697388,118.548072815,111.77394104,110.317245483,120.90120697,5795,109.38
110.481803894,114.146385193,97.0247039795,107.410385132,113.348373413,112.408988953,108.00063324,109.717880249,111.553184509,104.998748779,8300,103.62
78.8690261841,75.0140304565,72.7911605835,75.4546356201,77.4377746582,76.6241149902,77.2470321655,78.8018493652,75.4733734131,74.4682006836,8209,73.25
114.608139038,113.01902771,115.373222351,116.830856323,113.753974915,117.516296387,112.223861694,112.883537292,110.755775452,118.239234924,3580,122.01
90.5975494385,93.9358444214,97.4967880249,83.6288757324,96.5612945557,96.8293991089,88.8402938843,94.5122833252,91.7174224854,85.2844314575,1898,90.4
96.5391693115,108.430648804,97.4988708496,103.590667725,100.27281189,101.29725647,108.267242432,99.7312927246,100.33984375,106.126167297,5542,100.25
92.6870117188,88.0870056152,90.7459335327,92.9535827637,91.3834152222,90.0966567993,88.8288345337,90.8186950684,88.0364990234,88.4154129028,7237,93.2
98.3165817261,95.8456726074,96.3250808716,97.9133834839,101.430755615,86.7533111572,90.1617355347,89.3335876465,94.9193649292,95.1234207153,2104,89.94
92.6165084839,102.678672791,97.3060531616,97.0378723145,95.4256896973,92.6513977051,94.3405685425,88.45287323,100.524345398,92.9588088989,6664,102.65
102.418449402,107.38394165,100.497848511,102.31627655,105.676101685,101.686576843,100.36882019,102.686668396,103.146255493,101.37588501,5307,99.85
90.3673248291,93.7175064087,89.4237976074,95.7878646851,92.9577713013,89.7407684326,95.0933609009,96.7085723877,90.76537323,92.9687652588,4543,91.83
93.8073730469,95.853302002,88.4251251221,92.5695495605,99.7519226074,97.7415008545,88.8625411987,94.9896774292,98.4223556519,90.4610366821,4753,88.2
78.4680175781,79.0974807739,75.72215271,79.2185821533,78.0183258057,78.7342529297,78.1027374268,81.408996582,75.2864303589,73.5421295166,3560,78.95
77.5954208374,76.8335189819,79.0595626831,82.0650787354,72.0436630249,77.0710601807,79.0632095337,81.4309539795,77.0434799194,75.3511962891,4394,80.44
104.090156555,107.957450867,99.719581604,104.124084473,99.7891693115,97.0519790649,99.7676620483,110.83518219,101.747329712,104.215499878,2427,108.76
