lasso_0.01_0,lasso_0.01_1,lasso_0.01_2,lasso_0.01_3,lasso_0.01_4,lasso_0.01_5,lasso_0.01_6,lasso_0.01_7,lasso_0.01_8,lasso_0.01_9,lasso_0.05_0,lasso_0.05_1,lasso_0.05_2,lasso_0.05_3,lasso_0.05_4,lasso_0.05_5,lasso_0.05_6,lasso_0.05_7,lasso_0.05_8,lasso_0.05_9,lasso_0.1_0,lasso_0.1_1,lasso_0.1_2,lasso_0.1_3,lasso_0.1_4,lasso_0.1_5,lasso_0.1_6,lasso_0.1_7,lasso_0.1_8,lasso_0.1_9,lasso_0.3_0,lasso_0.3_1,lasso_0.3_2,lasso_0.3_3,lasso_0.3_4,lasso_0.3_5,lasso_0.3_6,lasso_0.3_7,lasso_0.3_8,lasso_0.3_9,lasso_0.5_0,lasso_0.5_1,lasso_0.5_2,lasso_0.5_3,lasso_0.5_4,lasso_0.5_5,lasso_0.5_6,lasso_0.5_7,lasso_0.5_8,lasso_0.5_9,ID,y
97.011939982,94.790843833,96.3140385022,97.5232703055,96.948208091,97.1622598571,97.7636525458,96.3075287939,95.7113662542,96.2438770002,94.8205589928,94.9865010443,95.0877609758,95.2877928612,95.2036691307,95.0263319352,94.564527789,95.4926583691,94.7493274359,94.8972147675,95.5686343284,95.2719669088,95.5533477811,95.5929182165,95.69430904,95.3471990768,96.0659550304,95.509065589,95.3250498085,95.5270993288,97.1557955551,97.1805675162,96.8144052849,97.0895391229,97.0820817536,97.0992809508,97.2354005676,97.0747162317,97.2423092148,97.365953919,97.3966102179,97.594792629,97.3074237624,97.5718126248,97.4480229074,97.2924584996,97.3556658178,97.4294325918,97.5511338405,97.2654669918,5249,93.02
96.3650811495,96.87095647,96.3082019302,96.6467391713,96.5504851801,95.9412104158,96.1046815058,96.3183952463,96.4866120292,96.0639598638,97.2492000201,96.874898585,96.8685566389,97.0536122599,97.3390553097,97.3527740218,97.2732348984,97.2220111,97.331469283,97.352416465,96.9931964027,97.7482773357,97.0968455623,97.6002878647,97.5199658692,96.9588582546,96.9947801054,96.7111340764,97.1453228395,97.061912028,97.610262294,97.5957893864,97.666275648,97.5359118147,97.5499671632,97.6415151896,97.6178263423,97.3549682475,97.485025124,97.6635203569,97.5755377341,97.433920134,97.1692545471,97.6188207779,97.3489696791,97.2608409278,97.4928946452,97.6694300049,97.4792999912,97.3842148201,5027,94.29
93.6787181133,93.4435996166,94.5631674241,93.6767255831,93.9250930147,93.7933690457,94.3365712174,94.2917490132,94.0429117232,94.0433656281,94.4781873463,95.0083419656,95.0802977012,95.0882762519,94.4994147669,94.8239799632,95.0202327294,94.9831021114,94.8566981253,94.6574918677,95.7481354808,95.3516127449,95.4711469354,95.4710412948,95.3914966588,95.7325580504,95.6563961185,95.5582555611,95.5804561764,95.7405153381,95.3863396079,95.5609758093,95.0494682481,95.2922117983,95.5121807342,95.4895810357,95.4129494479,95.5233765277,95.3069449173,95.1415055428,95.3591902989,95.4440158336,95.3578434612,95.3582685765,95.4179917748,95.5106187601,95.3809323074,95.3485746321,95.7223252193,95.6072705781,815,98.01
102.354750804,102.329954238,102.939308404,102.465790964,102.226387405,102.920868824,102.503348258,101.82899423,102.206840853,102.701427217,104.556576667,104.910094082,104.834847467,104.76568313,104.67151727,104.335064267,104.803367133,104.286243776,104.478056595,104.846699042,105.50280752,105.55795134,105.391980113,106.08553662,105.898103885,106.045085859,105.484095698,105.774417708,105.949872049,105.997344368,107.564334796,107.726017225,107.491939451,107.727348163,107.586542138,107.431591063,107.717660586,107.667966821,107.659045382,107.585335463,107.326353046,107.314084417,107.273878441,107.13553231,107.178569725,107.52797184,107.335671054,107.45697989,107.521514014,107.432683657,3775,106.79
93.8702094067,92.0772784547,93.6303077172,92.6965932292,93.5478421295,93.988013857,92.6285667975,92.5681832402,92.2990571029,93.3414784888,94.4634561777,94.1011777854,94.259578344,94.0867782351,93.9814489719,94.199821427,93.9892159047,94.1626055318,94.2238181181,94.2540716292,95.2401221789,94.9532845578,95.1581579466,95.1177306267,95.1665651766,94.8577120303,94.8537807445,95.0961804899,95.336924944,95.0208693709,96.1248412035,95.9804740936,95.9462317178,95.8984107779,96.282192326,95.7320875563,95.8059680967,95.9566157536,96.0647379777,95.97664325,96.3815931123,96.4861957069,96.3911346925,96.4879522758,96.5097147097,96.3424827169,96.3594050808,96.4036197352,96.4048746782,96.2907135382,4158,95.96
96.8042958224,95.3772867592,96.9172484685,96.8395546197,96.6216586254,96.565236925,96.6678151846,96.5446489946,96.6848275567,96.8380155661,96.4110493072,96.3658761966,96.1952751766,96.3614107139,96.3752057014,96.4089013058,96.4202277811,96.3479817597,96.3177051527,96.3443174197,96.2884964425,96.3374240809,96.7927834878,96.7817273711,96.6323102389,96.6051756761,96.5848899946,96.5168715811,96.4608410965,96.3264869437,96.2736327896,96.3260910883,96.0377991277,96.1227784334,96.2828994255,96.3541963365,96.2496966814,96.0258777713,96.345976994,96.0996276494,96.2812002395,96.0056914424,96.3845013122,96.2374289921,96.4861268172,96.2219906226,96.2704166721,96.237909156,96.1991321079,96.4415708542,796,102.49
111.759606881,112.724664626,112.535665715,113.538707362,112.408215477,110.607491471,111.430944498,112.358600769,111.106703461,111.950125002,112.311694308,112.496088602,112.403301034,112.887068376,112.484097809,112.289005907,112.544904426,112.778383696,112.328610372,113.249323923,112.425364526,112.015846948,112.303411429,112.419006576,112.376833398,112.077847906,112.144823554,112.178824844,112.152075157,112.37555903,112.092086522,112.271727052,112.233981649,112.210789135,112.008893072,112.213636674,112.159253058,112.158103929,112.066438215,111.951999141,111.927314971,111.928070476,111.922284207,112.116793438,111.925394677,111.874923223,111.871829834,111.88087522,111.96392214,111.876067699,4121,122.4
94.8455405904,94.2392285419,94.3147648848,94.2999473605,94.4760950706,95.3894824755,94.7351163441,94.5503965987,94.8237801744,94.9264518273,95.3064014914,94.931781528,95.293695617,94.6514353053,95.2711629995,94.7321132721,93.9094685142,95.0606444837,95.3100064354,94.712471683,95.9074646073,96.0628559095,95.9097863553,96.1455164356,95.8542236943,96.3647919166,95.9504800228,95.9422237465,96.0385392116,95.850170099,96.8153907122,96.4913109274,96.3338100625,96.0928811013,96.8400279987,96.3802059523,96.343718421,96.0638009996,96.5824755651,96.0549636194,96.7120792316,96.7273666772,96.7414201514,96.6964967865,96.508664968,96.5730609305,96.9200888683,96.8346456942,96.7971952739,96.2349930608,7575,90.24
94.6774803558,95.5308298127,94.6459283309,94.9481801127,95.7899914565,95.0849362129,95.2955018601,94.9222008146,95.257007528,94.9132254253,94.9379585733,95.3512468586,95.214465531,94.9976784593,94.7755368505,94.9267738928,95.3839932739,95.1224376079,94.9303514282,94.8176847106,96.1241905058,96.2365979311,96.1986785456,96.3604094516,96.2505291688,96.118270311,96.1332174847,96.232791295,96.2205706228,96.4136541839,97.4696649807,97.0349895758,97.5653654286,97.4906991524,97.3541429181,97.3749215934,97.4339347522,97.5940932813,97.5775406188,97.4173850641,97.3706333144,97.4021853836,97.4142418413,97.3752490985,97.1712832671,97.4184024337,97.4150324312,97.279481758,97.4884721855,97.3170146404,1937,92.55
116.178627606,115.855470541,116.066432636,116.052764105,116.158648163,115.714232549,116.248878908,115.887624558,115.85560774,116.034909308,114.749868893,114.407448186,114.854960519,114.374373941,114.579685306,115.087637776,114.424371976,114.532932523,114.573176375,115.008774684,114.764061138,114.934567718,114.237381479,114.517956616,115.045358654,114.514015914,114.803980431,114.648734778,114.431313658,113.869726487,114.391304602,114.603639586,114.297320868,114.634441502,114.35677353,114.533725798,114.41845612,114.559849404,114.631220272,114.41243288,114.003908566,113.700113383,114.094115255,114.426952426,113.941336669,114.057747193,113.98802915,113.856527424,113.694661832,113.93633161,7490,118.44
