ID,y,depth_PCA_3_0,depth_PCA_3_1,depth_PCA_3_2,depth_PCA_3_3,depth_PCA_3_4,depth_PCA_4_0,depth_PCA_4_1,depth_PCA_4_2,depth_PCA_4_3,depth_PCA_4_4,depth_PCA_5_0,depth_PCA_5_1,depth_PCA_5_2,depth_PCA_5_3,depth_PCA_5_4,depth_PCA_6_0
4066.0,119.89,111.439613342,110.610931396,111.298301697,110.883102417,111.694221497,110.909706116,111.358711243,111.210128784,110.325325012,111.065879822,111.490158081,111.429252625,112.344177246,111.488510132,111.404335022,0
7988.0,90.44,93.3984985352,92.5263977051,92.9874038696,93.4206314087,93.5679779053,92.2859039307,94.1916885376,92.8200836182,94.0677642822,93.9906005859,93.3124923706,93.096321106,94.3596343994,91.8503112793,93.9346847534,0
1079.0,90.54,93.1884765625,93.0937042236,93.1725692749,93.5141372681,93.0273590088,92.8954391479,92.5001449585,93.3442230225,93.0322418213,92.7928237915,92.8065414429,92.7662353516,92.6377334595,92.8846817017,92.4974594116,0
6112.0,98.57,92.2599411011,92.7364654541,92.167427063,92.4500579834,92.5015563965,92.165802002,92.8245544434,93.0647659302,92.3003387451,92.3705596924,92.6965866089,91.9681167603,92.3016586304,92.0574874878,92.3946151733,0
6268.0,94.62,97.3924484253,96.4903717041,97.1390762329,96.3480300903,97.2894058228,96.6586380005,95.8839874268,96.9293365479,96.3623199463,96.9786682129,96.6510772705,96.7940063477,97.5070419312,97.1058273315,95.5093917847,0
6167.0,107.75,93.4680404663,93.0250549316,93.2068786621,93.4244613647,93.1403198242,93.0680007935,92.4015731812,93.1008453369,92.8326950073,93.2666778564,92.7602615356,92.9797286987,92.7707901001,92.420173645,93.0747070312,0
1443.0,78.19,81.8472518921,80.9722442627,80.8712615967,81.3838653564,81.2275085449,80.6659469604,80.7266235352,80.7166213989,81.4349136353,79.8705978394,82.0431747437,79.8586425781,80.0870285034,79.3679733276,81.280090332,0
207.0,115.43,115.978973389,114.675231934,116.004798889,116.100036621,114.731895447,115.37702179,114.588973999,114.200813293,114.06665802,113.275634766,114.244766235,115.434692383,113.588645935,115.556396484,113.710250854,0
3882.0,92.43,93.0149002075,92.8679428101,93.1211395264,92.865234375,93.290473938,93.0809631348,92.2030792236,92.967628479,92.8965911865,92.3033294678,92.9177703857,92.5202636719,92.4314956665,92.5925140381,92.6236877441,0
4597.0,91.99,93.9783172607,93.8339080811,93.5973815918,93.7346801758,93.4375610352,94.2311325073,93.8336410522,93.9740600586,93.5505752563,93.4844894409,93.3086242676,93.4004592896,93.4674606323,93.1741256714,93.0735092163,0
1253.0,124.37,94.3583297729,94.0180358887,94.0539016724,94.4843063354,93.5344772339,94.0703659058,93.9709243774,94.8053207397,93.6366195679,94.2294692993,94.0676269531,93.8506469727,93.4770050049,93.9711074829,93.5019683838,0
4679.0,97.79,99.8029327393,100.90511322,99.7808990479,99.5224990845,100.996665955,100.750869751,99.839012146,99.6718139648,100.710525513,100.816757202,100.708511353,100.112365723,100.360137939,99.9686355591,99.7172164917,0
858.0,100.21,94.6446533203,94.5618362427,94.6616287231,94.9555282593,94.1615982056,95.3418502808,95.8430252075,94.6072540283,95.7181625366,95.4261322021,95.2831802368,95.160446167,94.644203186,94.1055831909,94.9399032593,0
6716.0,105.82,91.0477828979,91.7043609619,92.1818466187,91.4649581909,92.1741104126,91.0519104004,90.700958252,91.0233917236,91.8758926392,90.9211044312,90.8458709717,90.4930343628,90.6086654663,90.5219497681,90.4049224854,0
4123.0,90.57,91.4063568115,91.6050186157,91.6487121582,91.4645690918,91.8891220093,91.7871780396,90.5360641479,90.5942306519,91.5947113037,91.8818969727,91.8450546265,92.0240478516,92.4979400635,91.7506790161,92.3536911011,0
2676.0,113.82,94.4267959595,92.8546524048,93.8182067871,94.9998626709,94.216217041,93.575378418,92.6133956909,94.3637771606,94.634727478,94.3680496216,96.7182540894,94.5199966431,94.5755004883,94.048614502,93.5244827271,0
7581.0,86.47,90.8953094482,90.6754379272,91.0727996826,90.7049789429,90.4363479614,90.8460845947,90.3188323975,90.5962677002,90.0214233398,90.0264892578,90.4206542969,90.2023239136,90.0462417603,90.3715591431,89.4289474487,0
5175.0,99.49,96.7551574707,96.9609603882,97.5307540894,97.9001083374,96.0724945068,96.2787704468,96.1273422241,96.1797485352,95.9977111816,95.9368057251,95.7930450439,98.9716873169,98.2269592285,95.1622619629,94.8965454102,0
853.0,110.1,111.701683044,111.952461243,110.84197998,111.859611511,111.782615662,111.39743042,111.16469574,111.363700867,111.195281982,111.779792786,111.264976501,111.212997437,110.73563385,111.262908936,111.693641663,0
5332.0,91.48,95.0003128052,95.8292694092,94.7840270996,95.378364563,95.8918457031,96.1239089966,94.8957748413,95.5369949341,95.3646774292,95.7366027832,96.3969268799,95.2806777954,97.0677719116,96.6585922241,95.5679779053,0
1614.0,92.53,95.3508071899,96.0910949707,95.4215393066,95.3204879761,95.1491546631,95.2123260498,95.5643310547,94.7984466553,95.1194381714,95.3733215332,95.2450637817,95.1107788086,95.7735824585,94.4148178101,95.8412017822,0
6338.0,107.9,96.0103912354,96.2040634155,95.3418502808,95.737197876,96.6797485352,95.9105987549,96.159942627,97.9070663452,96.7806243896,96.4917068481,95.8617172241,96.6003036499,96.4818572998,96.5605621338,96.5592727661,0
4591.0,98.54,102.241676331,102.077461243,101.381271362,102.465400696,102.397850037,102.591880798,102.549667358,102.178367615,101.638298035,101.914482117,102.102874756,101.84375,101.785491943,102.495895386,102.429885864,0
303.0,111.55,112.214935303,111.880310059,111.232620239,112.070281982,111.398757935,112.037956238,111.438766479,110.971122742,111.439025879,111.865478516,111.262962341,112.380126953,111.125900269,112.15978241,111.481018066,0
8151.0,121.65,114.916519165,116.061019897,114.019569397,114.222053528,113.982437134,114.3956604,115.242034912,114.109039307,114.048500061,114.894493103,116.946868896,114.805831909,113.59941864,115.144424438,114.393257141,0
1211.0,105.76,112.840629578,112.279212952,111.865638733,112.723716736,112.767097473,112.296722412,112.559623718,111.855506897,112.072692871,111.898826599,111.973762512,112.00692749,112.496200562,112.398345947,111.675003052,0
8159.0,88.71,93.5378646851,94.9074478149,93.4265136719,94.0104522705,93.3234405518,93.218208313,92.8591308594,93.2972793579,93.5893936157,92.4635009766,93.4515533447,93.8665771484,92.5709686279,93.6449737549,91.8477249146,0
308.0,88.1,93.2101669312,93.5522689819,93.6071548462,93.8232650757,93.7341384888,93.2427520752,93.4283370972,93.5879669189,93.1097259521,94.4643096924,93.7740631104,93.5882339478,93.296295166,93.7198410034,93.3626937866,0
4541.0,92.26,94.5052185059,93.5822525024,93.9860305786,93.983291626,93.8447418213,94.2278060913,93.1063995361,93.768119812,94.2671279907,93.5791778564,93.8680114746,94.359413147,93.7239532471,93.6395263672,93.2911834717,0
3250.0,89.62,90.3704376221,88.9107208252,88.4526290894,89.2896575928,89.4342346191,91.1286621094,90.6612167358,87.6034011841,89.6651153564,89.2552642822,89.3991470337,89.003364563,90.1778106689,90.0361480713,89.3935165405,0
2424.0,93.29,94.0966110229,94.3224334717,93.5411224365,95.0976257324,95.7476959229,94.680809021,94.7763442993,94.9133834839,94.0479812622,95.0555496216,94.9838256836,94.9410400391,93.8790206909,94.4485397339,95.0782165527,0
5661.0,106.02,102.330200195,100.379043579,100.686424255,101.724067688,102.876197815,101.011932373,101.875564575,103.485450745,102.674728394,102.871101379,102.530059814,102.044075012,101.739006042,100.026283264,101.614212036,0
177.0,98.84,103.302680969,103.681335449,102.368263245,103.690681458,104.064208984,103.235076904,102.642326355,103.158309937,103.643722534,103.595741272,103.989204407,103.514907837,103.214057922,104.007652283,103.471382141,0
2104.0,89.94,95.7637710571,95.4285430908,95.9792251587,94.7015838623,95.0948104858,96.9704818726,95.9255981445,98.6338424683,96.5653076172,94.7580871582,95.71875,96.096321106,95.0703277588,96.6336135864,96.5967559814,0
4681.0,81.18,77.9997177124,78.2322998047,77.7997589111,78.0370330811,77.4117965698,77.6801376343,78.0517272949,77.7069244385,78.3225479126,77.9924621582,77.7000732422,77.3896560669,77.6807327271,77.9747619629,77.8197631836,0
4017.0,89.63,93.0430221558,92.7748184204,92.8183517456,92.9532699585,92.9191894531,93.9718704224,93.7237243652,93.1887435913,92.1909408569,93.4424209595,93.7160415649,93.4651489258,93.67993927,94.3174438477,93.6130065918,0
5785.0,138.19,112.149726868,112.809371948,113.644119263,113.434814453,112.591941833,112.864303589,112.687438965,113.542610168,112.511703491,113.294700623,112.765380859,113.979072571,113.205108643,113.827484131,113.390953064,0
3164.0,103.47,103.174301147,104.236289978,106.364616394,104.181625366,104.478630066,104.055526733,104.911201477,103.731582642,103.401100159,102.716842651,103.420974731,102.687805176,103.388626099,105.341804504,102.665870667,0
3998.0,100.11,102.776519775,103.511901855,102.562088013,102.419387817,103.077278137,102.389938354,102.207939148,102.403907776,102.472244263,102.058868408,101.941650391,102.606262207,101.607620239,102.971855164,101.772872925,0
5979.0,139.16,111.249008179,111.279777527,110.8307724,111.042953491,111.018699646,110.673980713,110.420852661,110.006988525,110.446182251,110.478942871,110.249176025,110.284355164,110.23135376,110.156585693,109.841300964,0
2723.0,91.62,93.7672195435,94.1405029297,94.6320648193,94.4015350342,94.2298278809,93.9278717041,93.9420700073,94.2043533325,94.3437576294,94.3971252441,93.4458084106,94.0960235596,93.5221176147,93.5331802368,93.4465637207,0
7470.0,87.49,92.9821243286,93.5231933594,92.800743103,93.3939056396,93.7067489624,93.6683273315,92.8700637817,94.108543396,93.6634140015,93.0054931641,94.043182373,93.4837799072,92.6042098999,92.8330917358,93.2746810913,0
8385.0,91.13,92.0485305786,92.1235733032,92.3625030518,92.4367446899,92.2657928467,92.3750991821,92.565536499,92.3743972778,92.5037231445,91.3392181396,91.6133651733,92.0677642822,91.8541183472,92.3992843628,92.081413269,0
7899.0,84.9,90.5968704224,91.053604126,91.2775268555,91.4754257202,91.2193527222,91.208694458,90.8719100952,91.1886062622,90.8233032227,91.1120223999,91.3022079468,91.0208740234,91.1516494751,90.9139480591,91.5706100464,0
3023.0,94.6,103.799072266,101.106765747,102.202972412,104.544906616,99.7161178589,101.935531616,101.267196655,102.176170349,100.18724823,96.9766311646,103.16254425,103.584831238,95.2813644409,101.934066772,102.238456726,0
2154.0,96.08,96.1237716675,96.8221206665,95.7472839355,95.7450485229,95.7759170532,96.6587753296,95.1081924438,95.5427398682,95.0564117432,95.9403305054,95.8800964355,95.3591308594,95.4438323975,94.9751739502,94.9710540771,0
8291.0,99.91,90.6692581177,90.5790328979,90.7739868164,90.4455337524,90.3410110474,89.4098892212,90.9489822388,90.3103027344,90.1662445068,90.1288452148,89.4214019775,89.8953552246,89.8656921387,90.3768157959,90.2572631836,0
176.0,110.37,112.632217407,112.22996521,112.110374451,112.896224976,112.410835266,112.08354187,113.164199829,112.374931335,111.448486328,112.392341614,112.755859375,112.883415222,111.240783691,111.241104126,112.442947388,0
6435.0,110.32,112.383018494,111.106506348,111.728797913,110.947891235,111.577590942,110.79573822,111.219940186,111.054916382,110.464141846,111.412887573,110.708282471,110.920173645,110.806838989,110.972923279,111.165016174,0
1139.0,104.52,104.572875977,101.822288513,103.912376404,103.357521057,103.305885315,105.330551147,104.781669617,101.134735107,103.363090515,102.160919189,104.088127136,105.970100403,101.882659912,105.372398376,102.710083008,0
1397.0,94.6,93.8612060547,92.8176879883,92.3937301636,93.0699539185,93.2655639648,92.6649475098,92.9084243774,92.9257888794,92.6391448975,93.2349243164,93.670425415,93.3031921387,93.3185882568,94.0079040527,93.0891723633,0
7987.0,74.08,77.0907745361,77.2684860229,77.1796722412,77.0096511841,77.1514892578,77.1287155151,76.525062561,76.9488983154,76.9858551025,76.7388305664,76.6188278198,76.7048110962,76.8647766113,76.8084564209,76.8161849976,0
1682.0,88.26,94.404914856,94.0248947144,95.2451553345,94.4932327271,94.4248123169,94.4116668701,93.8219680786,94.259262085,94.7941055298,95.039100647,94.4727783203,95.0779037476,94.5746841431,94.2912750244,93.7466125488,0
1736.0,116.02,95.1571350098,96.1765441895,95.6588897705,95.6042175293,95.7355499268,95.7660522461,96.0130462646,95.4297714233,95.4136199951,95.7131881714,95.2651901245,96.3121109009,94.9930648804,95.893081665,95.3502655029,0
5664.0,112.8,111.694328308,112.395080566,111.921928406,112.042610168,111.360679626,111.940132141,111.501800537,112.53225708,110.811752319,111.791732788,110.887809753,112.539932251,111.381973267,111.766151428,112.080436707,0
3826.0,106.59,99.8607254028,99.8594894409,101.212409973,100.390914917,101.995674133,103.553962708,100.177688599,101.37701416,101.218681335,101.266670227,100.09059906,101.476745605,100.638183594,104.592224121,103.450469971,0
4949.0,94.32,97.7382049561,98.7822952271,96.4504852295,95.2854537964,96.6344451904,97.1125411987,95.9160385132,94.8917007446,96.5900802612,94.7802810669,96.5397033691,96.6238479614,95.0652084351,95.1913528442,96.6447219849,0
8295.0,111.15,110.034477234,109.629325867,109.10043335,109.444587708,109.599067688,109.681716919,110.027023315,109.872779846,109.598388672,109.765068054,109.825065613,109.310180664,110.475883484,109.534332275,109.011817932,0
870.0,106.16,111.922195435,111.815620422,112.182777405,112.236709595,112.478286743,111.806503296,112.054840088,111.510040283,113.10308075,113.316093445,112.789360046,112.011039734,112.961601257,113.254516602,112.107589722,0
2678.0,96.82,92.9617767334,92.8283157349,92.7817611694,92.8643112183,93.0613021851,92.7774658203,92.428855896,92.4394302368,93.1941680908,92.2047042847,92.917678833,93.3523254395,92.9470596313,93.0622787476,92.7360687256,0
1084.0,111.41,106.944488525,108.224983215,108.539505005,108.293533325,109.390480042,108.782722473,108.227455139,108.155021667,108.147087097,109.099182129,108.643531799,109.160896301,109.491874695,108.768920898,109.066307068,0
335.0,105.77,103.522911072,103.180641174,103.215629578,103.010353088,103.079589844,103.384933472,102.827354431,103.172332764,102.222663879,102.825492859,102.968612671,102.261421204,102.543800354,103.362449646,102.228607178,0
1046.0,93.74,94.9074935913,94.3529815674,93.5138244629,93.8223648071,93.6604690552,93.8106002808,94.5811309814,93.8297958374,94.65259552,93.8368225098,94.8449325562,93.8322143555,92.703704834,93.4989318848,94.7158966064,0
4897.0,113.67,95.8681182861,96.1660385132,96.5285186768,95.8809204102,96.6712722778,95.9367599487,95.8698577881,95.9199752808,96.417930603,96.1731948853,95.2301712036,96.0813369751,95.7706604004,97.7571792603,96.7458343506,0
6983.0,98.74,104.056465149,98.6841812134,98.2112731934,98.9300308228,100.057579041,98.736618042,103.02003479,99.4529571533,99.0361328125,102.828674316,98.6475753784,98.0614852905,97.2328720093,103.57598877,102.714202881,0
4093.0,108.49,111.143226624,111.158226013,110.825386047,110.557937622,110.840072632,110.152702332,111.075363159,110.456291199,111.188446045,110.643692017,110.557037354,111.359565735,110.316490173,109.54561615,109.95753479,0
6842.0,112.83,111.259780884,110.561889648,111.665092468,111.218666077,110.895477295,110.861320496,110.502548218,109.974258423,110.292030334,111.63117981,114.206855774,111.072128296,110.678726196,110.776565552,111.188339233,0
6511.0,91.08,93.1957702637,93.3869628906,93.2419052124,93.0861587524,92.7156829834,93.1920318604,92.3117370605,92.7173233032,92.9792480469,92.6372451782,92.5494308472,93.0044326782,92.6860733032,91.8911361694,92.5972824097,0
5029.0,87.16,93.532913208,95.1315917969,93.8012542725,94.4313430786,93.6165313721,94.4897613525,94.0356521606,94.6178512573,92.5591812134,94.1312561035,93.8200836182,94.2803878784,92.4256362915,94.3113250732,94.0976867676,0
1909.0,88.34,93.2954101562,92.8717498779,93.1284637451,93.359046936,92.8932723999,92.998664856,93.144317627,93.3106231689,92.8904800415,92.6935424805,92.6630477905,92.4532318115,92.4807434082,92.4962234497,92.4127655029,0
7531.0,91.77,92.0126800537,92.1871185303,91.992149353,91.8072280884,91.9129180908,91.6229324341,91.6560134888,91.4832763672,91.6422424316,91.691986084,91.9480743408,91.0866088867,91.1102371216,91.8864974976,91.036277771,0
7651.0,99.06,93.7823791504,92.8650131226,92.9905929565,92.9053649902,92.8073348999,93.3753814697,93.524887085,93.1636428833,93.2296829224,92.455078125,93.4922943115,92.1558685303,92.4465713501,93.0304641724,92.6004562378,0
1715.0,98.93,105.01260376,103.897911072,103.076049805,104.720832825,104.557373047,104.055473328,102.757705688,103.02469635,104.533889771,104.658531189,104.168418884,105.02117157,104.695915222,104.90335083,104.888244629,0
4552.0,104.0,102.989822388,103.555496216,106.074195862,103.693107605,103.462554932,103.285545349,105.77407074,104.268852234,105.903167725,105.3644104,103.11832428,102.902984619,103.335594177,104.225204468,103.759979248,0
5917.0,75.1,79.0565872192,79.0266647339,78.8679885864,81.3759536743,78.9575805664,78.5008621216,78.3424224854,79.959197998,78.1550750732,78.7710571289,78.9823226929,78.6051025391,79.1730422974,79.4908447266,78.3677902222,0
461.0,97.42,95.2974472046,95.835395813,95.579460144,94.6793212891,95.257194519,95.1432952881,96.0172195435,95.6192169189,95.5230560303,95.7509841919,97.0927200317,95.6413269043,96.3188171387,96.6925201416,96.3480300903,0
4637.0,91.93,93.6651153564,93.6569824219,93.1853713989,93.2277679443,93.9590988159,94.2408370972,93.5048217773,93.7102355957,93.943107605,92.7875595093,93.8247375488,93.3832244873,94.028968811,94.0846786499,92.4844055176,0
169.0,93.03,94.8183364868,94.9046478271,94.6808547974,94.9010238647,94.5972366333,94.0055236816,94.6795043945,96.7018814087,94.4633636475,93.4118118286,93.9591903687,94.4056777954,94.4477310181,95.3226242065,94.4140090942,0
3289.0,112.99,94.9490509033,94.6719207764,94.5418167114,95.35131073,94.7751693726,94.5753631592,95.0047073364,95.011505127,94.6392440796,95.4919052124,95.5246963501,95.9653549194,95.040184021,95.4840316772,95.4052505493,0
2227.0,121.03,116.587738037,116.994056702,117.247322083,116.259979248,116.533599854,116.77407074,116.226165771,116.157348633,116.09677124,116.44506073,116.733093262,116.407478333,116.627159119,116.32219696,116.00353241,0
2433.0,107.35,111.748886108,111.494888306,113.908821106,113.963745117,112.67755127,111.728210449,115.475212097,117.152313232,114.861351013,113.758514404,111.875671387,111.708389282,114.455734253,112.092308044,114.170921326,0
5713.0,120.8,103.411804199,104.564552307,107.249511719,103.563545227,104.218200684,104.447547913,103.887260437,104.728172302,103.263381958,103.553024292,104.80405426,104.502944946,105.855712891,104.32723999,104.389389038,0
7332.0,115.0,91.5373001099,92.3168411255,91.9396133423,91.3652267456,91.7075576782,91.5727462769,91.0916442871,91.2384033203,91.364616394,91.4131622314,90.667098999,90.9364089966,91.7242584229,91.2103424072,90.7305831909,0
1528.0,111.48,113.669372559,114.201194763,114.835884094,115.483856201,113.902519226,116.780975342,115.030883789,114.361572266,114.740921021,114.468994141,113.758842468,115.215988159,116.335395813,113.892799377,113.226547241,0
2144.0,95.77,94.8462371826,96.0432739258,95.2683258057,94.7749481201,94.2629470825,94.0272674561,92.7041015625,95.2898101807,93.1415252686,92.6332702637,93.5999679565,93.3856735229,93.5335388184,94.1155929565,93.9672088623,0
4929.0,112.28,113.580406189,114.4192276,113.157348633,114.016357422,115.3540802,115.550170898,114.584823608,114.755203247,113.433029175,114.815956116,116.398651123,114.095550537,118.093841553,113.3229599,113.0832901,0
5575.0,112.69,102.811172485,103.00328064,101.856575012,102.668663025,103.079292297,102.755249023,102.344543457,101.956916809,102.908241272,101.529403687,102.055168152,102.224609375,101.892860413,102.694366455,102.443855286,0
3491.0,119.5,93.4372940063,93.2841567993,92.9116973877,93.0741271973,93.1980743408,93.4139938354,93.4582366943,93.5219421387,93.275390625,92.618560791,93.0608596802,93.0540237427,93.1647949219,93.0169372559,92.7722930908,0
2569.0,98.39,102.673362732,102.819999695,101.766319275,102.945198059,103.128501892,102.027679443,101.201835632,102.364112854,102.108322144,101.830345154,102.567123413,101.538650513,102.9480896,102.681533813,102.379394531,0
842.0,98.45,102.018630981,102.497650146,101.461936951,102.388084412,103.20022583,103.040420532,102.026657104,102.90411377,102.481132507,102.156394958,102.215202332,103.934425354,102.425437927,103.82006073,101.495857239,0
6532.0,88.1,93.9960708618,93.7439727783,93.0922393799,92.6384811401,93.936340332,93.9485702515,93.2394180298,93.6009521484,93.3934173584,93.0044326782,92.9809265137,93.4174728394,93.1807022095,92.9043045044,92.4159851074,0
6359.0,92.08,93.8365478516,93.7194824219,94.2141952515,93.9003753662,93.9073638916,94.7434082031,93.9146652222,94.1399612427,93.7457199097,94.6037750244,93.2691650391,93.5952377319,93.7964706421,93.2779693604,94.1993713379,0
320.0,87.65,93.5624465942,93.2182540894,93.2167892456,93.871635437,95.1405792236,93.1325531006,92.7796783447,93.1449432373,93.0439071655,93.0199966431,92.657081604,92.8521347046,92.4222869873,92.185798645,93.4071350098,0
4584.0,92.56,93.5940322876,93.0432434082,93.4368515015,93.7845306396,93.6047058105,93.9790344238,94.5375289917,93.5123977661,93.5347900391,94.2347259521,94.5509643555,94.8905258179,93.1380996704,94.1484451294,92.9568557739,0
6563.0,106.41,112.126144409,112.54234314,112.660896301,113.452934265,114.547073364,113.866676331,113.045654297,112.08808136,111.982254028,112.334480286,111.660888672,114.074653625,111.46219635,113.539253235,114.437393188,0
2906.0,108.35,110.571594238,110.194046021,111.173812866,111.641456604,110.633773804,111.886070251,110.948104858,111.526046753,111.255584717,111.099937439,110.689231873,111.1978302,110.688171387,110.672027588,111.743659973,0
1891.0,90.71,93.0034561157,93.277305603,93.3044433594,94.0381164551,93.3915939331,92.8528366089,93.4379653931,93.6041641235,92.9393081665,93.1941680908,93.0351715088,92.597984314,93.7657928467,92.4281463623,92.7477874756,0
7920.0,73.76,76.7912139893,76.978553772,77.1471786499,76.7788696289,76.3796081543,76.7780685425,77.010383606,76.7356491089,76.9501495361,77.0458679199,76.7947616577,76.6462020874,76.7179031372,77.0161514282,77.1593933105,0
