ID,y,xMSE23_0,xMSE23_1,xMSE23_2,xMSE23_3,xMSE23_4,xMSE23_5,xMSE23_6,xMSE23_7,xMSE23_8,xMSE23_9,xMSE24_0,xMSE24_1,xMSE24_2,xMSE24_3,xMSE24_4,xMSE24_5,xMSE24_6,xMSE24_7,xMSE24_8,xMSE24_9,xMSE25_0,xMSE25_1,xMSE25_2,xMSE25_3,xMSE25_4,xMSE25_5,xMSE25_6,xMSE25_7,xMSE25_8,xMSE25_9,xMSE26_0,xMSE26_1,xMSE26_2,xMSE26_3,xMSE26_4,xMSE26_5,xMSE26_6,xMSE26_7,xMSE26_8,xMSE26_9
8224.0,85.14,91.876335144,91.9907913208,91.616394043,92.0809555054,91.5932235718,91.7052459717,91.9153213501,92.0506668091,91.8439331055,91.8295288086,91.548789978,91.6051559448,91.32081604,90.8622512817,91.4257202148,91.6759719849,91.0895080566,91.3070602417,91.3672485352,91.1666412354,90.9427719116,91.2263412476,90.7736053467,90.8563537598,91.1183166504,91.2224197388,91.1195602417,90.950630188,90.8109817505,90.8449859619,90.0057601929,90.788444519,90.5230407715,90.8979263306,90.7659378052,90.7584915161,90.8226165771,90.3329315186,90.4714736938,90.79662323
6492.0,106.2,110.666122437,111.372337341,110.988174438,111.314537048,111.173118591,110.938552856,111.304100037,110.920852661,111.007759094,111.465431213,111.076637268,110.001747131,110.678352356,111.565917969,111.009109497,110.874343872,110.341590881,111.080497742,110.478134155,111.012458801,111.363220215,110.464866638,110.345024109,110.198867798,110.701255798,111.134552002,110.855148315,110.667030334,110.566635132,110.491386414,110.873825073,110.204994202,110.600914001,110.009910583,110.908081055,110.914604187,109.465118408,111.078170776,110.451538086,109.959709167
38.0,93.64,94.584564209,94.8585739136,94.6197891235,94.1260986328,95.2350769043,94.8993911743,95.4332427979,94.1829833984,95.2348327637,94.7068099976,94.5530776978,95.3773498535,94.193901062,95.2418518066,94.6115188599,94.9537353516,94.1799240112,94.7244567871,94.5473480225,94.2658081055,95.0037231445,94.8127059937,94.3226776123,94.3710479736,94.9795761108,93.6656112671,95.734664917,94.6767272949,94.5643234253,93.2806091309,94.5224380493,94.0931091309,93.5125198364,94.7105636597,94.5824584961,93.5637969971,94.5482635498,93.9333343506,94.3738937378,93.1448822021
3332.0,89.41,92.8819503784,92.3540802002,92.607421875,92.7081604004,92.579826355,92.8838729858,92.3792877197,92.1288757324,92.3959884644,92.5326843262,92.5271453857,92.7140045166,91.8667526245,92.3060150146,92.3746871948,92.5571365356,92.3216323853,92.2046813965,92.45262146,91.5535202026,91.6445617676,92.1168823242,91.9003448486,92.0204467773,91.7070083618,92.1885681152,92.1699295044,92.2380599976,92.190864563,91.2282028198,90.7155075073,91.5786514282,91.7193145752,91.2202758789,90.8078308105,91.9631500244,91.021484375,91.8328552246,91.2822189331,91.6035003662
8206.0,106.05,111.343894958,111.162246704,110.767539978,110.941925049,111.448234558,110.962005615,111.835121155,110.605697632,111.178909302,111.254516602,110.467903137,110.242225647,111.081466675,110.030822754,110.316429138,109.902908325,110.777641296,110.736717224,109.984512329,109.798141479,110.022239685,109.853240967,110.117477417,110.925125122,109.793945312,110.334289551,110.097755432,111.165664673,110.050521851,108.913780212,109.925247192,110.228088379,110.016067505,110.108444214,109.681762695,112.202018738,110.113739014,109.897613525,109.601005554,110.272460938
7140.0,94.47,93.7658996582,93.8999176025,93.9362258911,93.5496826172,93.9729537964,93.6493225098,93.6184158325,93.7236022949,93.7203445435,94.0166168213,93.6887512207,93.4179763794,94.3179016113,93.5054168701,93.9483337402,93.4466781616,93.8405990601,93.5408477783,93.6084289551,93.7282714844,93.8514785767,93.3919677734,93.9777069092,93.1936721802,93.4340667725,93.7262496948,93.2648010254,93.3772125244,93.874786377,93.1698379517,94.1675338745,92.8605575562,93.8525924683,93.8335723877,93.3358535767,93.8469085693,93.8336868286,94.149848938,94.1417388916,93.5814208984
80.0,91.56,94.1432723999,93.77784729,94.0895462036,94.0400695801,93.7470169067,93.6781005859,93.6996536255,94.2265396118,93.7819595337,93.9720687866,93.9148025513,93.9016494751,93.5487670898,93.439994812,93.7170639038,93.333656311,93.4738006592,93.6933746338,93.721321106,93.1972427368,93.4193115234,93.1332092285,93.2785568237,93.1885681152,93.3277740479,93.2401504517,93.0311737061,93.8387908936,93.3212432861,93.5456237793,93.2515335083,92.8366699219,93.1121292114,93.3141174316,93.7219467163,92.5598297119,93.3730316162,93.1243667603,93.4510498047,92.7502212524
2793.0,99.93,103.240951538,103.264648438,103.433555603,103.193634033,103.124092102,103.44618988,103.283241272,103.450584412,103.06539917,103.186164856,102.830741882,102.929374695,102.959014893,103.321502686,103.36151123,102.970817566,103.249732971,103.440856934,103.488456726,103.007743835,102.867103577,102.576873779,102.778419495,102.525764465,102.777175903,102.906845093,102.457252502,102.173454285,103.026748657,102.781028748,103.182197571,102.402854919,103.672943115,102.680953979,103.512168884,102.936187744,102.155075073,103.034767151,102.618415833,102.77986145
5433.0,73.71,79.0737609863,78.8477554321,78.7623443604,79.1277313232,78.7472381592,78.9415435791,79.1075744629,78.8437271118,79.0705566406,79.35912323,78.4364242554,78.2757644653,78.4277114868,78.460395813,78.9791488647,78.4496002197,78.5498580933,78.6229324341,79.0416259766,78.5650863647,78.2422637939,78.3842773438,78.8859558105,78.2185745239,78.7150726318,77.9855957031,78.4354248047,78.3475494385,78.1357955933,78.3983306885,78.7630386353,78.6850128174,78.4888916016,78.2439346313,78.2096481323,77.9926223755,78.2942504883,78.1067733765,78.5358810425,78.5498046875
8397.0,108.59,92.41771698,92.6348190308,92.6325454712,92.5596847534,92.8956985474,93.3218460083,92.4864349365,91.8816986084,92.5285568237,92.5222930908,92.3485946655,92.3354568481,92.104675293,92.4447402954,91.8952331543,92.0079956055,92.0690231323,92.2901306152,92.3840713501,91.9603729248,91.7850570679,91.5523757935,91.7604141235,92.1038284302,92.3026733398,91.7677993774,91.7638778687,91.943649292,91.5127716064,91.4264144897,91.2431182861,91.893447876,91.5833435059,91.5823440552,92.1150283813,91.3635177612,91.3171157837,91.3469390869,92.1642150879,91.4716949463
