ID,y,x_mse_expY3_0,x_mse_expY3_1,x_mse_expY3_2,x_mse_expY3_3,x_mse_expY3_4,x_mse_expY4_0,x_mse_expY4_1,x_mse_expY4_2,x_mse_expY4_3,x_mse_expY4_4,x_mse_expY5_0,x_mse_expY5_1,x_mse_expY5_2,x_mse_expY5_3,x_mse_expY5_4,x_mse_expY6_0,x_mse_expY6_1,x_mse_expY6_2,x_mse_expY6_3,x_mse_expY6_4
6366,21685.9354973,103.271080017,103.567199707,103.380462646,103.280662537,103.499481201,102.069351196,102.069770813,102.794494629,102.593132019,102.803390503,101.441558838,101.977149963,101.439224243,101.187454224,101.687385559,101.380767822,101.411888123,101.344833374,101.273521423,101.440338135
6645,41051.9880212,110.612449646,111.310546875,110.332199097,110.984107971,110.890045166,110.832542419,110.824882507,111.069862366,111.238342285,111.437034607,111.500404358,110.478546143,111.130859375,110.516456604,111.384712219,110.988395691,111.165740967,110.864204407,110.646453857,111.382881165
3900,42478.2584395,111.054908752,110.574363708,111.079483032,110.734161377,110.635894775,110.633598328,110.902252197,111.099456787,110.967834473,110.414421082,111.015419006,110.605331421,110.833091736,110.120101929,110.757095337,110.834342957,110.407936096,110.420318604,110.642967224,110.8334198
4797,6341.73112687,93.0443267822,93.422492981,93.3595504761,93.3784561157,93.2024993896,93.2283401489,93.4281997681,93.0912857056,93.2504577637,93.4806900024,92.790145874,93.394569397,93.311088562,93.36693573,93.2791976929,93.0022277832,93.3967819214,92.8566207886,93.1005554199,94.0122070312
8105,11146.9517779,94.1621398926,93.8427505493,93.9157943726,94.0265045166,93.9425048828,93.9349746704,93.2813491821,93.7157058716,93.6743164062,93.484588623,93.3091812134,93.2344207764,93.4234771729,93.2228469849,93.0889816284,93.0692672729,93.1489334106,92.7317886353,92.8433380127,92.9508743286
5026,45748.2449137,104.774765015,104.957366943,104.846557617,104.990707397,105.112068176,104.619026184,104.562187195,104.513626099,104.182693481,104.819061279,104.883338928,104.32724762,104.935752869,104.910362244,105.16255188,105.324516296,105.240119934,104.176574707,104.845184326,105.083984375
7265,11923.3242636,103.38608551,103.417999268,103.299995422,103.37336731,103.426101685,102.956192017,102.684921265,102.020996094,102.342956543,102.258529663,102.095466614,101.940490723,102.152542114,102.423667908,102.265419006,101.650245667,101.71723175,101.789527893,101.674911499,102.065132141
278,12753.7702081,93.2727661133,93.318397522,93.3313980103,92.981300354,93.1984024048,93.023109436,93.1521148682,92.9663162231,93.3456726074,93.4625473022,93.154258728,93.173324585,92.7193603516,93.3495330811,93.2792205811,94.0303421021,93.5597076416,94.1154937744,93.9802474976,94.0439834595
2172,94091.9085266,110.20464325,111.148551941,110.957557678,110.793998718,110.992408752,111.316749573,111.113327026,111.2056427,111.616210938,111.271377563,111.15019989,111.39654541,111.055557251,111.603797913,111.315635681,110.856773376,111.842956543,111.354110718,111.773643494,112.726013184
4362,6542.88032152,93.6778640747,93.9470062256,94.4566955566,94.0200119019,94.3162078857,94.0539321899,93.4760437012,93.693862915,93.7656326294,93.798614502,93.418182373,93.4536514282,93.2916412354,93.4343948364,93.4017944336,93.1626739502,93.4290924072,93.2422180176,93.2759552002,93.4682006836
6896,6323.19342766,93.9077835083,94.1030426025,93.6320724487,94.0105285645,93.5709228516,93.2920684814,93.3160400391,93.4188156128,93.1697998047,93.3074264526,93.0006637573,92.9995498657,93.1758270264,93.0368423462,93.3169784546,93.0785675049,92.9092407227,92.7399291992,92.8930587769,92.7591934204
7706,4983.47963327,94.1816177368,93.9753646851,93.792388916,93.7190551758,94.0116729736,93.4459457397,93.2733917236,93.4598464966,93.0837631226,93.0797653198,93.1663589478,92.99949646,93.3707809448,92.7113037109,92.7066497803,92.738494873,92.9424438477,92.6906433105,92.7248535156,92.6178131104
3114,133044.308648,110.930374146,111.094306946,110.767707825,110.734344482,110.945167542,111.039764404,111.106269836,110.872299194,110.755340576,111.259338379,111.115577698,111.142166138,111.287506104,111.197067261,111.889587402,111.209884644,111.000907898,111.725234985,111.455184937,111.649742126
4482,7406.10382654,93.1416091919,93.0733947754,93.275970459,93.1368026733,93.2381134033,93.0907516479,92.9566726685,93.2563323975,93.3286590576,93.1419067383,92.9843521118,92.9415817261,93.1669006348,93.2299728394,93.1544494629,93.4352111816,93.2391281128,92.9679336548,92.797492981,93.0018157959
1898,6776.80941106,93.9035568237,94.3101654053,94.0492782593,94.1994094849,94.0365066528,93.7153701782,93.4883346558,93.8100891113,93.6820526123,93.9781723022,93.9493713379,93.6471862793,93.540435791,93.3939971924,93.5270767212,93.6195907593,93.7115631104,93.4249572754,93.92212677,93.5719146729
5625,5478.22578717,93.6334381104,93.6744842529,93.611618042,93.418586731,93.6879806519,93.0812988281,93.541015625,93.6543731689,93.4711608887,93.2747879028,93.361000061,93.5876083374,93.3164672852,93.3614273071,93.5763168335,93.5265197754,93.6240921021,93.5962295532,93.3286437988,93.1236877441
2658,4376.92547645,92.9854507446,93.2680664062,93.3730773926,93.1851425171,93.362953186,93.4058914185,93.3463134766,93.2963409424,92.92162323,92.968963623,92.8637161255,93.2313995361,93.169921875,93.3284683228,93.2953414917,92.5266418457,93.1785736084,93.3407669067,93.316696167,92.7304382324
8032,1975.98469911,102.670890808,108.088928223,87.3294067383,91.68699646,100.384490967,104.451118469,100.525123596,102.236320496,105.048843384,99.5734405518,98.2083435059,101.0078125,98.43724823,98.2038726807,108.376205444,90.4697113037,80.7376251221,81.5824584961,99.1808776855,98.6059265137
708,17841.0728018,103.895149231,105.078765869,104.713195801,105.017852783,105.417495728,105.279075623,104.765792847,104.934570312,105.237518311,105.162696838,106.916511536,105.362670898,106.362556458,105.425819397,106.245887756,103.853042603,106.617553711,103.544822693,106.772575378,105.954742432
