ID,y,x_mse_sqrY3_0,x_mse_sqrY3_1,x_mse_sqrY3_2,x_mse_sqrY3_3,x_mse_sqrY3_4,x_mse_sqrY4_0,x_mse_sqrY4_1,x_mse_sqrY4_2,x_mse_sqrY4_3,x_mse_sqrY4_4,x_mse_sqrY5_0,x_mse_sqrY5_1,x_mse_sqrY5_2,x_mse_sqrY5_3,x_mse_sqrY5_4,x_mse_sqrY6_0,x_mse_sqrY6_1,x_mse_sqrY6_2,x_mse_sqrY6_3,x_mse_sqrY6_4
90,773026562.585,78.9125061035,78.3981781006,78.5884399414,78.6045761108,78.3330764771,78.3815155029,78.3533477783,78.4102935791,78.2116775513,78.0422286987,78.2602005005,78.2850723267,78.0400695801,78.0442352295,78.1591567993,78.1361618042,77.8386993408,77.8116912842,78.2374572754,78.0511932373
2070,2481300398.23,93.8470993042,94.1019515991,94.0626754761,93.7749786377,94.1399230957,93.8449020386,94.0249176025,93.950378418,94.2414321899,93.6295623779,93.5658874512,93.9839935303,93.3277053833,93.6523208618,93.3539581299,93.2469406128,93.4943161011,93.3631591797,93.5455551147,93.4707107544
5840,18345419987.9,103.81401062,103.695930481,103.57624054,103.600410461,103.168495178,103.22844696,103.603500366,103.121582031,102.943214417,103.287620544,103.304641724,102.13520813,102.728942871,103.252571106,103.278022766,102.792549133,102.778007507,103.360748291,102.535919189,103.536201477
7228,11191299918.6,102.919464111,102.759216309,102.682235718,102.827674866,102.820823669,101.315795898,102.93573761,102.758850098,103.474533081,102.73236084,103.207809448,101.75907135,103.844993591,103.124229431,102.656707764,102.560913086,102.728515625,101.181297302,103.950462341,102.328735352
2372,4381034110.2,93.3866958618,93.6745986938,93.9281234741,93.7108459473,93.7568435669,93.6617355347,93.6580047607,93.8062896729,93.7820358276,93.5623245239,93.9142074585,93.9788742065,93.3742141724,93.4746932983,93.8182067871,94.0225906372,93.8700180054,93.8040161133,93.7388000488,94.0659255981
5183,3905377740.89,93.9222488403,93.7098464966,93.6349868774,93.6023254395,93.4345092773,93.6177368164,93.5389709473,93.8411865234,93.9075546265,93.3816223145,93.0865097046,93.5004348755,93.3982162476,93.359916687,92.9607925415,93.1740570068,93.0263671875,93.4266738892,93.3087463379,93.4817352295
7641,15618001459.6,92.6352310181,92.7481079102,92.8449020386,92.4166793823,92.2718658447,91.979095459,92.3291244507,92.6027908325,92.2416000366,92.9495239258,92.8966217041,92.8600769043,92.981628418,93.2565765381,92.830619812,93.1691055298,92.7469863892,93.3041915894,93.0132675171,92.3962554932
2242,34403519078.2,111.573539734,111.933876038,111.271659851,111.390960693,111.262947083,111.818519592,111.522109985,111.548316956,111.954216003,111.63886261,111.297615051,112.275230408,111.792297363,111.187232971,111.45565033,110.794143677,110.541946411,110.973258972,111.225914001,111.341629028
7638,2442069310.1,91.6802597046,91.979095459,92.1173858643,91.2730865479,91.6356277466,91.5953521729,91.8538742065,91.3159103394,91.4805526733,91.6644058228,91.866027832,91.5752944946,91.5132827759,91.2822494507,92.1190109253,91.1310806274,91.9872207642,91.8654251099,91.25440979,91.5419158936
3047,3491888001.97,94.5925292969,94.4448547363,94.2708053589,94.0716094971,94.471824646,94.7409362793,94.8143615723,95.2681045532,93.8466796875,94.4973144531,94.9277420044,95.1184997559,95.0710754395,95.0043945312,95.3938293457,95.0647354126,95.5885620117,95.9267272949,94.7447052002,95.5810317993
